Time_sample,SOC_actual_pu,SOC_expected_from_previous_interval_pu,SOC_balance_error_pu,audit_note
30,0.4999999999999999,0.5,-1.1102230246251565e-16,sampled_SOC_state
60,0.4587514126980814,0.4587514126980814,0.0,sampled_SOC_state
90,0.4172174331042551,0.41721743310425297,2.1094237467877974e-15,sampled_SOC_state
120,0.37538852225182046,0.37538852225182046,0.0,sampled_SOC_state
150,0.33440883886452233,0.3344088388645211,1.2212453270876722e-15,sampled_SOC_state
180,0.29272992014375687,0.29272992014375687,0.0,sampled_SOC_state
210,0.2510371107450571,0.2510371107449928,6.428191312579656e-14,sampled_SOC_state
240,0.20919855123816222,0.20919855123816222,0.0,sampled_SOC_state
270,0.20786049952001848,0.20786049952009195,-7.346900865456973e-14,sampled_SOC_state
300,0.20228028035899373,0.20228028035899373,0.0,sampled_SOC_state
330,0.1895927961120953,0.18959279611209026,5.051514762044462e-15,sampled_SOC_state
360,0.18959279611199625,0.18959279611199625,0.0,sampled_SOC_state
390,0.18959279611185223,0.1895927961118972,-4.496403249731884e-14,sampled_SOC_state
420,0.18959279611175317,0.18959279611175317,0.0,sampled_SOC_state
450,0.1931977576100277,0.19319775760990016,1.2753686995381486e-13,sampled_SOC_state
480,0.22316914217396283,0.2231691421739628,2.7755575615628914e-17,sampled_SOC_state
510,0.25195554653857105,0.2519555465386092,-3.813616089587413e-14,sampled_SOC_state
540,0.28923551630868005,0.2892355163086801,-5.551115123125783e-17,sampled_SOC_state
570,0.3331295783776049,0.33312957837758217,2.270406085358445e-14,sampled_SOC_state
600,0.38381619363706176,0.3838161936370618,-5.551115123125783e-17,sampled_SOC_state
630,0.40603964070607423,0.4060396407060598,1.4432899320127035e-14,sampled_SOC_state
660,0.4756639399062345,0.47566393990623457,-5.551115123125783e-17,sampled_SOC_state
690,0.5483790280678416,0.5483790280678436,-1.9984014443252818e-15,sampled_SOC_state
720,0.6194149681997461,0.6194149681997461,0.0,sampled_SOC_state
750,0.6475295285913056,0.6475295285913076,-1.9984014443252818e-15,sampled_SOC_state
780,0.6529904419101523,0.6529904419101523,0.0,sampled_SOC_state
810,0.6529904419100545,0.6529904419100533,1.2212453270876722e-15,sampled_SOC_state
840,0.720574238192979,0.7205742381929789,1.1102230246251565e-16,sampled_SOC_state
870,0.7865126359466669,0.7865126359466564,1.0436096431476471e-14,sampled_SOC_state
900,0.8496674222887672,0.8496674222887672,0.0,sampled_SOC_state
930,0.8922465576408961,0.8922465576408709,2.5202062658991053e-14,sampled_SOC_state
960,0.9071849717796655,0.9071849717796655,0.0,sampled_SOC_state
990,0.9506582313584732,0.9506582313586481,-1.7497114868092467e-13,sampled_SOC_state
1020,0.9734252639128731,0.9734252639128732,-1.1102230246251565e-16,sampled_SOC_state
1050,0.9541449874203657,0.9541449874203868,-2.1094237467877974e-14,sampled_SOC_state
1080,0.9185013951490909,0.9185013951490909,0.0,sampled_SOC_state
1110,0.8787158339312934,0.8787158339312807,1.2656542480726785e-14,sampled_SOC_state
1140,0.839685891441511,0.839685891441511,0.0,sampled_SOC_state
1170,0.8152252992738191,0.8152252992738174,1.7763568394002505e-15,sampled_SOC_state
1200,0.804297558767374,0.804297558767374,0.0,sampled_SOC_state
1230,0.8018330418533189,0.8018330418533202,-1.2212453270876722e-15,sampled_SOC_state
1260,0.8009766049117132,0.8009766049117132,0.0,sampled_SOC_state
1290,0.7592021349144755,0.7592021349144732,2.3314683517128287e-15,sampled_SOC_state
1320,0.717914506682092,0.717914506682092,0.0,sampled_SOC_state
1350,0.6761140951681187,0.6761140951681215,-2.7755575615628914e-15,sampled_SOC_state
1380,0.6344457509761858,0.6344457509761859,-1.1102230246251565e-16,sampled_SOC_state
1410,0.5932579340454831,0.5932579340454835,-4.440892098500626e-16,sampled_SOC_state
1440,0.5516444868324571,0.5516444868324571,0.0,sampled_SOC_state
1440,0.5100000099999877,0.5100000099999877,0.0,terminal_SOC_after_final_dispatch_interval
