Time_sample,Time_h,Feeder_line,OPF_P_sending_A_kW,OPF_P_sending_B_kW,OPF_P_sending_C_kW,OPF_source_flow_total_kW,OPF_feeder_import_kW,OPF_feeder_export_kW,OPF_feeder_export_energy_kWh,sign_convention,units
990,16.5,feeder2_line1,-2.754594512245525,-12.411923749177406,-11.870693621150629,-27.03721188257356,0.0,27.03721188257356,13.51860594128678,positive source flow = import; negative source flow = export,kW; energy column kWh
1020,17.0,feeder2_line1,0.38928948514288975,-6.632688290890402,-0.36617904071345614,-6.609577846460969,0.0,6.609577846460969,3.3047889232304843,positive source flow = import; negative source flow = export,kW; energy column kWh
1050,17.5,feeder2_line1,5.209318624645946,4.077994523671534,-5.9790673960736695,3.3082457522438107,3.3082457522438107,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1080,18.0,feeder2_line1,8.092680296998443,-11.080306656494464,-13.544074542431096,-16.531700901927117,0.0,16.531700901927117,8.265850450963558,positive source flow = import; negative source flow = export,kW; energy column kWh
1110,18.5,feeder2_line1,2.769398880097716,-1.2499112257421188,-6.30982806186126,-4.790340407505663,0.0,4.790340407505663,2.3951702037528313,positive source flow = import; negative source flow = export,kW; energy column kWh
1140,19.0,feeder2_line1,2.0789182832636697,3.9054046072261843,5.334557736264899,11.318880626754753,11.318880626754753,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1170,19.5,feeder2_line1,10.756626557746669,3.5662659737626474,10.756545865178314,25.079438396687628,25.079438396687628,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1200,20.0,feeder2_line1,15.94442627310219,19.981509886691388,22.36085425206691,58.286790411860494,58.286790411860494,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1230,20.5,feeder2_line1,13.788162028068808,20.31615584858007,16.747709003709854,50.852026880358736,50.852026880358736,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1260,21.0,feeder2_line1,-11.568503640579943,-12.249414925601005,-13.12320861282043,-36.941127179001384,0.0,36.941127179001384,18.470563589500692,positive source flow = import; negative source flow = export,kW; energy column kWh
1290,21.5,feeder2_line1,-7.884596809691991,-4.386008849003605,-11.94419996872861,-24.214805627424205,0.0,24.214805627424205,12.107402813712103,positive source flow = import; negative source flow = export,kW; energy column kWh
1320,22.0,feeder2_line1,-7.820895459863766,-11.190135571989286,-12.075190985375265,-31.086222017228316,0.0,31.086222017228316,15.543111008614158,positive source flow = import; negative source flow = export,kW; energy column kWh
1350,22.5,feeder2_line1,-11.9567309984103,-12.228641554983868,-12.58504798249675,-36.77042053589092,0.0,36.77042053589092,18.38521026794546,positive source flow = import; negative source flow = export,kW; energy column kWh
1380,23.0,feeder2_line1,-14.330020636082033,-7.957597998812554,-11.96403507907741,-34.251653713972,0.0,34.251653713972,17.125826856986,positive source flow = import; negative source flow = export,kW; energy column kWh
1410,23.5,feeder2_line1,-13.004090562444091,-17.488679738755113,-14.604042859239142,-45.096813160438344,0.0,45.096813160438344,22.548406580219172,positive source flow = import; negative source flow = export,kW; energy column kWh
1440,24.0,feeder2_line1,-13.640397809929585,-17.131787562764742,-13.416089630231339,-44.188275002925664,0.0,44.188275002925664,22.094137501462832,positive source flow = import; negative source flow = export,kW; energy column kWh
