Time_sample,Time_h,PV_architecture,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,NetCentral_P_injection_A_W,NetCentral_P_injection_B_W,NetCentral_P_injection_C_W,NetCentral_P_injection_total_W,BESS_SOC_pu
330,5.5,central,16214.672980009611,16214.67307959829,5.938714553588225e-08,-6.568078645836895e-09,-6.568078645836895e-09,-6.568078645836895e-09,-1.9704235937510685e-08,5404.891026526195,5404.891026526195,5404.891026526195,16214.673079578584,0.1895927961120953
360,6.0,central,32040.626329922346,32040.62642951103,3.830454499574297e-07,-6.56807455452207e-09,-6.56807455452207e-09,-6.56807455452207e-09,-1.970422366356621e-08,10680.208809830441,10680.208809830441,10680.208809830441,32040.626429491327,0.18959279611199625
390,6.5,central,67541.17105030791,67541.17114989659,-1.294179987681901e-07,-6.568031447368752e-09,-6.568031447368752e-09,-6.568031447368752e-09,-1.9704094342106257e-08,22513.72371662563,22513.72371662563,22513.72371662563,67541.17114987689,0.18959279611185223
420,7.0,central,81235.98201122369,81235.93010062267,3.965878493264956e-09,-2670.3540504150355,-2670.3540504150355,-2670.3540504150355,-8011.062151245107,24408.289316459188,24408.289316459188,24408.289316459188,73224.86794937757,0.18959279611175317
450,7.5,central,139783.09169335256,139783.08553727466,-1.61285716213089e-06,-22201.027070332057,-22201.027070332057,-22201.027070332057,-66603.08121099617,24393.334775426163,24393.334775426163,24393.334775426163,73180.00432627849,0.1931977576100277
480,8.0,central,137806.99617541744,137806.98976181285,1.1264676293922968e-07,-21323.264020154616,-21323.264020154616,-21323.264020154616,-63969.79206046385,24612.399233783,24612.399233783,24612.399233783,73837.197701349,0.22316914217396283
510,8.5,central,157786.37576376746,157786.37083416057,1.1132799900465568e-06,-27614.793602033194,-27614.793602033194,-27614.793602033194,-82844.38080609958,24980.663342686992,24980.663342686992,24980.663342686992,74941.99002806099,0.25195554653857105
540,9.0,central,172443.48122961321,172443.47705788005,-6.402191209603026e-09,-32514.121052998886,-32514.121052998886,-32514.121052998886,-97542.36315899665,24967.037966294465,24967.037966294465,24967.037966294465,74901.1138988834,0.28923551630868005
570,9.5,central,185006.28302110874,185006.27942183343,1.1115336710640758e-07,-37545.641800613754,-37545.641800613754,-37545.641800613754,-112636.92540184126,24123.11800666406,24123.11800666406,24123.11800666406,72369.35401999217,0.3331295783776049
600,10.0,central,119416.07162306807,119416.06328590619,8.30669660729087e-08,-16461.814622726783,-16461.814622726783,-16461.814622726783,-49385.443868180344,23343.53980590861,23343.53980590861,23343.53980590861,70030.61941772584,0.38381619363706176
630,10.5,central,229745.74207171457,229745.7394786421,-3.855775620495303e-06,-51573.55559474751,-51573.55559474751,-51573.55559474751,-154720.66678424252,25008.35756479985,25008.35756479985,25008.35756479985,75025.07269439957,0.40603964070607423
660,11.0,central,235990.30875364214,235990.30627504192,1.4447986995189072e-06,-53863.0288726737,-53863.0288726737,-53863.0288726737,-161589.0866180211,24800.406552340275,24800.406552340275,24800.406552340275,74401.21965702082,0.4756639399062345
690,11.5,central,232588.44417352724,232588.44163397292,-5.259396448488267e-06,-52619.21553163442,-52619.21553163442,-52619.21553163442,-157857.64659490326,24910.265013023214,24910.265013023214,24910.265013023214,74730.79503906966,0.5483790280678416
720,12.0,central,137662.54700039705,137662.5404311404,3.5145822129228725e-07,-20825.60185438018,-20825.60185438018,-20825.60185438018,-62476.805563140544,25061.91162266662,25061.91162266662,25061.91162266662,75185.73486799985,0.6194149681997461
750,12.5,central,86507.1933071255,86507.15907237145,1.3812574973006756e-07,-4045.129030674848,-4045.129030674848,-4045.129030674848,-12135.387092024543,24790.590660115635,24790.590660115635,24790.590660115635,74371.77198034691,0.6475295285913056
780,13.0,central,63436.07803724001,63436.07813682869,-7.763212173322105e-08,-6.568056770136994e-09,-6.568056770136994e-09,-6.568056770136994e-09,-1.9704170310410983e-08,21145.35937893633,21145.35937893633,21145.35937893633,63436.07813680899,0.6529904419101523
810,13.5,central,220843.12489531777,220843.12222093425,1.0961827205808273e-07,-50062.07197142298,-50062.07197142298,-50062.07197142298,-150186.21591426892,23552.302102221773,23552.302102221773,23552.302102221773,70656.90630666533,0.6529904419100545
840,14.0,central,219014.5041579911,219014.50141437585,-1.899542387760932e-08,-48843.25826229383,-48843.25826229383,-48843.25826229383,-146529.7747868815,24161.575542498125,24161.575542498125,24161.575542498125,72484.72662749435,0.720574238192979
870,14.5,central,209104.784648659,209104.78177970706,1.1533481825726876e-07,-46781.32391274708,-46781.32391274708,-46781.32391274708,-140343.97173824123,22920.270013821944,22920.270013821944,22920.270013821944,68760.81004146583,0.7865126359466669
