Time_sample,Line,Phase,I_limit_A,OPF_I_A,DSS_I_A,OPF_loading_percent,DSS_loading_percent
30,feeder2_line1,1,354.6,70.03697055348766,70.03427124023438,19.750978723487776,19.750217495835976
30,feeder2_line1,2,354.6,87.46596628869625,87.46452331542969,24.666093144020376,24.665686214165166
30,feeder2_line1,3,354.6,76.98007037034046,76.9854736328125,21.708987696091498,21.71051145877397
30,feeder2_line2,1,354.6,70.76515978004743,70.76225280761719,19.956333835320763,19.95551404614134
30,feeder2_line2,2,354.6,87.46613715045444,87.46452331542969,24.666141328385347,24.665686214165166
30,feeder2_line2,3,354.6,76.9802439166755,76.9854736328125,21.709036637528342,21.71051145877397
30,feeder2_line3,1,80.10000000000001,1.43175430841194,1.4317741394042969,1.7874585623120345,1.7874833201052394
30,feeder2_line3,2,80.10000000000001,5.723188225832646e-07,1.0576205795587157e-06,7.145053964834762e-07,1.3203752553791705e-06
30,feeder2_line3,3,80.10000000000001,5.717527433770387e-07,1.056600694937515e-06,7.137986808702106e-07,1.319101991182915e-06
30,feeder2_line4,1,354.6,70.76530876295453,70.76225280761719,19.95637584967697,19.95551404614134
30,feeder2_line4,2,354.6,87.73664488194137,87.73487854003906,24.742426644653516,24.741928522289637
30,feeder2_line4,3,354.6,76.98038729711256,76.9854736328125,21.709077071943753,21.71051145877397
30,feeder2_line5,1,80.10000000000001,5.716617400710105e-07,9.97502183963661e-07,7.13685068752822e-07,1.2453210786063182e-06
30,feeder2_line5,2,80.10000000000001,0.27932567517590007,0.27932536602020264,0.3487211924792759,0.34872080651710685
30,feeder2_line5,3,80.10000000000001,5.717870929236896e-07,9.977259196602972e-07,7.138415641993627e-07,1.2456003990765257e-06
30,feeder2_line6,1,80.10000000000001,5.71710949752471e-07,1.173533405562921e-06,7.137465040605131e-07,1.465085400203397e-06
30,feeder2_line6,2,80.10000000000001,5.724490827903466e-07,1.1750408930311096e-06,7.146680184648521e-07,1.4669674070300992e-06
30,feeder2_line6,3,80.10000000000001,1.4739913570090284,1.4739785194396973,1.8401889600612087,1.8401729331332048
30,feeder2_line7,1,354.6,70.7654212694186,70.76225280761719,19.95640757738821,19.95551404614134
30,feeder2_line7,2,354.6,87.73675757570498,87.73487854003906,24.742458425184708,24.741928522289637
30,feeder2_line7,3,354.6,77.4751472463698,77.4801254272461,21.848603284368245,21.850007170684176
30,feeder2_line8,1,80.10000000000001,0.0726901129709525,0.07268959283828735,0.09074920470780586,0.0907485553536671
30,feeder2_line8,2,80.10000000000001,5.726969783594515e-07,1.1334867622281308e-06,7.149775010729731e-07,1.4150895907966675e-06
30,feeder2_line8,3,80.10000000000001,5.719878284205945e-07,1.1321085366944317e-06,7.14092170312852e-07,1.4133689596684539e-06
30,feeder2_line9,1,354.6,70.83694694513197,70.83373260498047,19.97657838272193,19.975671913418065
30,feeder2_line9,2,354.6,87.73680288333885,87.7348861694336,24.74247120229522,24.74193067383914
30,feeder2_line9,3,354.6,77.47518884778107,77.4801254272461,21.84861501629472,21.850007170684176
30,feeder2_line10,1,80.10000000000001,8.453417193283313e-07,1.49448646880046e-06,1.055357951720763e-06,1.8657758661678649e-06
30,feeder2_line10,2,80.10000000000001,0.07251695607432986,0.07251670956611633,0.09053302880690368,0.090532721056325
30,feeder2_line10,3,80.10000000000001,8.455443164809106e-07,1.4948799389458145e-06,1.0556108819986399e-06,1.8662670898199929e-06
30,feeder2_line11,1,354.6,70.83693266420174,70.83373260498047,19.97657435538684,19.975671913418065
30,feeder2_line11,2,354.6,87.80795184087313,87.80604553222656,24.762535770127787,24.76199817603682
30,feeder2_line11,3,354.6,77.47518029432973,77.4801254272461,21.8486126041539,21.850007170684176
30,feeder2_line12,1,80.10000000000001,5.470144740696342e-07,9.91424258245388e-07,6.829144495251362e-07,1.2377331563612833e-06
30,feeder2_line12,2,80.10000000000001,5.480263517361093e-07,9.929873385772225e-07,6.841777175232325e-07,1.239684567512138e-06
30,feeder2_line12,3,80.10000000000001,0.06182789730939682,0.061828434467315674,0.07718838615405345,0.0771890567631906
30,feeder2_line13,1,354.6,70.83691896263481,70.83373260498047,19.976570491436775,19.975671913418065
30,feeder2_line13,2,354.6,87.80793909746455,87.80604553222656,24.76253217638594,24.76199817603682
30,feeder2_line13,3,354.6,77.53539093335559,77.54034423828125,21.86559247979571,21.866989350897136
30,feeder2_line14,1,80.10000000000001,0.2752335214114473,0.2752325236797333,0.3436123862814573,0.34361114067382426
30,feeder2_line14,2,80.10000000000001,2.988590518654081e-07,6.476019507317687e-07,3.7310743054358067e-07,8.084918236351669e-07
30,feeder2_line14,3,80.10000000000001,2.985330630211477e-07,6.467241178143013e-07,3.7270045320992224e-07,8.073959023898891e-07
30,feeder2_line15,1,354.6,71.1039708064924,71.10076904296875,20.051881220105017,20.050978297509516
30,feeder2_line15,2,354.6,87.8079557747789,87.80604553222656,24.76253687952028,24.76199817603682
30,feeder2_line15,3,354.6,77.53540679515736,77.54034423828125,21.86559695294906,21.866989350897136
30,feeder2_line16,1,80.10000000000001,5.720376165974311e-07,1.0305678870281554e-06,7.141543278369926e-07,1.2866016067767233e-06
30,feeder2_line16,2,80.10000000000001,0.25458403099295945,0.2545812129974365,0.3178327478064412,0.31782922970965855
30,feeder2_line16,3,80.10000000000001,5.72206346443611e-07,1.0308738183084643e-06,7.143649768334718e-07,1.2869835434562598e-06
30,feeder2_line17,1,354.6,71.10399242233478,71.10076904296875,20.051887315943254,20.050978297509516
30,feeder2_line17,2,354.6,88.05331188650251,88.05137634277344,24.831729240412436,24.831183401797357
30,feeder2_line17,3,354.6,77.53542904299358,77.54035186767578,21.865603227014546,21.866991502446638
30,feeder2_line18,1,80.10000000000001,5.474421886892272e-07,7.381315754173556e-07,6.834484253298716e-07,9.215125785485088e-07
30,feeder2_line18,2,80.10000000000001,5.488592630158109e-07,7.397568992928427e-07,6.852175568237339e-07,9.235416969948098e-07
30,feeder2_line18,3,80.10000000000001,1.4139026507338563,1.4138925075531006,1.7651718486065622,1.7651591854595512
30,feeder2_line19,1,354.6,71.10401773547159,71.10076904296875,20.051894454447712,20.050978297509516
30,feeder2_line19,2,354.6,88.05333732875378,88.05137634277344,24.831736415328194,24.831183401797357
30,feeder2_line19,3,354.6,78.33185583017894,78.33674621582031,22.09020186976281,22.091580997129245
30,feeder2_line20,1,99.0,5.47560542562694e-07,8.851753250382899e-07,5.530914571340344e-07,8.941164899376666e-07
30,feeder2_line20,2,99.0,5.490825820555866e-07,8.872730177245103e-07,5.546288707632188e-07,8.962353714388993e-07
30,feeder2_line20,3,99.0,1.583865779403733,1.5839014053344727,1.5998644236401343,1.5999004094287603
30,feeder2_line21,1,354.6,71.10414823881345,71.10076904296875,20.0519312574206,20.050978297509516
30,feeder2_line21,2,354.6,88.05346802884873,88.05137634277344,24.831773273787007,24.831183401797357
30,feeder2_line21,3,354.6,79.11295902366473,79.11770629882812,22.310479138089317,22.31181790717093
30,feeder2_line22,1,99.0,5.725860278642332e-07,1.0148861520065111e-06,5.78369725115387e-07,1.0251375272793043e-06
30,feeder2_line22,2,99.0,0.093670998094715,0.09367085993289948,0.09461716979264143,0.09461703023525199
30,feeder2_line22,3,99.0,5.728250648984994e-07,1.0153165703741251e-06,5.78611176665151e-07,1.0255722933071972e-06
30,feeder2_line23,1,99.0,5.725862948649122e-07,9.500179771748662e-07,5.783699948130426e-07,9.596141183584509e-07
30,feeder2_line23,2,99.0,5.74018073698388e-07,9.523638482278329e-07,5.798162360589778e-07,9.619836850786191e-07
30,feeder2_line23,3,99.0,0.12735434786522562,0.12735559046268463,0.12864075541941983,0.12864201056836833
30,feeder2_line24,1,354.6,71.10417674234075,71.10076904296875,20.05193929564037,20.050978297509516
30,feeder2_line24,2,354.6,88.14519281695854,88.14307403564453,24.85764038831318,24.85704287525226
