Time_h,Feeder_import_positive_kW,Export_kW,Import_kW,PV_available_kW,PV_command_kW,BESS_net_discharge_positive_kW,PV_inactive
0.5,-55.54754447937012,55.54754447937012,0,0.0,-3.4540120073402146e-19,74.24745394473902,True
1.0,-60.52681541442871,60.52681541442871,0,0.0,-3.489038915816268e-19,74.76116009215652,True
1.5,-62.49662780761719,62.49662780761719,0,0.0,-3.525237979102631e-19,75.2920363800468,True
2.0,-60.293331146240234,60.293331146240234,0,0.0,-3.4187120810398242e-19,73.76342687743471,True
2.5,-63.16372299194336,63.16372299194336,0,0.0,-3.507158928756917e-19,75.02205053169044,True
3.0,-62.608022689819336,62.608022689819336,0,0.0,-3.5092163524690866e-19,75.04705375314268,True
3.5,-60.23110008239746,60.23110008239746,0,0.0,-3.526913720246468e-19,75.30940395880268,True
4.0,10.419968605041504,0,10.419968605041504,0.8028310228511782,1.1094400964576982e-12,2.408493092516669,False
4.5,1.6115291714668274,0,1.6115291714668274,3.34813146317036,1.1094395459259872e-12,10.044394489835053,False
5.0,-9.990182280540466,9.990182280540466,0,7.6124904720528,1.1094414791355406e-12,22.83747164441757,False
5.5,-2.3538631200790405,2.3538631200790405,0,16.21467298000961,16.21467307959829,-1.9704235937510686e-11,False
6.0,-17.96082901954651,17.96082901954651,0,32.04062632992235,32.04062642951103,-1.9704223663566212e-11,False
6.5,-52.53453063964844,52.53453063964844,0,67.54117105030791,67.54117114989658,-1.9704094342106258e-11,False
7.0,-56.54680252075195,56.54680252075195,0,81.2359820112237,81.23593010062267,-8.011062151245108,False
7.5,-52.44011688232422,52.44011688232422,0,139.78309169335256,139.78308553727467,-66.60308121099617,False
8.0,-38.87976408004761,38.87976408004761,0,137.80699617541745,137.80698976181284,-63.96979206046385,False
8.5,-47.571218490600586,47.571218490600586,0,157.78637576376747,157.78637083416058,-82.84438080609958,False
9.0,-34.84714126586914,34.84714126586914,0,172.4434812296132,172.44347705788005,-97.54236315899665,False
9.5,-27.56438970565796,27.56438970565796,0,185.00628302110874,185.00627942183343,-112.63692540184127,False
10.0,-25.06415295600891,25.06415295600891,0,119.41607162306806,119.41606328590619,-49.385443868180346,False
10.5,-25.423562049865723,25.423562049865723,0,229.74574207171457,229.7457394786421,-154.72066678424252,False
11.0,-17.265656903386116,17.265656903386116,0,235.99030875364213,235.99030627504192,-161.5890866180211,False
11.5,-38.21812343597412,38.21812343597412,0,232.58844417352725,232.58844163397293,-157.85764659490326,False
12.0,-48.170326232910156,48.170326232910156,0,137.66254700039707,137.6625404311404,-62.476805563140545,False
12.5,-45.67933940887451,45.67933940887451,0,86.5071933071255,86.50715907237145,-12.135387092024542,False
13.0,-11.720352418720722,11.720352418720722,0,63.43607803724001,63.43607813682869,-1.9704170310410983e-11,False
13.5,-30.02636170387268,30.02636170387268,0,220.84312489531777,220.84312222093425,-150.18621591426893,False
14.0,-26.395933628082275,26.395933628082275,0,219.0145041579911,219.01450141437584,-146.5297747868815,False
14.5,-29.443040370941162,29.443040370941162,0,209.104784648659,209.10478177970705,-140.34397173824124,False
15.0,-31.328041076660156,31.328041076660156,0,169.58967598894523,169.58967168529304,-94.62030388116374,False
15.5,-45.6754207611084,45.6754207611084,0,108.38617806758464,108.38616561591324,-33.19648469638339,False
16.0,-20.104042410850525,20.104042410850525,0,167.97181180257934,167.97180758949776,-96.60724654382773,False
16.5,-27.037794828414917,27.037794828414917,0,124.58044620067777,124.58043806495961,-50.59341147176259,False
17.0,-6.610079228878021,6.610079228878021,0,58.8676590442051,39.826061235596235,34.704490843038684,False
17.5,3.307943344116211,0,3.307943344116211,21.38615526279812,1.109432239989096e-12,64.1584660882876,False
18.0,-16.532163619995117,16.532163619995117,0,35.72629562474032,0.6493362810159967,71.61400687571691,False
18.5,-4.790611982345581,4.790611982345581,0,34.88048921037201,3.9449215937105078,70.25389310106183,False
19.0,11.318169116973877,0,11.318169116973877,14.676355200650205,1.1094413055447143e-12,44.02906590184085,False
19.5,25.07880210876465,0,25.07880210876465,6.556644238336596,1.1094427164299186e-12,19.66993291159246,False
20.0,58.28617191314697,0,58.28617191314697,1.4787101336823925,1.10943980801291e-12,4.436130445287127,False
20.5,50.8516263961792,0,50.8516263961792,0.5138621598622417,1.1094461751644449e-12,1.541586494880558,False
21.0,-36.940945625305176,36.940945625305176,0,0.0,-3.5190552148520674e-19,75.19404283658565,True
21.5,-24.215444564819336,24.215444564819336,0,0.0,-3.4581349276487215e-19,74.31772762260086,True
22.0,-31.086369514465332,31.086369514465332,0,0.0,-3.522047213334771e-19,75.24073756866079,True
22.5,-36.77088451385498,36.77088451385498,0,0.0,-3.5122409466225133e-19,75.00301637898829,True
23.0,-34.25243282318115,34.25243282318115,0,0.0,-3.4456802074990437e-19,74.13806727183017,True
23.5,-45.09720993041992,45.09720993041992,0,0.0,-3.4985092170757907e-19,74.9042018127786,True
24.0,-44.189066886901855,44.189066886901855,0,0.0,-3.5039796316958463e-19,74.96005513013938,True
