Time_sample,Time_h,Line,Phase,OPF_P_sending_kW,OPF_P_receiving_kW,OPF_P_loss_signed_kW,OPF_P_loss_abs_kW,loss_equation
30,0.5,feeder2_line1,1,-16.662418943874076,16.686532166833317,0.024113222959240233,0.024113222959240233,P_loss = P_sending + P_receiving
30,0.5,feeder2_line1,2,-20.838286029162067,20.913629418187455,0.07534338902538806,0.07534338902538806,P_loss = P_sending + P_receiving
30,0.5,feeder2_line1,3,-18.046717460620272,18.089071342497018,0.04235388187674616,0.04235388187674616,P_loss = P_sending + P_receiving
30,0.5,feeder2_line2,1,-16.944945175371828,16.945846271608605,0.0009010962367774766,0.0009010962367774766,P_loss = P_sending + P_receiving
30,0.5,feeder2_line2,2,-20.913665861275703,20.916339325570938,0.002673464295234851,0.002673464295234851,P_loss = P_sending + P_receiving
30,0.5,feeder2_line2,3,-18.08910766697042,18.090551044451686,0.001443377481265884,0.001443377481265884,P_loss = P_sending + P_receiving
30,0.5,feeder2_line3,1,0.25837670983141264,-0.25834107941304113,3.563041837151282e-05,3.563041837151282e-05,P_loss = P_sending + P_receiving
30,0.5,feeder2_line3,2,1.1660743923303852e-11,-1.1286484431267562e-11,3.7425949203629056e-13,3.7425949203629056e-13,P_loss = P_sending + P_receiving
30,0.5,feeder2_line3,3,5.142967968620334e-11,-5.153870034004915e-11,-1.090206538458101e-13,1.090206538458101e-13,P_loss = P_sending + P_receiving
30,0.5,feeder2_line4,1,-16.945887826666713,16.947442845943407,0.0015550192766937698,0.0015550192766937698,P_loss = P_sending + P_receiving
30,0.5,feeder2_line4,2,-20.985900207015042,20.990584492054236,0.00468428503919327,0.00468428503919327,P_loss = P_sending + P_receiving
30,0.5,feeder2_line4,3,-18.090592609003167,18.09309394988593,0.0025013408827625483,0.0025013408827625483,P_loss = P_sending + P_receiving
30,0.5,feeder2_line5,1,-6.639453676096381e-11,6.633220087044539e-11,-6.23358905184216e-14,6.23358905184216e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line5,2,0.0695191530543171,-0.0695178725461877,1.280508129405944e-06,1.280508129405944e-06,P_loss = P_sending + P_receiving
30,0.5,feeder2_line5,3,5.2782805502861055e-11,-5.272245178616924e-11,6.035371669181163e-14,6.035371669181163e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line6,1,-7.22392691553602e-11,7.264745924860443e-11,4.0819009324423555e-13,4.0819009324423555e-13,P_loss = P_sending + P_receiving
30,0.5,feeder2_line6,2,1.4066519871808441e-11,-1.4128494789600538e-11,-6.197491779209638e-14,6.197491779209638e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line6,3,0.22588403274034857,-0.22584208624546076,4.1946494887812324e-05,4.1946494887812324e-05,P_loss = P_sending + P_receiving
30,0.5,feeder2_line7,1,-16.947471052475752,16.951964611365202,0.004493558889450355,0.004493558889450355,P_loss = P_sending + P_receiving
30,0.5,feeder2_line7,2,-20.990612854304132,21.003525274132187,0.012912419828055022,0.012912419828055022,P_loss = P_sending + P_receiving
30,0.5,feeder2_line7,3,-18.319006209994946,18.326178112014542,0.007171902019596388,0.007171902019596388,P_loss = P_sending + P_receiving
30,0.5,feeder2_line8,1,0.018000098284170065,-0.01799999992032551,9.836384455563785e-08,9.836384455563785e-08,P_loss = P_sending + P_receiving
30,0.5,feeder2_line8,2,1.443635427541591e-11,-1.4419168208704994e-11,1.7186066710917196e-14,1.7186066710917196e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line8,3,6.451995972486937e-11,-6.453889534936957e-11,-1.8935624500207434e-14,1.8935624500207434e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line9,1,-16.969983934115408,16.97058177996346,0.0005978458480520032,0.0005978458480520032,P_loss = P_sending + P_receiving
30,0.5,feeder2_line9,2,-21.003544532974615,21.00525347388727,0.0017089409126533894,0.0017089409126533894,P_loss = P_sending + P_receiving
30,0.5,feeder2_line9,3,-18.32619736983776,18.327145957059518,0.0009485872217567248,0.0009485872217567248,P_loss = P_sending + P_receiving
30,0.5,feeder2_line10,1,-1.0690432556494144e-10,1.068674112875747e-10,-3.6914277366735525e-14,3.6914277366735525e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line10,2,0.0180001292801457,-0.01800000001933115,1.292608145485319e-07,1.292608145485319e-07,P_loss = P_sending + P_receiving
30,0.5,feeder2_line10,3,8.700381551035995e-11,-8.697042132890515e-11,3.339418145480466e-14,3.339418145480466e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line11,1,-16.970570884960384,16.97243887939333,0.0018679944329456077,0.0018679944329456077,P_loss = P_sending + P_receiving
30,0.5,feeder2_line11,2,-21.023242902124142,21.028603147715106,0.005360245590964041,0.005360245590964041,P_loss = P_sending + P_receiving
30,0.5,feeder2_line11,3,-18.327135245509417,18.3301016032492,0.0029663577397833762,0.0029663577397833762,P_loss = P_sending + P_receiving
30,0.5,feeder2_line12,1,-5.596053834222987e-11,5.5972761330151156e-11,1.2222987921288004e-14,1.2222987921288004e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line12,2,1.0313864909338182e-11,-1.0327373933783322e-11,-1.3509024445140183e-14,1.3509024445140183e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line12,3,0.01531809446179197,-0.015318032134125213,6.23276667569006e-08,6.23276667569006e-08,P_loss = P_sending + P_receiving
30,0.5,feeder2_line13,1,-16.97242954794818,16.974030125053684,0.001600577105502765,0.001600577105502765,P_loss = P_sending + P_receiving
30,0.5,feeder2_line13,2,-21.028593778180824,21.03318787308527,0.004594094904447843,0.004594094904447843,P_loss = P_sending + P_receiving
