Time_sample,Time_h,OPF_network_voltage_range_pu,DSS_network_voltage_range_pu,Max_OPF_VUF2_percent,Max_OPF_VUF0_percent,Max_DSS_VUF2_percent,Max_DSS_VUF0_percent
30,0.5,0.02526352568713741,0.025262818385084262,0.08754309520787325,0.45421326527833283,0.08754233803310361,0.45406610814953724
60,1.0,0.025018083814010383,0.025018614444320297,0.08227658458142144,0.3309310891035005,0.08229585965593211,0.3311405783554761
90,1.5,0.024792171976592225,0.024790466119791077,0.093504490170613,0.10015627623556028,0.0934669045843543,0.10006165898028
120,2.0,0.025627468791300068,0.02562370635165756,0.0417455224408473,0.45328468524489407,0.04174450250952483,0.45314652351411344
150,2.5,0.02484831092631512,0.024836782938642887,0.06450049534810504,0.23378172633780428,0.0644350884202207,0.23375012404990297
180,3.0,0.02497487157326983,0.024986569284344284,0.09943455819541218,0.10548846281489373,0.09944355777239411,0.10557052731384992
210,3.5,0.024778212346801887,0.02478273563790001,0.06587698720767766,0.22060131154149282,0.06570196314140357,0.22111448938091255
240,4.0,0.01869073669607646,0.018689199805379086,0.0612229737674395,0.20842246441608406,0.06124961517916159,0.20835583793576204
270,4.5,0.016727351394019374,0.016725789550033898,0.11902863441269024,0.21643768106442474,0.11892480692937386,0.21710878375814646
300,5.0,0.012862160804384182,0.012857641414722343,0.07325377508793934,0.2438949769795692,0.07335542938784996,0.24371873413491732
330,5.5,0.014099577820280373,0.014097359634571482,0.06291965197803252,0.18470249016854662,0.06290170052193028,0.184569186156002
360,6.0,0.01221936487302333,0.012220041839944962,0.08175436106325767,0.5440464892237966,0.08171409819273638,0.5439742039049078
390,6.5,0.01839747625263599,0.018396366508445006,0.1389599131488652,0.36084544229188925,0.13890931030167303,0.36067020343457623
420,7.0,0.025581320543930586,0.02558135388249383,0.21406765171565587,0.6063321037805766,0.2139690931810141,0.6060648844520057
450,7.5,0.028109348135461953,0.028096931976845596,0.14867561987048117,0.8407865987183011,0.14857385667724138,0.8405953065742408
480,8.0,0.032374311088680496,0.032371425955149524,0.21206202722458267,1.1381527988443176,0.21201660806506312,1.1379345145503261
510,8.5,0.02491530074998649,0.02491256809017317,0.10764030563633538,0.461983893433872,0.10767398725418183,0.462160478864915
540,9.0,0.02642538806102146,0.026427147888372193,0.1295456240304979,0.443708684693596,0.12952102407331126,0.44384816318846265
570,9.5,0.03374146730713634,0.033735426537709445,0.1742647760827359,1.1800549546232963,0.17421261822157094,1.1798711487100604
600,10.0,0.04257300837368416,0.04257817280617937,0.2903405112675416,1.664012636395416,0.29037220060511987,1.6642222447906923
630,10.5,0.02111004688052276,0.02111558003175662,0.11058613655768473,0.20713623218526242,0.1106551361945243,0.20754821372691826
660,11.0,0.03367620942251093,0.033658518153767414,0.22017384885455005,0.8281889286187996,0.22009997268840834,0.8275899550094825
690,11.5,0.02373527261540631,0.023727888258488816,0.1593179839012889,0.39610075966725766,0.15929321221536644,0.395514761861964
720,12.0,0.024389739478188233,0.024387423901538252,0.05625833527821879,0.1891814622193225,0.056272273988647994,0.1890055444962236
750,12.5,0.0284657189487878,0.028467730817638204,0.18591992794251444,0.9330044067237366,0.185820115784241,0.9325663006239068
780,13.0,0.024352405936021615,0.02432604255387294,0.25675779250884606,0.6792922224044151,0.2566616713603866,0.677844350188865
810,13.5,0.03870822261629381,0.038697272679372396,0.3142976154971653,1.3927170666333692,0.3142063325591621,1.392242046589599
840,14.0,0.031692803251687884,0.031689161373890995,0.2742843641594078,1.0927853656056934,0.2742700209451026,1.0925417597762872
870,14.5,0.03817234160717575,0.0381681641410494,0.3607660939647663,1.4692893036972812,0.36070563767021524,1.4691426885923367
900,15.0,0.024092093159260308,0.024095779909510506,0.2626835122261936,0.6141003045584791,0.2628370984340682,0.615018456508903
930,15.5,0.0248305717519548,0.024829647109204656,0.09810663945407858,0.3691888445419063,0.09813449585517146,0.3692627700667391
960,16.0,0.03695693606185735,0.03694331223252911,0.38444073470783724,1.133994530800828,0.3842909489235906,1.133189784568294
990,16.5,0.03764349157271352,0.03764328424239327,0.31884127630728415,1.6188289691740319,0.3188282176963651,1.6186210755466655
1020,17.0,0.022043901650908193,0.022037753841618102,0.21557385777155905,0.5574117578814524,0.2155265555467039,0.5570963901258494
1050,17.5,0.02904635230519914,0.029050027714271565,0.3571692348754336,0.9811883186053179,0.35722437183067374,0.9814393002127928
1080,18.0,0.044494291992363655,0.044490046515583526,0.4399657609352967,1.6948005610960704,0.43997549830103583,1.6947014036966819
1110,18.5,0.025185791313598216,0.02519542444039291,0.2994878926933428,0.492991200340173,0.29953503064226006,0.4933759417985693
1140,19.0,0.016318183361520466,0.016312836457561763,0.06622440127858957,0.5969759357653084,0.06609129975712144,0.5962916931280817
1170,19.5,0.023497230418894732,0.023493727336933112,0.1813526039438924,0.816946236126253,0.1813944131712993,0.8165130062752234
1200,20.0,0.030589305164888225,0.03058191850610692,0.1589097569794375,0.6412425389014628,0.15869071860403833,0.6420560022590796
1230,20.5,0.034391949954698964,0.034393905020842386,0.18671674030353783,0.8527269411842252,0.18665036178504366,0.8530025203593052
1260,21.0,0.022245468219082687,0.022237953500849006,0.05033092231326414,0.242684617278904,0.050300760604863,0.242191760121641
1290,21.5,0.027567518683395464,0.02755579824446963,0.20546176195873808,0.7768755685746771,0.20534008012810884,0.7762767553159746
1320,22.0,0.023354678727987244,0.023366405639461796,0.2683578672786323,0.6238060844460609,0.26844116264880763,0.6240453716974919
1350,22.5,0.02179712468960493,0.021791898088483697,0.04795245138405207,0.24947559573556158,0.0478955509516037,0.2491630850125325
1380,23.0,0.031574925840665014,0.03157393094296701,0.24691302870750334,1.0540309455508503,0.24679281466076092,1.0536659998833613
1410,23.5,0.02488044992158911,0.024873519245748987,0.11990395594299828,0.5062776276458434,0.11988302265039066,0.5056859911062513
1440,24.0,0.023401474196450556,0.02338622738790086,0.11420555672200536,0.5422293401952512,0.11409627891615884,0.541740182713038
