Time_sample,Time_h,PV_architecture,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,NetCentral_P_injection_A_W,NetCentral_P_injection_B_W,NetCentral_P_injection_C_W,NetCentral_P_injection_total_W,BESS_SOC_pu
360,6.0,central,32040.626329922346,32040.626429870437,-1.9629036163627612e-07,1.92789178362744e-09,1.92789178362744e-09,1.92789178362744e-09,5.7836753508823194e-09,10680.20880995874,10680.20880995874,10680.20880995874,32040.62642987622,0.1895927961144383
390,6.5,central,67541.17105030791,67541.171150256,-2.241120953864656e-08,1.9279130506312533e-09,1.9279130506312533e-09,1.9279130506312533e-09,5.78373915189376e-09,22513.72371675393,22513.72371675393,22513.72371675393,67541.17115026178,0.18959279611439336
420,7.0,central,81235.98201122369,81235.9301007935,2.566684773111291e-07,-2670.354051050746,-2670.354051050746,-2670.354051050746,-8011.062153152237,24408.28931588042,24408.28931588042,24408.28931588042,73224.86794764127,0.1895927961143775
450,7.5,central,139783.09169335256,139783.08553736852,2.8159461938254596e-08,-22201.027070505104,-22201.027070505104,-22201.027070505104,-66603.08121151531,24393.334775284402,24393.334775284402,24393.334775284402,73180.00432585321,0.19319775761353958
480,8.0,central,137806.99617541744,137806.98976190906,-3.961493783278107e-08,-21323.264019693746,-21323.264019693746,-21323.264019693746,-63969.79205908124,24612.39923427594,24612.39923427594,24612.39923427594,73837.19770282782,0.22316914217767073
510,8.5,central,157786.37576376746,157786.37083424124,-1.2719499622096663e-06,-27614.793602071346,-27614.793602071346,-27614.793602071346,-82844.38080621403,24980.663342675733,24980.663342675733,24980.663342675733,74941.99002802721,0.25195554654211666
540,9.0,central,172443.48122961321,172443.4770579504,-5.135693006693505e-07,-32514.121052987797,-32514.121052987797,-32514.121052987797,-97542.36315896339,24967.037966329004,24967.037966329004,24967.037966329004,74901.11389898701,0.28923551631223987
570,9.5,central,185006.28302110874,185006.27942189432,2.2638180687293133e-07,-37545.64180167572,-37545.64180167572,-37545.64180167572,-112636.92540502717,24123.118005622382,24123.118005622382,24123.118005622382,72369.35401686715,0.3331295783814193
600,10.0,central,119416.07162306807,119416.063286017,-5.639634113745499e-09,-16461.814622577647,-16461.814622577647,-16461.814622577647,-49385.443867732945,23343.539806094686,23343.539806094686,23343.539806094686,70030.61941828406,0.3838161936422728
630,10.5,central,229745.74207171457,229745.7394786799,7.073928858737862e-07,-51573.55559498943,-51573.55559498943,-51573.55559498943,-154720.66678496829,25008.357564570528,25008.357564570528,25008.357564570528,75025.07269371161,0.40603964071087
660,11.0,central,235990.30875364214,235990.3062750763,-3.1102555142046185e-06,-53863.028872569106,-53863.028872569106,-53863.028872569106,-161589.08661770733,24800.40655245632,24800.40655245632,24800.40655245632,74401.21965736896,0.47566393991131933
690,11.5,central,232588.44417352724,232588.44163400916,-2.608975179654502e-06,-52619.21553171511,-52619.21553171511,-52619.21553171511,-157857.64659514534,24910.265012954602,24910.265012954602,24910.265012954602,74730.79503886381,0.5483790280729137
720,12.0,central,137662.54700039705,137662.54043123798,7.266540884297469e-07,-20825.60185449192,-20825.60185449192,-20825.60185449192,-62476.80556347576,25061.91162258741,25061.91162258741,25061.91162258741,75185.73486776222,0.6194149682048896
750,12.5,central,86507.1933071255,86507.15907254096,-4.6013304990059166e-08,-4045.1290309366523,-4045.1290309366523,-4045.1290309366523,-12135.387092809957,24790.590659910336,24790.590659910336,24790.590659910336,74371.77197973101,0.647529528596568
780,13.0,central,63436.07803724001,63436.078137188095,-1.579473434679189e-07,1.9279023634564686e-09,1.9279023634564686e-09,1.9279023634564686e-09,5.783707090369406e-09,21145.359379064626,21145.359379064626,21145.359379064626,63436.07813719388,0.6529904419157289
