Time_sample,Time_h,Line,Phase,OPF_P_sending_kW,OPF_P_receiving_kW,OPF_P_loss_signed_kW,OPF_P_loss_abs_kW,loss_equation
30,0.5,feeder2_line1,1,-16.66241894364693,16.686532166610153,0.024113222963222825,0.024113222963222825,P_loss = P_sending + P_receiving
30,0.5,feeder2_line1,2,-20.838286030090224,20.91362941911791,0.07534338902768667,0.07534338902768667,P_loss = P_sending + P_receiving
30,0.5,feeder2_line1,3,-18.04671746039245,18.089071342256577,0.04235388186412692,0.04235388186412692,P_loss = P_sending + P_receiving
30,0.5,feeder2_line2,1,-16.944945175153336,16.945846271390266,0.0009010962369302433,0.0009010962369302433,P_loss = P_sending + P_receiving
30,0.5,feeder2_line2,2,-20.91366586221105,20.916339326506364,0.0026734642953130106,0.0026734642953130106,P_loss = P_sending + P_receiving
30,0.5,feeder2_line2,3,-18.089107666751637,18.09055104423247,0.0014433774808324529,0.0014433774808324529,P_loss = P_sending + P_receiving
30,0.5,feeder2_line3,1,0.2583767098316689,-0.25834107941329737,3.563041837151282e-05,3.563041837151282e-05,P_loss = P_sending + P_receiving
30,0.5,feeder2_line3,2,1.155978038516899e-11,-1.1185519438079175e-11,3.7426094708981564e-13,3.7426094708981564e-13,P_loss = P_sending + P_receiving
30,0.5,feeder2_line3,3,5.226049224784719e-11,-5.23695150574611e-11,-1.0902280961390493e-13,1.0902280961390493e-13,P_loss = P_sending + P_receiving
30,0.5,feeder2_line4,1,-16.945887826461387,16.94744284573836,0.0015550192769744342,0.0015550192769744342,P_loss = P_sending + P_receiving
30,0.5,feeder2_line4,2,-20.985900207899903,20.99058449293921,0.004684285039306957,0.004684285039306957,P_loss = P_sending + P_receiving
30,0.5,feeder2_line4,3,-18.09059260876472,18.093093949646704,0.002501340881984504,0.002501340881984504,P_loss = P_sending + P_receiving
30,0.5,feeder2_line5,1,-6.686773539126792e-11,6.68053996175723e-11,-6.233577369562614e-14,6.233577369562614e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line5,2,0.06951915305420804,-0.06951787254607864,1.280508129405944e-06,1.280508129405944e-06,P_loss = P_sending + P_receiving
30,0.5,feeder2_line5,3,5.320246414065153e-11,-5.3142110530495187e-11,6.03536101563448e-14,6.03536101563448e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line6,1,-7.159156783591553e-11,7.199975964683415e-11,4.081918109186273e-13,4.081918109186273e-13,P_loss = P_sending + P_receiving
30,0.5,feeder2_line6,2,1.4382747124132268e-11,-1.4444722905139029e-11,-6.197578100676113e-14,6.197578100676113e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line6,3,0.2258840327399886,-0.22584208624510088,4.194649488772906e-05,4.194649488772906e-05,P_loss = P_sending + P_receiving
30,0.5,feeder2_line7,1,-16.94747105227639,16.95196461116663,0.004493558890239058,0.004493558890239058,P_loss = P_sending + P_receiving
30,0.5,feeder2_line7,2,-20.990612855184477,21.003525275012805,0.01291241982832858,0.01291241982832858,P_loss = P_sending + P_receiving
