Time_sample,Time_h,Feeder_line,OPF_P_sending_A_kW,OPF_P_sending_B_kW,OPF_P_sending_C_kW,OPF_source_flow_total_kW,OPF_feeder_import_kW,OPF_feeder_export_kW,OPF_feeder_export_energy_kWh,sign_convention,units
990,16.5,feeder2_line1,-2.754594513392072,-12.411923749302062,-11.870693622040259,-27.03721188473439,0.0,27.03721188473439,13.518605942367195,positive source flow = import; negative source flow = export,kW; energy column kWh
1020,17.0,feeder2_line1,0.3892894309142766,-6.632688315275818,-0.36617906669348027,-6.609577951055021,0.0,6.609577951055021,3.3047889755275106,positive source flow = import; negative source flow = export,kW; energy column kWh
1050,17.5,feeder2_line1,5.216033093018382,4.078172679299125,-5.9721307867114515,3.322074985606056,3.322074985606056,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1080,18.0,feeder2_line1,8.09268029744652,-11.080306656231754,-13.544074542594215,-16.53170090137945,0.0,16.53170090137945,8.265850450689724,positive source flow = import; negative source flow = export,kW; energy column kWh
1110,18.5,feeder2_line1,2.7693988744102236,-1.249911233964883,-6.309828068005129,-4.790340427559789,0.0,4.790340427559789,2.3951702137798945,positive source flow = import; negative source flow = export,kW; energy column kWh
1140,19.0,feeder2_line1,2.101462776343894,3.9354501572185074,5.35591033733209,11.392823270894493,11.392823270894493,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1170,19.5,feeder2_line1,10.769689716575321,3.581442689127358,10.772601287717201,25.12373369341988,25.12373369341988,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1200,20.0,feeder2_line1,15.944581555036192,19.981663984209636,22.360972563357837,58.28721810260366,58.28721810260366,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1230,20.5,feeder2_line1,13.789515483534068,20.317332353366407,16.748746333685375,50.855594170585846,50.855594170585846,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1260,21.0,feeder2_line1,-11.568503648223123,-12.249414932921932,-13.12320861664181,-36.94112719778686,0.0,36.94112719778686,18.47056359889343,positive source flow = import; negative source flow = export,kW; energy column kWh
1290,21.5,feeder2_line1,-7.884596809788198,-4.386008850724735,-11.944199968923057,-24.21480562943599,0.0,24.21480562943599,12.107402814717995,positive source flow = import; negative source flow = export,kW; energy column kWh
1320,22.0,feeder2_line1,-7.820895457772516,-11.190135571335908,-12.075190985273595,-31.086222014382017,0.0,31.086222014382017,15.543111007191008,positive source flow = import; negative source flow = export,kW; energy column kWh
1350,22.5,feeder2_line1,-11.956730998874722,-12.22864155733226,-12.585047982393965,-36.770420538600945,0.0,36.770420538600945,18.385210269300472,positive source flow = import; negative source flow = export,kW; energy column kWh
1380,23.0,feeder2_line1,-14.330020636760288,-7.957597997783855,-11.964035078719055,-34.2516537132632,0.0,34.2516537132632,17.1258268566316,positive source flow = import; negative source flow = export,kW; energy column kWh
1410,23.5,feeder2_line1,-13.004090562412328,-17.48867973855536,-14.604042858644904,-45.09681315961259,0.0,45.09681315961259,22.548406579806294,positive source flow = import; negative source flow = export,kW; energy column kWh
1440,24.0,feeder2_line1,-13.640397815079506,-17.13178755932839,-13.416089634480159,-44.188275008888056,0.0,44.188275008888056,22.094137504444028,positive source flow = import; negative source flow = export,kW; energy column kWh
