Time_sample,SOC_actual_pu,SOC_expected_from_previous_interval_pu,SOC_balance_error_pu,audit_note
30,0.5,0.5,0.0,sampled_SOC_state
60,0.45794971043210636,0.4579497104321063,5.551115123125783e-17,sampled_SOC_state
90,0.4160513436743794,0.41605134367437957,-1.6653345369377348e-16,sampled_SOC_state
120,0.3741306241625612,0.37413062416256115,5.551115123125783e-17,sampled_SOC_state
150,0.33217710016188295,0.33217710016188295,0.0,sampled_SOC_state
180,0.29026671236168544,0.2902667123616855,-5.551115123125783e-17,sampled_SOC_state
210,0.2483486620247077,0.24834866202470773,-2.7755575615628914e-17,sampled_SOC_state
240,0.20645100947033898,0.20645100947033895,2.7755575615628914e-17,sampled_SOC_state
270,0.20517282250537955,0.20517282250537955,0.0,sampled_SOC_state
300,0.19966590729898945,0.19966590729898948,-2.7755575615628914e-17,sampled_SOC_state
330,0.18701633127002631,0.18701633127002631,0.0,sampled_SOC_state
360,0.18701633127004688,0.18701633127004688,0.0,sampled_SOC_state
390,0.1870163312700674,0.1870163312700674,0.0,sampled_SOC_state
420,0.18701633127008785,0.18701633127008785,0.0,sampled_SOC_state
450,0.1887600885670487,0.1887600885670487,0.0,sampled_SOC_state
480,0.21782266396372324,0.21782266396372324,0.0,sampled_SOC_state
510,0.24598912541013754,0.2459891254101375,2.7755575615628914e-17,sampled_SOC_state
540,0.28309895830045084,0.28309895830045084,0.0,sampled_SOC_state
570,0.32686776432866493,0.32686776432866493,0.0,sampled_SOC_state
600,0.3764242060942775,0.3764242060942775,0.0,sampled_SOC_state
630,0.39659575813584874,0.3965957581358485,2.220446049250313e-16,sampled_SOC_state
660,0.46605474404140507,0.46605474404140507,0.0,sampled_SOC_state
690,0.5385809381159584,0.5385809381159581,3.3306690738754696e-16,sampled_SOC_state
720,0.6094305931187357,0.6094305931187356,1.1102230246251565e-16,sampled_SOC_state
750,0.6374972926235322,0.6374972926235323,-1.1102230246251565e-16,sampled_SOC_state
780,0.6425890980544703,0.6425890980544703,0.0,sampled_SOC_state
810,0.6425890980544907,0.6425890980544907,0.0,sampled_SOC_state
840,0.7083321742185977,0.7083321742185977,0.0,sampled_SOC_state
870,0.7716630803931901,0.7716630803931901,0.0,sampled_SOC_state
900,0.8317092589917935,0.8317092589917934,1.1102230246251565e-16,sampled_SOC_state
930,0.8741671996880939,0.8741671996880939,0.0,sampled_SOC_state
960,0.8888474415782036,0.8888474415782036,0.0,sampled_SOC_state
990,0.929650147491043,0.929650147491043,0.0,sampled_SOC_state
1020,0.9495162969921336,0.9495162969921336,0.0,sampled_SOC_state
1050,0.936670467611373,0.936670467611373,0.0,sampled_SOC_state
1080,0.9040566558583751,0.904056655858375,1.1102230246251565e-16,sampled_SOC_state
1110,0.8768200096506981,0.8768200096506981,0.0,sampled_SOC_state
1140,0.8446407994408395,0.8446407994408394,1.1102230246251565e-16,sampled_SOC_state
1170,0.8205660219078875,0.8205660219078875,0.0,sampled_SOC_state
1200,0.8096966619586782,0.8096966619586783,-1.1102230246251565e-16,sampled_SOC_state
1230,0.8072981162224567,0.8072981162224566,1.1102230246251565e-16,sampled_SOC_state
1260,0.8064933442708414,0.8064933442708414,0.0,sampled_SOC_state
1290,0.764539217648853,0.7645392176488529,1.1102230246251565e-16,sampled_SOC_state
1320,0.7226799444840795,0.7226799444840795,0.0,sampled_SOC_state
1350,0.6779093764663743,0.6779093764663738,4.440892098500626e-16,sampled_SOC_state
1380,0.6358630184044108,0.6358630184044108,0.0,sampled_SOC_state
1410,0.5939878607911914,0.5939878607911913,1.1102230246251565e-16,sampled_SOC_state
1440,0.5519773795572388,0.5519773795572387,1.1102230246251565e-16,sampled_SOC_state
1440,0.5100000099998981,0.5100000099998981,0.0,terminal_SOC_after_final_dispatch_interval
