Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction,Feeder_nominal_P_demand_kW,PV_surplus_interval,BESS_net_discharge_kW,Gate_violation,Night_interval,Daytime_interval,Night_gate_max_phase_discharge_kW,Night_gate_allowed_day_discharge_kW,Night_gate_violation
One-stage weighted objective,630,10.5,229.74574207171457,229.745742170921,0.0,0.39659575813584874,51.220612505517686,5.144180651963993e-10,-51.220612505003274,0.9698924085900921,51.53880746427866,5.150101259378429e-10,-51.53880746376365,0.44192631723851655,51.593882044457885,5.151085142950679e-10,-51.59388204394278,0.44415551457173597,154.35330201425424,1.54453670542931e-09,-154.3533020127097,1.8559742404003445,0.0,0.0,42.915699999999994,True,-154.3533020127097,False,False,True,5.151085142950679e-10,0.0,False
One-stage weighted objective,660,11.0,235.99030875364213,235.9903088528441,0.0,0.46605474404140507,53.78907820016344,5.197092050945769e-10,-53.789078199643725,0.5618410482360211,53.86361977752727,5.198890191934428e-10,-53.86361977700738,0.32544177566794735,53.516622189907224,5.19228645559459e-10,-53.516622189388,0.3591006795498025,161.1693201675979,1.5588268698474786e-09,-161.1693201660391,1.2463835034537711,0.0,0.0,50.0505,True,-161.16932016603909,False,False,True,5.198890191934428e-10,0.0,False
One-stage weighted objective,690,11.5,232.58844417352725,232.58844427273158,0.0,0.5385809381159584,52.3861083330231,5.168643677894916e-10,-52.38610833250624,0.44169772083088554,52.62611356961344,5.173537379003288e-10,-52.62611356909608,0.44394092004367935,52.4314558832279,5.169994121179403e-10,-52.4314558827109,0.45041754989719074,157.44367778586445,1.5512175178077607e-09,-157.44367778431322,1.3360561907717556,0.0,0.0,32.4315,True,-157.44367778431322,False,False,True,5.173537379003288e-10,0.0,False
One-stage weighted objective,720,12.0,137.66254700039707,137.66254709967333,0.0,0.6094305931187357,20.727645683844223,4.379306087265634e-10,-20.727645683406294,0.44687406249250944,20.827575128802366,4.380278861446686e-10,-20.827575128364337,0.4445093765692847,20.815222532967873,4.380065769600712e-10,-20.81522253252987,0.44829179143516984,62.37044334561446,1.3139650718313031e-09,-62.3704433443005,1.3396752304969641,0.0,0.0,23.403,True,-62.3704433443005,False,False,True,4.380278861446686e-10,0.0,False
One-stage weighted objective,750,12.5,86.5071933071255,86.50719340643327,0.0,0.6374972926235322,3.8893128444235527,4.056879494606364e-10,-3.889312844017865,0.6811483450761575,3.7301313249164934,4.0557410830469265e-10,-3.730131324510919,-1.4832637652819083,3.695679012024695,4.055598902492013e-10,-3.695679011619135,0.6848295853083213,11.315123181364742,1.2168219480145303e-09,-11.31512318014792,-0.11728583489742948,0.0,0.0,25.086,True,-11.31512318014792,False,False,True,4.056879494606364e-10,0.0,False
One-stage weighted objective,780,13.0,63.43607803724001,63.436078136587994,0.0,0.6425890980544703,5.69872456853325e-10,4.493261828933059e-10,-1.2054627396001907e-10,-11.647204220292284,5.698722803751827e-10,4.4932645053393836e-10,-1.205458298412444e-10,-11.93076411621643,5.698683767429536e-10,4.493251786972307e-10,-1.20543198045723e-10,-12.689953906221088,1.7096131139714615e-09,1.347977812124475e-09,-3.6163530184698647e-10,-36.2679222427298,0.0,0.0,45.933,True,-3.616353018469865e-10,False,False,True,4.4932645053393836e-10,0.0,False
One-stage weighted objective,810,13.5,220.84312489531777,220.8431249945301,0.0,0.6425890980544907,48.57453103602664,5.084582835485739e-10,-48.574531035518184,2.964175527296699,48.98618202919836,5.088779567528975e-10,-48.98618202868948,-1.8428068998304645,48.53501174578478,5.080170900635283e-10,-48.53501174527677,-1.8753005773233546,146.09572481100977,1.5253533303649997e-09,-146.09572480948444,-0.7539319498571199,0.0,0.0,36.0845,True,-146.0957248094844,False,False,True,5.088779567528975e-10,0.0,False
One-stage weighted objective,840,14.0,219.0145041579911,219.0145042572073,0.0,0.7083321742185977,44.750129988001994,5.001881168129446e-10,-44.75012998750181,2.1058114716257585,48.125917489837754,5.064699775312082e-10,-48.12591748933128,-0.9576049140367097,47.859299578677245,5.059506464154923e-10,-47.859299578171296,-0.43962896280788943,140.73534705651699,1.512608740759645e-09,-140.73534705500438,0.7085775947811597,0.0,0.0,41.0365,True,-140.73534705500438,False,False,True,5.064699775312082e-10,0.0,False
One-stage weighted objective,870,14.5,209.104784648659,209.10478474788098,0.0,0.7716630803931901,43.9570024963635,4.969372027010624e-10,-43.95700249586656,3.497935877071195,44.78786780433193,4.982128409763543e-10,-44.78786780383372,-2.435251287467677,44.691082142488646,4.980406011859614e-10,-44.691082141990606,-2.639216663017093,133.43595244318408,1.493190644863378e-09,-133.43595244169086,-1.5765320734135753,0.0,0.0,35.203,True,-133.4359524416909,False,False,True,4.982128409763543e-10,0.0,False
One-stage weighted objective,900,15.0,169.58967598894523,169.58967608819952,0.0,0.8317092589917935,31.401481647575988,4.6167857414301024e-10,-31.40148164711431,0.42049575233423986,31.54507379496454,4.6191353434490924e-10,-31.545073794502628,0.44500167658401607,31.40442388428166,4.6168852642881495e-10,-31.40442388381997,0.44808827384419775,94.35097932682218,1.3852806349167344e-09,-94.3509793254369,1.3135857027624538,0.0,0.0,39.21,True,-94.35097932543691,False,False,True,4.6191353434490924e-10,0.0,False
One-stage weighted objective,930,15.5,108.38617806758464,108.3861781668784,0.0,0.8741671996880939,10.567623795327695,4.1971592247470555e-10,-10.567623794907979,0.9742268937124506,11.05963211813222,4.1999137480562283e-10,-11.059632117712228,0.43920834563304406,10.99550384389457,4.199569449953898e-10,-10.995503843474612,0.45373589373568435,32.62275975735449,1.2596642422757182e-09,-32.62275975609482,1.867171133081179,0.0,0.0,25.9245,True,-32.62275975609482,False,False,True,4.1999137480562283e-10,0.0,False
