Time_sample,Time_h,PV_architecture,PV_available_P_W,PV_command_P_W,PV_Q_command_var,PV_curtailment_W,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,CentralSolar_P_curtailment_W
720,12.0,central,137662.54700039705,137662.54709967333,7.723800597440387e-06,0.0,137662.54700039705,137662.54709967333,7.723800597440387e-06,0.0
750,12.5,central,86507.1933071255,86507.19340643327,1.5222809643266179e-05,0.0,86507.1933071255,86507.19340643327,1.5222809643266179e-05,0.0
780,13.0,central,63436.07803724001,63436.078136587996,-1.6499019299560137e-07,0.0,63436.07803724001,63436.078136587996,-1.6499019299560137e-07,0.0
810,13.5,central,220843.12489531777,220843.12499453008,7.988232322615795e-06,0.0,220843.12489531777,220843.12499453008,7.988232322615795e-06,0.0
840,14.0,central,219014.5041579911,219014.5042572073,4.988670866106767e-06,0.0,219014.5041579911,219014.5042572073,4.988670866106767e-06,0.0
870,14.5,central,209104.784648659,209104.78474788097,1.468614183055769e-05,0.0,209104.784648659,209104.78474788097,1.468614183055769e-05,0.0
900,15.0,central,169589.67598894524,169589.6760881995,8.524419817735678e-06,0.0,169589.67598894524,169589.6760881995,8.524419817735678e-06,0.0
930,15.5,central,108386.17806758464,108386.1781668784,9.46085291767817e-06,0.0,108386.17806758464,108386.1781668784,9.46085291767817e-06,0.0
960,16.0,central,167971.81180257935,167971.8119018363,4.950434739304328e-06,0.0,167971.81180257935,167971.8119018363,4.950434739304328e-06,0.0
990,16.5,central,124580.44620067778,124580.44629996468,-9.332397831851363e-06,0.0,124580.44620067778,124580.44629996468,-9.332397831851363e-06,0.0
1020,17.0,central,58867.659044205095,51160.16151538486,7.411730952906412e-06,7707.497528820233,58867.659044205095,51160.16151538486,7.411730952906412e-06,7707.497528820233
1050,17.5,central,21386.15526279812,1817.8683106283422,-3.419382593358188e-06,19568.286952169776,21386.15526279812,1817.8683106283422,-3.419382593358188e-06,19568.286952169776
1080,18.0,central,35726.29562474032,19384.307999764947,-5.782999544096858e-07,16341.987624975372,35726.29562474032,19384.307999764947,-5.782999544096858e-07,16341.987624975372
1110,18.5,central,34880.48921037201,15572.963184085958,7.296618569802319e-06,19307.526026286054,34880.48921037201,15572.963184085958,7.296618569802319e-06,19307.526026286054
1140,19.0,central,14676.355200650205,231.4887805110293,-2.6305620704595862e-06,14444.866420139177,14676.355200650205,231.4887805110293,-2.6305620704595862e-06,14444.866420139177
1170,19.5,central,6556.644238336597,35.02833401437799,-2.547129068261069e-07,6521.615904322219,6556.644238336597,35.02833401437799,-2.547129068261069e-07,6521.615904322219
1200,20.0,central,1478.7101336823926,39.582706376701545,2.1047884388019466e-07,1439.127427305691,1478.7101336823926,39.582706376701545,2.1047884388019466e-07,1439.127427305691
1230,20.5,central,513.8621598622417,30.998993672402467,7.115725144009761e-08,482.8631661898392,513.8621598622417,30.998993672402467,7.115725144009761e-08,482.8631661898392
1260,21.0,central,0.0,1.269027646317072e-11,-9.989164102031187e-06,0.0,0.0,1.269027646317072e-11,-9.989164102031187e-06,0.0
1290,21.5,central,0.0,1.2690338483158033e-11,-4.19838650506651e-05,0.0,0.0,1.2690338483158033e-11,-4.19838650506651e-05,0.0
1320,22.0,central,0.0,1.269041677196073e-11,9.160241987135723e-06,0.0,0.0,1.269041677196073e-11,9.160241987135723e-06,0.0
1350,22.5,central,0.0,1.2690309564099999e-11,-9.66586857573061e-06,0.0,0.0,1.2690309564099999e-11,-9.66586857573061e-06,0.0
1380,23.0,central,0.0,1.2690353476251033e-11,-2.399654437086618e-05,0.0,0.0,1.2690353476251033e-11,-2.399654437086618e-05,0.0
1410,23.5,central,0.0,1.2690299456500979e-11,-5.6458623886927696e-06,0.0,0.0,1.2690299456500979e-11,-5.6458623886927696e-06,0.0
1440,24.0,central,0.0,1.2690299105469121e-11,-1.5817009776867034e-05,0.0,0.0,1.2690299105469121e-11,-1.5817009776867034e-05,0.0
