Time_sample,Time_h,Feeder_line,OPF_P_sending_A_kW,OPF_P_sending_B_kW,OPF_P_sending_C_kW,OPF_source_flow_total_kW,OPF_feeder_import_kW,OPF_feeder_export_kW,OPF_feeder_export_energy_kWh,sign_convention,units
960,16.0,feeder2_line1,-7.199445106341489,-2.7093986766926204,-15.746597016739312,-25.655440799773423,0.0,25.655440799773423,12.827720399886712,positive source flow = import; negative source flow = export,kW; energy column kWh
990,16.5,feeder2_line1,-7.740662678523969,-12.91527170576763,-12.38951949221461,-33.04545387650621,0.0,33.04545387650621,16.522726938253104,positive source flow = import; negative source flow = export,kW; energy column kWh
1020,17.0,feeder2_line1,0.41532068180432086,-6.65810807593593,-0.2234390766055538,-6.466226470737163,0.0,6.466226470737163,3.2331132353685814,positive source flow = import; negative source flow = export,kW; energy column kWh
1050,17.5,feeder2_line1,6.339571823954424,5.352471748831477,-4.775818838121545,6.9162247346643575,6.9162247346643575,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1080,18.0,feeder2_line1,9.423354880372134,-9.769887020679214,-12.394314487077862,-12.740846627384942,0.0,12.740846627384942,6.370423313692471,positive source flow = import; negative source flow = export,kW; energy column kWh
1110,18.5,feeder2_line1,2.912455753354922,-0.9942705652473778,-6.125325258720434,-4.20714007061289,0.0,4.20714007061289,2.103570035306445,positive source flow = import; negative source flow = export,kW; energy column kWh
1140,19.0,feeder2_line1,2.2867493216255235,4.0862897124985595,5.526006393849236,11.89904542797332,11.89904542797332,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1170,19.5,feeder2_line1,10.84957260928942,3.64341111211984,10.73672215276272,25.22970587417198,25.22970587417198,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1200,20.0,feeder2_line1,16.016404564794776,19.96599711216155,22.42612351400912,58.40852519096545,58.40852519096545,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1230,20.5,feeder2_line1,13.815468156595113,20.309198932434853,16.84314234615009,50.96780943518006,50.96780943518006,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1260,21.0,feeder2_line1,-11.855059123667768,-12.271849537031935,-13.123761759636315,-37.25067042033602,0.0,37.25067042033602,18.62533521016801,positive source flow = import; negative source flow = export,kW; energy column kWh
1290,21.5,feeder2_line1,-8.493093759599724,-4.384657204482981,-12.313667481530747,-25.19141844561345,0.0,25.19141844561345,12.595709222806725,positive source flow = import; negative source flow = export,kW; energy column kWh
1320,22.0,feeder2_line1,-12.822518611990231,-11.165370953684935,-12.105748111910009,-36.09363767758518,0.0,36.09363767758518,18.04681883879259,positive source flow = import; negative source flow = export,kW; energy column kWh
1350,22.5,feeder2_line1,-12.530397109083587,-12.228177846861524,-12.66139399843241,-37.419968954377524,0.0,37.419968954377524,18.709984477188762,positive source flow = import; negative source flow = export,kW; energy column kWh
1380,23.0,feeder2_line1,-15.099244618798126,-7.977244239500776,-12.327895835813926,-35.40438469411283,0.0,35.40438469411283,17.702192347056414,positive source flow = import; negative source flow = export,kW; energy column kWh
1410,23.5,feeder2_line1,-13.430036995643093,-17.68802084851563,-14.650267644511892,-45.76832548867061,0.0,45.76832548867061,22.884162744335306,positive source flow = import; negative source flow = export,kW; energy column kWh
1440,24.0,feeder2_line1,-14.089504879156904,-17.251814832467986,-13.417037921354922,-44.75835763297981,0.0,44.75835763297981,22.379178816489905,positive source flow = import; negative source flow = export,kW; energy column kWh
