Time_sample,Time_h,BESS_P_ch_A_W,BESS_P_ch_B_W,BESS_P_ch_C_W,BESS_P_dis_A_W,BESS_P_dis_B_W,BESS_P_dis_C_W,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,BESS_Q_A_var,BESS_Q_B_var,BESS_Q_C_var,BESS_Q_total_var,BESS_SOC_pu
330,5.5,5.696956811910539e-07,5.696953889220915e-07,5.696955312224374e-07,4.491206255174637e-07,4.4912098328678255e-07,4.491220028598939e-07,-1.2057505567359024e-07,-1.2057440563530898e-07,-1.205735283625435e-07,-3.6172298967144273e-07,-22656.058175153205,-22912.444769255322,-22758.048701569525,-68326.55164597805,0.18701633127002631
360,6.0,5.697762614066938e-07,5.697774436810853e-07,5.697779279421947e-07,4.4921599435418267e-07,4.4921650330077644e-07,4.4921720574041555e-07,-1.205602670525111e-07,-1.2056094038030883e-07,-1.2056072220177912e-07,-3.6168192963459905e-07,-21625.91234739166,-20885.84768467502,-21270.644912073632,-63782.40494414032,0.18701633127004688
390,6.5,5.698810645951128e-07,5.698763469883653e-07,5.698784772452601e-07,4.4933340371112166e-07,4.493374041146864e-07,4.4933485064637855e-07,-1.2054766088399115e-07,-1.2053894287367888e-07,-1.2054362659888153e-07,-3.6163023035655156e-07,-10393.591088734558,-10452.490109098519,-10360.660749130375,-31206.741946963448,0.1870163312700674
420,7.0,2.115612907578249e-07,1945.0667949357553,1929.9494227054051,7.858024966102677e-07,5.727007196698805e-07,5.726733543342936e-07,5.742412058524428e-07,-1945.0667943630547,-1929.9494221327318,-3875.016215921545,2693.755023455389,-890.8817275697081,183.12146025195167,1985.9947561376327,0.18701633127008785
450,7.5,21529.674967592422,21507.31193256006,21546.513982973924,4.3939867865009445e-07,4.393899486550283e-07,4.394085422475346e-07,-21529.674967153023,-21507.31193212067,-21546.513982534514,-64583.5008818082,-2283.141648338902,1769.4727740803821,-238.29008768133312,-751.9589619398531,0.1887600885670487
480,8.0,20694.76797716233,20802.651090439947,21094.717481607735,4.380127681908878e-07,4.380878575303955e-07,4.3829687088213016e-07,-20694.767976724317,-20802.65109000186,-21094.71748116944,-62592.136547895614,-2111.6983292996756,907.0847256648058,682.6561574994813,-521.9574461353885,0.21782266396372324
510,8.5,27427.917293820254,27451.050578486556,27587.327441174584,4.5190548075604153e-07,4.5194339956970277e-07,4.5210901519839e-07,-27427.917293368348,-27451.050578034614,-27587.327440722474,-82466.29531212544,-206.9037868509552,499.95657951238127,560.6059283144101,853.6587209758361,0.24598912541013754
540,9.0,32313.213225858064,32497.29848638635,32453.50168550656,4.641502308097303e-07,4.644298223395494e-07,4.64365775174107e-07,-32313.213225393913,-32497.29848592192,-32453.501685042193,-97264.01339635803,145.42980855558116,864.052270380406,64.86052699159814,1074.3426059275853,0.28309895830045084
570,9.5,36533.00475447376,36899.23603027532,36693.18536281997,4.757506415212189e-07,4.76557190245159e-07,4.760284637519753e-07,-36533.00475399801,-36899.23602979876,-36693.18536234394,-110125.4261461407,-1282.29913989797,2447.057267574483,-1390.3573583904167,-225.5992307139038,0.32686776432866493
600,10.0,14958.645335126848,14785.053441122316,15081.972428824767,4.2736496255023354e-07,4.272697909636694e-07,4.274346084077317e-07,-14958.645334699484,-14785.053440695046,-15081.972428397332,-44825.67120379186,-4011.246068136403,2544.721855613509,-625.7274163216002,-2092.2516288444945,0.3764242060942775
