Time_sample,Time_h,PV_architecture,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,NetCentral_P_injection_A_W,NetCentral_P_injection_B_W,NetCentral_P_injection_C_W,NetCentral_P_injection_total_W,BESS_SOC_pu
450,7.5,central,139783.09169335256,139783.0917926275,-3.841983487269467e-06,-21529.674967153023,-21507.31193212067,-21546.513982534514,-64583.5008818082,25064.688963722812,25087.051998755167,25047.84994834132,75199.5909108193,0.1887600885670487
480,8.0,central,137806.99617541744,137806.99627469358,1.1031421981876955e-05,-20694.767976724317,-20802.65109000186,-21094.71748116944,-62592.136547895614,25240.897448173542,25133.014334896,24840.94794372842,75214.85972679796,0.21782266396372324
510,8.5,central,157786.37576376746,157786.37586303067,1.0533538243940976e-05,-27427.917293368348,-27451.050578034614,-27587.327440722474,-82466.29531212544,25167.541327641873,25144.408042975607,25008.131180287746,75320.08055090523,0.24598912541013754
540,9.0,central,172443.48122961321,172443.48132886516,8.776230622616326e-06,-32313.213225393913,-32497.29848592192,-32453.501685042193,-97264.01339635803,25167.947217561144,24983.861957033136,25027.658757912865,75179.46793250713,0.28309895830045084
570,9.5,central,185006.28302110874,185006.28312035007,-1.0041831201582302e-06,-36533.00475399801,-36899.23602979876,-36693.18536234394,-110125.4261461407,25135.75628611868,24769.525010317928,24975.57567777275,74880.85697420937,0.32686776432866493
600,10.0,central,119416.07162306807,119416.07172235454,2.7519988874533303e-07,-14958.645334699484,-14785.053440695046,-15081.972428397332,-44825.67120379186,24846.711906085366,25020.3038000898,24723.384812387514,74590.40051856267,0.3764242060942775
630,10.5,central,229745.74207171457,229745.742170921,8.497594279453932e-06,-51220.61250500327,-51538.80746376365,-51593.88204394278,-154353.3020127097,25361.30155197039,25043.10659321001,24988.032013030883,75392.4401582113,0.39659575813584874
660,11.0,central,235990.30875364214,235990.3088528441,6.392275907303937e-06,-53789.07819964373,-53863.61977700738,-53516.622189388,-161169.3201660391,24874.358084637628,24799.81650727398,25146.814094893358,74820.98868680498,0.46605474404140507
690,11.5,central,232588.44417352724,232588.44427273158,1.0035427245875405e-05,-52386.10833250624,-52626.11356909608,-52431.4558827109,-157443.67778431321,25143.373091737616,24903.36785514778,25098.02554153296,75144.76648841836,0.5385809381159584
720,12.0,central,137662.54700039705,137662.54709967333,7.723800597440387e-06,-20727.645683406296,-20827.575128364337,-20815.222532529868,-62370.4433443005,25159.870016484816,25059.940571526775,25072.293167361244,75292.10375537284,0.6094305931187357
750,12.5,central,86507.1933071255,86507.19340643327,1.5222809643266179e-05,-3889.312844017865,-3730.131324510919,-3695.679011619135,-11315.123180147919,24946.418291459893,25105.59981096684,25140.052123858623,75192.07022628536,0.6374972926235322
780,13.0,central,63436.07803724001,63436.078136587996,-1.6499019299560137e-07,-1.2054627396001908e-07,-1.205458298412444e-07,-1.20543198045723e-07,-3.6163530184698647e-07,21145.359378742116,21145.35937874212,21145.35937874212,63436.07813622636,0.6425890980544703
810,13.5,central,220843.12489531777,220843.12499453008,7.988232322615795e-06,-48574.53103551819,-48986.18202868948,-48535.011745276766,-146095.72480948444,25039.843962658502,24628.19296948721,25079.363252899922,74747.40018504564,0.6425890980544907
840,14.0,central,219014.5041579911,219014.5042572073,4.988670866106767e-06,-44750.12998750181,-48125.91748933128,-47859.299578171296,-140735.3470550044,28254.70476490062,24878.917263071147,25145.535174231132,78279.15720220291,0.7083321742185977
870,14.5,central,209104.784648659,209104.78474788097,1.468614183055769e-05,-43957.00249586656,-44787.86780383372,-44691.082141990606,-133435.95244169087,25744.59242009376,24913.727112126602,25010.512773969713,75668.8323061901,0.7716630803931901
900,15.0,central,169589.67598894524,169589.6760881995,8.524419817735678e-06,-31401.48164711431,-31545.073794502627,-31404.42388381997,-94350.9793254369,25128.41038228553,24984.81823489721,25125.468145579867,75238.69676276261,0.8317092589917935
930,15.5,central,108386.17806758464,108386.1781668784,9.46085291767817e-06,-10567.623794907979,-11059.632117712228,-10995.503843474613,-32622.75975609482,25561.10226071815,25069.0939379139,25133.22221215152,75763.41841078358,0.8741671996880939
960,16.0,central,167971.81180257935,167971.8119018363,4.950434739304328e-06,-28485.223036625433,-31324.84410809084,-30862.612661916377,-90672.67980663266,27505.380930653333,24665.759859187925,25127.99130536239,77299.13209520365,0.8888474415782036
990,16.5,central,124580.44620067778,124580.44629996468,-9.332397831851363e-06,-11283.948192829213,-16377.440025407654,-16485.61067337596,-44146.99889161283,30242.86724049234,25149.375407913903,25041.2047599456,80433.44740835184,0.929650147491043
1020,17.0,central,58867.659044205095,51160.16151538486,7.411730952906412e-06,7707.497628414064,7707.497628414069,7707.49762841407,23122.4928852422,24760.88480020902,24760.884800209024,24760.884800209024,74282.65440062707,0.9495162969921336
1050,17.5,central,21386.15526279812,1817.8683106283422,-3.419382593358188e-06,19568.287051754804,19568.287051754804,19568.287051754807,58704.861155264414,20174.243155297583,20174.243155297583,20174.243155297587,60522.72946589276,0.936670467611373
1080,18.0,central,35726.29562474032,19384.307999764947,-5.782999544096858e-07,16341.987724562692,16341.9877245627,16341.987724562701,49025.96317368809,22803.423724484343,22803.42372448435,22803.42372448435,68410.27117345305,0.9040566558583751
1110,18.5,central,34880.48921037201,15572.963184085958,7.296618569802319e-06,19307.52612587126,19307.526125871264,19307.526125871264,57922.57837761379,24498.513853899913,24498.513853899916,24498.513853899916,73495.54156169975,0.8768200096506981
1140,19.0,central,14676.355200650205,231.4887805110293,-2.6305620704595862e-06,14444.86651972789,14444.86651972789,14444.86651972789,43334.59955918367,14522.029446564899,14522.029446564899,14522.029446564899,43566.088339694696,0.8446407994408395
1170,19.5,central,6556.644238336597,35.02833401437799,-2.547129068261069e-07,6521.6159694834205,6521.6159694834205,6521.6159694834205,19564.84790845026,6533.292080821547,6533.292080821547,6533.292080821547,19599.87624246464,0.8205660219078875
1200,20.0,central,1478.7101336823926,39.582706376701545,2.1047884388019466e-07,1439.127441691571,1439.127441691571,1439.127441691571,4317.382325074713,1452.3216771504715,1452.3216771504715,1452.3216771504715,4356.965031451415,0.8096966619586782
1230,20.5,central,513.8621598622417,30.998993672402467,7.115725144009761e-08,482.8631709280007,482.86317092800044,482.8631709280006,1448.5895127840017,493.19616881880154,493.19616881880125,493.1961688188014,1479.5885064564043,0.8072981162224567
1260,21.0,central,0.0,1.269027646317072e-11,-9.989164102031187e-06,25373.859321794702,25083.201081797066,25060.364371628155,75517.42477521992,25373.859321794705,25083.20108179707,25060.36437162816,75517.42477521993,0.8064933442708414
1290,21.5,central,0.0,1.2690338483158033e-11,-4.19838650506651e-05,25426.740368827417,24772.71756410163,25147.2306119141,75346.68854484314,25426.74036882742,24772.717564101633,25147.230611914103,75346.68854484316,0.764539217648853
1320,22.0,central,0.0,1.269041677196073e-11,9.160241987135723e-06,30588.093387672496,24976.45882615042,25022.467244848696,80587.01945867161,30588.0933876725,24976.458826150425,25022.4672448487,80587.01945867162,0.7226799444840795
1350,22.5,central,0.0,1.2690309564099999e-11,-9.66586857573061e-06,25621.17384124379,24995.43771299796,25066.829819546365,75683.44137378811,25621.173841243795,24995.437712997962,25066.82981954637,75683.44137378813,0.6779093764663743
1380,23.0,central,0.0,1.2690353476251033e-11,-2.399654437086618e-05,25466.10091013002,24789.660194697488,25119.519448393025,75375.28055322054,25466.100910130022,24789.66019469749,25119.519448393028,75375.28055322055,0.6358630184044108
1410,23.5,central,0.0,1.2690299456500979e-11,-5.6458623886927696e-06,25456.708765631436,25149.055666841512,25013.09864842654,75618.8630808995,25456.70876563144,25149.055666841516,25013.098648426545,75618.86308089951,0.5939878607911914
1440,24.0,central,0.0,1.2690299105469121e-11,-1.5817009776867034e-05,25471.797659298303,25109.03375112726,24978.430650051425,75559.26206047699,25471.797659298307,25109.033751127263,24978.43065005143,75559.262060477,0.5519773795572388
