Time_sample,Time_h,Bus,OPF_VUF2_percent,OPF_VUF0_percent,DSS_VUF2_percent,DSS_VUF0_percent
30,0.5,secondary,0.023688477703739462,0.013326269782710745,0.023692099528728687,0.013331086284237476
30,0.5,feeder2_44,0.04406038330551964,0.06946702806524349,0.04407165539813101,0.06948669676052466
30,0.5,feeder2_45,0.04477068144389609,0.07178125281923757,0.044782406538220125,0.07179900615480543
30,0.5,feeder2_46,0.045809594456076574,0.06752344169061367,0.04581938063563001,0.06754160782431673
30,0.5,feeder2_51,0.046022482719721224,0.07589652372943134,0.0460257826242266,0.07591357761019563
30,0.5,feeder2_48,0.04460731743766917,0.07117087202846352,0.044612477733938144,0.07118859031329011
30,0.5,feeder2_52,0.04233466158305579,0.07982724880430749,0.0423420655362982,0.0798458558487598
30,0.5,feeder2_68,0.049841476104243866,0.08598651341188183,0.04985328718253467,0.08600667678643813
30,0.5,feeder2_69,0.050016000500779284,0.08603403644599046,0.05002197841614474,0.08605379595975046
30,0.5,feeder2_71,0.050346685450065244,0.08731856148533486,0.050350590724657106,0.08733799904869158
30,0.5,feeder2_72,0.050261556173430366,0.08707617523765283,0.05026688942080572,0.08709177306270982
30,0.5,feeder2_73,0.051934458600655604,0.0915157587348993,0.051941423653697194,0.09153469324484663
30,0.5,feeder2_74,0.051853465506581924,0.09161784556682986,0.051866849088596664,0.0916393631333914
30,0.5,feeder2_77,0.05329865135783056,0.09510007043212666,0.05330914803277712,0.09511985533313407
30,0.5,feeder2_79,0.053673533493679954,0.09517963003923272,0.053685186283848225,0.09520169613686047
30,0.5,feeder2_81,0.05542801381207156,0.10071655106284462,0.05543525258644496,0.10073899630680559
30,0.5,feeder2_82,0.05525140276103289,0.1001438516148847,0.05525656038941822,0.10016647835105377
30,0.5,feeder2_116,0.06512782907538851,0.12651002874649447,0.06513541013217601,0.12653483953604547
30,0.5,feeder2_119,0.06294165754475005,0.12893346294333863,0.06295123452422854,0.12896139299733728
30,0.5,feeder2_120,0.0689343466857346,0.13473412527310646,0.06894502184379175,0.1347590479799382
30,0.5,feeder2_248,0.06678113515119857,0.13701379055095217,0.06679772188082209,0.13704384624085492
30,0.5,feeder2_124,0.07142611669125903,0.1388726731714861,0.0714421169870501,0.13890291740956132
30,0.5,feeder2_282,0.07136095317329966,0.13872329959732999,0.07137383827187498,0.13875207539885598
30,0.5,feeder2_275,0.07134355643688653,0.13899124279892097,0.07135647228086281,0.13901908453556608
30,0.5,feeder2_151,0.0757773960860114,0.1461000577198966,0.07578982135591229,0.14612964273392676
30,0.5,feeder2_295,0.07587770270461908,0.14612861211571915,0.07588968344744992,0.14616092035130737
30,0.5,feeder2_311,0.0760685230972603,0.1461711485765987,0.07608480913695113,0.14620306376003608
30,0.5,feeder2_201,0.08292052594784474,0.15795209185133574,0.08293400767701463,0.1579840350966776
30,0.5,feeder2_314,0.08285628233314091,0.15782867483526106,0.08287265732668808,0.15786473702138376
30,0.5,feeder2_342,0.09310533822454267,0.17502005921135655,0.09312098311745083,0.17505778831175808
30,0.5,feeder2_368,0.09479821395883585,0.17761085135116067,0.09481672509597494,0.1776527837674349
30,0.5,feeder2_347,0.09591763581532571,0.1789957453566458,0.09593313457649932,0.17902733370915397
30,0.5,feeder2_353,0.09735254194463527,0.18134573742608032,0.09737217750894062,0.18137715644971744
30,0.5,feeder2_518,0.09579841676188257,0.17872691920035247,0.09581942125708501,0.17876210859866712
30,0.5,feeder2_365,0.09895302505040986,0.1839830920877162,0.0989666788989431,0.18400794350425073
30,0.5,feeder2_653,0.09717084970829482,0.18161447542257442,0.09718600446400791,0.1816430821361425
30,0.5,feeder2_377,0.09920458397675691,0.1849705965404486,0.09922863657407706,0.18499584759814977
30,0.5,feeder2_622,0.11120890834178795,0.18558973685613836,0.11122306384260684,0.18562705275726127
30,0.5,feeder2_451,0.09469048628216292,0.1773523370366748,0.09470582419945996,0.17739311978376565
30,0.5,feeder2_383,0.09758417246368785,0.18240476101135758,0.09759882550412241,0.1824526300632199
30,0.5,feeder2_385,0.0994942810745043,0.18635619352324798,0.0995086209506738,0.18637488559773452
30,0.5,feeder2_621,0.09931086355829168,0.18498487200860725,0.09932398190343684,0.1850071630693805
30,0.5,feeder2_611,0.09745751847787955,0.18255697043227176,0.09746842547402132,0.18260516093366502
30,0.5,feeder2_405,0.09775950506603626,0.18271266324376378,0.09777880120498805,0.18276071188681195
30,0.5,feeder2_461,0.1011292821515269,0.19217864193561865,0.10114819267482107,0.19217763340094374
30,0.5,feeder2_594,0.09810879213363374,0.18780589571307565,0.0981285572402514,0.18782536744486114
30,0.5,feeder2_732,0.09500876043970621,0.1856044593776815,0.09502748242605309,0.1856554775993994
30,0.5,feeder2_417,0.09923995447069767,0.184461276970515,0.09925754007653848,0.18451205203352805
30,0.5,feeder2_663,0.09939362825956766,0.18454301172134674,0.09941348186686894,0.18459379284416053
30,0.5,feeder2_444,0.10035435030937416,0.18582903966651054,0.10037105832246807,0.18588352323117865
30,0.5,feeder2_759,0.10180206741911457,0.1845077594189752,0.10182260851208734,0.18455878423075092
30,0.5,feeder2_842,0.12211075933479192,0.19463538031620495,0.1221252916583124,0.1946971637874035
30,0.5,feeder2_459,0.1003743437188468,0.18586778017890693,0.10038825511169783,0.18592146281542254
30,0.5,feeder2_702,0.10034958364487907,0.1858088036893431,0.10036409638267796,0.18585959676970978
30,0.5,feeder2_493,0.10045472410330732,0.1860384566649313,0.10046947273594477,0.1860916227039784
30,0.5,feeder2_651,0.10133340890344147,0.19215334538737722,0.1013540987319798,0.19215214740497824
30,0.5,feeder2_684,0.10248230203536512,0.20002424742469155,0.1025039269160492,0.20000543698002526
30,0.5,feeder2_674,0.10042898252055356,0.18606782064411598,0.10044261403369137,0.18611814522380435
30,0.5,feeder2_696,0.10069970686246894,0.18642280005446915,0.10071478829107908,0.18647571384823755
30,0.5,feeder2_681,0.10038651226606587,0.18611663911235168,0.10040020743902875,0.18616819417824948
30,0.5,feeder2_682,0.10038683685425229,0.18611551979599802,0.10040062439105053,0.18616713576837493
30,0.5,feeder2_728,0.10232153750068962,0.20033803205400028,0.1023416825649664,0.20031637192172777
30,0.5,feeder2_724,0.1042393140548081,0.20980676084458738,0.10426052312417645,0.20977091329144296
30,0.5,feeder2_703,0.10137398927185799,0.18667234126814117,0.10138815620042271,0.18672399957616442
30,0.5,feeder2_704,0.10084546966485784,0.1864750869783622,0.1008593749010524,0.18652958329731467
30,0.5,feeder2_754,0.10409095532528116,0.20961573553726,0.10411002907158765,0.2095747757114314
30,0.5,feeder2_747,0.10500392475745415,0.21452363562152219,0.10502427121929327,0.21447785320311408
30,0.5,feeder2_828,0.10229826471706116,0.20038970524364758,0.10231900655752588,0.20036797464560255
30,0.5,feeder2_763,0.10208718600899683,0.20072845249054236,0.10210803218599371,0.20070660401612564
30,0.5,feeder2_836,0.10609934598447182,0.2129399203473805,0.10611759264555619,0.21289131544570203
30,0.5,feeder2_758,0.10552043847393956,0.21952726394196317,0.10553576975225233,0.2194727600004808
30,0.5,feeder2_788,0.10586880515538523,0.21978527676235052,0.10589138441606295,0.2197336761317681
30,0.5,feeder2_812,0.10730021811108285,0.23601714375019164,0.10732635924256338,0.23595025076947584
30,0.5,feeder2_947,0.10177510054785918,0.20026163268669997,0.10179699631546164,0.20023775762464147
30,0.5,feeder2_868,0.10222312632940705,0.20066788446093795,0.10224422091271819,0.2006476006224874
30,0.5,feeder2_785,0.10199369104104852,0.20115656795852963,0.10200941529314286,0.20113090397981104
30,0.5,feeder2_1176,0.10247863146087613,0.20104863825846905,0.10249957856331096,0.20102822817854438
30,0.5,feeder2_846,0.10117567400341518,0.20198059910074284,0.1011941922912656,0.2019606672124913
30,0.5,feeder2_911,0.10197112658700419,0.20107148447480824,0.10199463218807465,0.20105380630825653
30,0.5,feeder2_1107,0.10702839006423025,0.2376785515489829,0.10704693176083778,0.23760744016416324
30,0.5,feeder2_920,0.10788827486966214,0.2404618280792075,0.10790555669166911,0.24038248625753902
30,0.5,feeder2_926,0.10876845127426157,0.2471485945319326,0.10879256168148196,0.24706839169446926
30,0.5,feeder2_1239,0.10789203972411923,0.24064335343917825,0.10791637662296923,0.2405725009535794
30,0.5,feeder2_933,0.10917647415392064,0.25010973102007394,0.10920261408150843,0.250027721750685
30,0.5,feeder2_1146,0.1086954408029952,0.24750036493520086,0.10871477586212736,0.2474157594884629
30,0.5,feeder2_1124,0.10932685920906904,0.2500280069477017,0.1093442779762562,0.24993786583476968
30,0.5,feeder2_942,0.11019409875818711,0.257845389734489,0.11021536131841311,0.25775196795615823
30,0.5,feeder2_952,0.11208344084203126,0.2672002769840656,0.11210255530833123,0.2670977156362658
30,0.5,feeder2_965,0.11014790036668994,0.25815710424343585,0.11016816651563119,0.2580667238927495
30,0.5,feeder2_961,0.1123054993757063,0.26815914075631264,0.11232767673459644,0.2680579648747863
30,0.5,feeder2_963,0.11208015537268623,0.2672152012214134,0.11209919833416479,0.2671106343303629
30,0.5,feeder2_973,0.11349615931028519,0.27325808031699544,0.11351552591984551,0.27314758256408656
30,0.5,feeder2_1128,0.11230817220051598,0.26822138320741135,0.11233372369717945,0.26812391468998165
30,0.5,feeder2_1113,0.1121912192836671,0.267450972383349,0.11220683238955825,0.2673470840333812
30,0.5,feeder2_1143,0.11195686084621874,0.26769223766657413,0.11198020280348668,0.26759050011008373
30,0.5,feeder2_1238,0.11248519617601965,0.261681848988944,0.11250685838387273,0.26158393396376417
30,0.5,feeder2_979,0.11011394843661793,0.25833106020714525,0.11013601042039567,0.25823782473303364
30,0.5,feeder2_1236,0.11506597438564069,0.2821607431744593,0.11508943234247683,0.282049086510441
30,0.5,feeder2_989,0.11349834703184468,0.27324747584276976,0.1135195112958894,0.27314063246456044
30,0.5,feeder2_1196,0.1091729693650526,0.2589854622670875,0.10918931279784291,0.25888863130074885
30,0.5,feeder2_1158,0.11445503569424798,0.27191260175942233,0.11447720798916881,0.27180744238151394
30,0.5,feeder2_1122,0.10679110459683402,0.23886925170178583,0.10681440034742588,0.23880380563706022
30,0.5,feeder2_1258,0.10766648317504822,0.23698286696402676,0.1076887618656564,0.23691310517129083
30,0.5,feeder2_1303,0.10670940790126922,0.238788922817861,0.1067260594889378,0.23871823630120492
30,0.5,feeder2_1138,0.1066133658278212,0.23983916564258678,0.10662991467867494,0.23976672659675413
30,0.5,feeder2_1304,0.1051653726365694,0.24118005115633798,0.10519099860858155,0.2411150431587714
