Time_sample_min,Time_h,PV_available_kW,PV_seed_fraction,PV_seed_kW,BESS_seed_P_ch_kW,BESS_seed_P_dis_kW,BESS_seed_P_net_kW,BESS_seed_SOC_pu,Min_voltage_pu,Max_voltage_pu,Max_line_loading_pu_of_security_limit,Transformer_loading_pu_of_security_limit
30,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0660259205156888,1.075353638895958,0.12998360335224807,0.0254182333567427
60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0685356181580035,1.0746914603531168,0.1058561151677912,0.01880216282889218
90,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0701203669456751,1.0746039803700074,0.10577816433376735,0.017859918916568542
120,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0676047227788288,1.0764690747530967,0.10556065915810942,0.019329927824458807
150,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.069569058049101,1.074645143534265,0.10568226708306207,0.01576946201542822
180,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0702776855557834,1.0746983979650704,0.10577956112948331,0.017032332351485078
210,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0690242903295115,1.0744471242673628,0.10574723253346453,0.02304380677159204
240,4.0,0.8028310228511782,1.0,0.8028310228511782,0.0,0.0,0.0,0.5,1.0700752394317299,1.074675536881871,0.10582538566204032,0.016986434508128666
270,4.5,3.34813146317036,1.0,3.34813146317036,0.0,0.0,0.0,0.5,1.0705837994241714,1.0767514025233582,0.10578131434893367,0.011495654031748419
300,5.0,7.6124904720528,1.0,7.6124904720528,0.0,0.0,0.0,0.5,1.0701158079435342,1.0759458466668106,0.10573564394555911,0.010437249391573864
330,5.5,16.21467298000961,1.0,16.21467298000961,0.0,0.0,0.0,0.5,1.0719328676229072,1.0782441783982744,0.219303593491063,0.012518399507765395
360,6.0,32.04062632992235,1.0,32.04062632992235,0.0,0.0,0.0,0.5,1.0709106600559248,1.0887886217702039,0.4329326514041785,0.02843401726368647
390,6.5,67.54117105030791,1.0,67.54117105030791,0.0,0.0,0.0,0.5,1.0752310744181122,1.098261831784013,0.8970297611120975,0.0742433072130791
420,7.0,81.2359820112237,0.7530303955078125,61.173163663377316,0.0,0.0,0.0,0.5,1.0751492766695552,1.0999778005463485,0.8150910656861584,0.0631798871852385
