Time_sample,Time_h,BESS_P_ch_A_W,BESS_P_ch_B_W,BESS_P_ch_C_W,BESS_P_dis_A_W,BESS_P_dis_B_W,BESS_P_dis_C_W,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,BESS_Q_A_var,BESS_Q_B_var,BESS_Q_C_var,BESS_Q_total_var,BESS_SOC_pu
360,6.0,1.74419935990558e-07,1.7442003659020644e-07,1.7442007837002694e-07,1.380721510373896e-07,1.38071781089614e-07,1.38071990933226e-07,-3.6347784953168385e-08,-3.634825550059245e-08,-3.634808743680094e-08,-1.0904412789056178e-07,-21622.431212704163,-20901.92850428958,-21271.93696750398,-63796.29668449772,0.1870584987826157
390,6.5,1.7446493197997872e-07,1.744645555956082e-07,1.7446472655936609e-07,1.381248497985253e-07,1.381262656706742e-07,1.3812261586933784e-07,-3.634008218145341e-08,-3.633828992493399e-08,-3.634211069002824e-08,-1.0902048279641564e-07,-10394.92596613234,-10454.065261608108,-10362.320368561495,-31211.311596301945,0.18705849878262107
420,7.0,6.077716651339883e-08,1945.0665953931043,1929.9496218464285,2.441203496248036e-07,1.754896871988806e-07,1.7548498203952955e-07,1.833431831114048e-07,-1945.0665952176146,-1929.9496216709435,-3875.016216705215,2693.7796577160107,-890.8760982937926,183.14881590531587,1986.052375327534,0.1870584987826264
450,7.5,21529.67526423455,21507.311121344363,21546.51449632525,1.241148720492617e-07,1.2412844246656846e-07,1.2411219005579466e-07,-21529.675264110436,-21507.311121220235,-21546.514496201136,-64583.500881531814,-2283.1449094961254,1769.46127779709,-238.29926944868737,-751.9829011477228,0.18880225608008092
480,8.0,20694.767756681027,20802.65144506465,21094.717346249545,1.24106741542528e-07,1.2411203136392805e-07,1.240658508813418e-07,-20694.76775655692,-20802.651444940537,-21094.71734612548,-62592.13654762293,-2111.696013477258,907.0945649497987,682.6644467012045,-521.9370018262548,0.21786483147673094
510,8.5,27427.917274213865,27451.050768550813,27587.327269454327,1.2393447044790646e-07,1.2394567982872517e-07,1.2393316879487502e-07,-27427.91727408993,-27451.050768426867,-27587.327269330395,-82466.29531184719,-206.90145641330767,499.9661706870358,560.6144732904183,853.6791875641464,0.24603129292312198
540,9.0,32313.213256965428,32497.29847272868,32453.501667018005,1.234626600870456e-07,1.2345759767694957e-07,1.2345710827724533e-07,-32313.213256841966,-32497.29847260522,-32453.501666894546,-97264.01339634173,145.4352266955011,864.0576412528785,64.86222402752672,1074.3550919759064,0.28314112581341394
570,9.5,36533.0044061877,36899.23738556032,36693.184354310484,1.2347162669356916e-07,1.2353158599060278e-07,1.2348686846891656e-07,-36533.004406064225,-36899.23738543679,-36693.184354187,-110125.42614568802,-1282.2923159894187,2447.072010839795,-1390.347530628651,-225.56783577827468,0.3269099318417286
600,10.0,14958.645685131713,14785.052689241093,15081.97282943848,1.235901911755235e-07,1.2361440732874898e-07,1.2358222752672657e-07,-14958.645685008123,-14785.052689117478,-15081.972829314898,-44825.6712034405,-4011.2482372832355,2544.714466802764,-625.7328079271211,-2092.2665784075925,0.3764663736072491
630,10.5,51220.612483745404,51538.80754107527,51593.88198836382,1.3212337906237738e-07,1.3238494337982726e-07,1.3244213805208402e-07,-51220.61248361328,-51538.807540942886,-51593.88198823138,-154353.30201278755,969.8901179296691,441.9258714508047,444.15597276641455,1855.9719621468885,0.39663792564875816
