Time_sample,Time_h,Bus,OPF_VUF2_percent,OPF_VUF0_percent,DSS_VUF2_percent,DSS_VUF0_percent
30,0.5,secondary,0.02368851373970811,0.01332621683995374,0.023694016825084523,0.01332916601467514
30,0.5,feeder2_44,0.04406045028856649,0.06946675201709195,0.04407165539813101,0.06948669676052466
30,0.5,feeder2_45,0.044770749515591166,0.07178096752243592,0.044782406538220125,0.07179900615480543
30,0.5,feeder2_46,0.04580966832138056,0.06752317277461735,0.04581938063563001,0.06754160782431673
30,0.5,feeder2_51,0.04602255272670386,0.07589622241744676,0.0460257826242266,0.07591357761019563
30,0.5,feeder2_48,0.04460738400040212,0.07117058623312071,0.044612477733938144,0.07118859031329011
30,0.5,feeder2_52,0.042334730341062894,0.07982694943015256,0.0423420655362982,0.0798458558487598
30,0.5,feeder2_68,0.04984155124718874,0.08598616664522285,0.04985328718253467,0.08600667678643813
30,0.5,feeder2_69,0.050016075712384866,0.08603369008984868,0.05002197841614474,0.08605379595975046
30,0.5,feeder2_71,0.05034676127778226,0.08731820867948237,0.05035360744499143,0.08733539377680859
30,0.5,feeder2_72,0.05026163143456449,0.08707582228265058,0.05026688942080572,0.08709177306270982
30,0.5,feeder2_73,0.051934536584393204,0.09151538704336412,0.051941423653697194,0.09153469324484663
30,0.5,feeder2_74,0.05185354376178252,0.09161747365700994,0.05186833136757315,0.0916377086858105
30,0.5,feeder2_77,0.053298731182371155,0.095099682583622,0.05330914803277712,0.09511985533313407
30,0.5,feeder2_79,0.05367361351078959,0.0951792430794364,0.05368487484389317,0.0952005938755015
30,0.5,feeder2_81,0.05542809658376768,0.10071613735544661,0.05543525258644496,0.10073899630680559
30,0.5,feeder2_82,0.05525148412715696,0.10014343745942643,0.05525656038941822,0.10016647835105377
30,0.5,feeder2_116,0.06512792537468902,0.1265094994616368,0.06513541013217601,0.12653483953604547
30,0.5,feeder2_119,0.06294175508615196,0.1289329335239517,0.06295262817056048,0.1289597478021474
30,0.5,feeder2_120,0.06893444751478336,0.13473355359080527,0.06894502184379175,0.1347590479799382
30,0.5,feeder2_248,0.06678123679004712,0.13701321908292843,0.06678923091852695,0.13704031908899822
30,0.5,feeder2_124,0.07142621999484508,0.13887207550463654,0.0714421169870501,0.13890291740956132
30,0.5,feeder2_282,0.07136105613104136,0.13872270184966864,0.07137383827187498,0.13875207539885598
30,0.5,feeder2_275,0.0713436601817862,0.13899064480166023,0.07135647228086281,0.13901908453556608
30,0.5,feeder2_151,0.07577750365076452,0.14609941511722768,0.07578982135591229,0.14612964273392676
30,0.5,feeder2_295,0.07587781028523892,0.14612796972950565,0.07588968344744992,0.14616092035130737
30,0.5,feeder2_311,0.07606863073966631,0.1461705066118133,0.07608480913695113,0.14620306376003608
30,0.5,feeder2_201,0.08292064072021958,0.15795137344421953,0.08293377158852634,0.15798293442501024
30,0.5,feeder2_314,0.08285639684429695,0.157827956388181,0.08287402485218862,0.15786310618858337
30,0.5,feeder2_342,0.09310546327300154,0.17501923333415625,0.09312098311745083,0.17505778831175808
30,0.5,feeder2_368,0.09479833758010012,0.17761003862152924,0.09481672509597494,0.1776527837674349
30,0.5,feeder2_347,0.09591776925596107,0.17899484368273086,0.09593313457649932,0.17902733370915397
30,0.5,feeder2_353,0.09735267966144145,0.18134479881597868,0.09737348829348373,0.18137543044738275
30,0.5,feeder2_518,0.09579854955535481,0.17872601733286594,0.09581942125708501,0.17876210859866712
30,0.5,feeder2_365,0.09895316744964948,0.1839821133432934,0.09896868161066541,0.18400795211577006
30,0.5,feeder2_653,0.0971709881343679,0.18161353642607864,0.09718600446400791,0.1816430821361425
30,0.5,feeder2_377,0.09920472975707108,0.18496959099067367,0.09922032212868798,0.18499121194237625
30,0.5,feeder2_622,0.11120905313137025,0.1855887823678108,0.11122306384260684,0.18562705275726127
30,0.5,feeder2_451,0.09469060931320329,0.17735152415420707,0.09470582419945996,0.17739311978376565
30,0.5,feeder2_383,0.09758429397848108,0.18240397050315818,0.09759882550412241,0.1824526300632199
30,0.5,feeder2_385,0.09949443080834058,0.18635515826757218,0.09951045681030139,0.1863736425722779
30,0.5,feeder2_621,0.09931100933944002,0.18498386663090763,0.09932398190343684,0.1850071630693805
30,0.5,feeder2_611,0.09745764044151399,0.18255617949157105,0.09746979470894246,0.18260364167398416
30,0.5,feeder2_405,0.09775962644495227,0.1827118741766901,0.09777880120498805,0.18276071188681195
30,0.5,feeder2_461,0.10112944738645573,0.19217750024990934,0.10114927600432282,0.19217461099039257
30,0.5,feeder2_594,0.09810894268227674,0.18780486089531312,0.0981283886165071,0.18782426107367875
30,0.5,feeder2_732,0.09500888224929181,0.18560367056566332,0.09502748242605309,0.1856554775993994
30,0.5,feeder2_417,0.09924007468119146,0.18446049896065092,0.09925754007653848,0.18451205203352805
