Time_sample,Time_h,Line,Phase,OPF_P_sending_kW,OPF_P_receiving_kW,OPF_P_loss_signed_kW,OPF_P_loss_abs_kW,loss_equation
30,0.5,feeder2_line1,1,-17.334564245985398,17.367123882560524,0.03255963657512595,0.03255963657512595,P_loss = P_sending + P_receiving
30,0.5,feeder2_line1,2,-21.297761613893176,21.36477508041587,0.06701346652269535,0.06701346652269535,P_loss = P_sending + P_receiving
30,0.5,feeder2_line1,3,-18.30938536836439,18.34491117452394,0.035525806159551365,0.035525806159551365,P_loss = P_sending + P_receiving
30,0.5,feeder2_line2,1,-17.625700917194063,17.62691128832615,0.0012103711320854416,0.0012103711320854416,P_loss = P_sending + P_receiving
30,0.5,feeder2_line2,2,-21.36481155150593,21.367185081094878,0.0023735295889473207,0.0023735295889473207,P_loss = P_sending + P_receiving
30,0.5,feeder2_line2,3,-18.344947579755164,18.346154146030752,0.0012065662755880169,0.0012065662755880169,P_loss = P_sending + P_receiving
30,0.5,feeder2_line3,1,0.25854065915192537,-0.25850501102454604,3.564812737932854e-05,3.564812737932854e-05,P_loss = P_sending + P_receiving
30,0.5,feeder2_line3,2,1.463067274572031e-11,-1.4256132872185294e-11,3.7453987353501675e-13,3.7453987353501675e-13,P_loss = P_sending + P_receiving
30,0.5,feeder2_line3,3,2.3176030215455453e-11,-2.3285308131440263e-11,-1.0927791598480986e-13,1.0927791598480986e-13,P_loss = P_sending + P_receiving
30,0.5,feeder2_line4,1,-17.626952932230612,17.629046438464023,0.002093506233411091,0.002093506233411091,P_loss = P_sending + P_receiving
30,0.5,feeder2_line4,2,-21.436774214528967,21.440936649698763,0.004162435169796197,0.004162435169796197,P_loss = P_sending + P_receiving
30,0.5,feeder2_line4,3,-18.34619581071016,18.34828277815274,0.0020869674425796347,0.0020869674425796347,P_loss = P_sending + P_receiving
30,0.5,feeder2_line5,1,-3.9271444757571817e-11,3.920905447158686e-11,-6.239028598495395e-14,6.239028598495395e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line5,2,0.06954737864331771,-0.0695460980261103,1.2806172074164568e-06,1.2806172074164568e-06,P_loss = P_sending + P_receiving
30,0.5,feeder2_line5,3,2.3098998200843482e-11,-2.3038600105793122e-11,6.039809505035936e-14,6.039809505035936e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line6,1,-4.3739241945963474e-11,4.414763605172802e-11,4.0839410576454614e-13,4.0839410576454614e-13,P_loss = P_sending + P_receiving
30,0.5,feeder2_line6,2,1.7932593169013815e-11,-1.7993791087044182e-11,-6.1197918030367e-14,6.1197918030367e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line6,3,0.2259708852005324,-0.22592890551624129,4.197968429112131e-05,4.197968429112131e-05,P_loss = P_sending + P_receiving
30,0.5,feeder2_line7,1,-17.62907471574002,17.63505815482969,0.005983439089668252,0.005983439089668252,P_loss = P_sending + P_receiving
30,0.5,feeder2_line7,2,-21.44096502334367,21.45241136056193,0.011446337218259828,0.011446337218259828,P_loss = P_sending + P_receiving
30,0.5,feeder2_line7,3,-18.574281958412463,18.58041350846524,0.006131550052778323,0.006131550052778323,P_loss = P_sending + P_receiving
30,0.5,feeder2_line8,1,0.01800009808358876,-0.01799999995253978,9.813104898115377e-08,9.813104898115377e-08,P_loss = P_sending + P_receiving
30,0.5,feeder2_line8,2,1.997951250914899e-11,-1.996233730469372e-11,1.71752044552705e-14,1.71752044552705e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line8,3,2.8154408936483227e-11,-2.8173353130890102e-11,-1.894419440687442e-14,1.894419440687442e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line9,1,-17.65307751202439,17.65387282843859,0.0007953164142016078,0.0007953164142016078,P_loss = P_sending + P_receiving
30,0.5,feeder2_line9,2,-21.452430655610694,21.45394528084962,0.0015146252389257597,0.0015146252389257597,P_loss = P_sending + P_receiving
30,0.5,feeder2_line9,3,-18.580432804352824,18.581243992240832,0.000811187888007936,0.000811187888007936,P_loss = P_sending + P_receiving
30,0.5,feeder2_line10,1,-6.445847725010682e-11,6.442154108649294e-11,-3.693616361387851e-14,3.693616361387851e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line10,2,0.0180001291977769,-0.01800000002649307,1.2917128382888832e-07,1.2917128382888832e-07,P_loss = P_sending + P_receiving
30,0.5,feeder2_line10,3,3.818304513893852e-11,-3.81496406051093e-11,3.3404533829221275e-14,3.3404533829221275e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line11,1,-17.65386197696024,17.65634834048201,0.002486363521768453,0.002486363521768453,P_loss = P_sending + P_receiving
30,0.5,feeder2_line11,2,-21.471934671229302,21.476686476873603,0.004751805644300333,0.004751805644300333,P_loss = P_sending + P_receiving
30,0.5,feeder2_line11,3,-18.5812332132753,18.58376870946699,0.0025354961916903562,0.0025354961916903562,P_loss = P_sending + P_receiving
30,0.5,feeder2_line12,1,-3.426809839784538e-11,3.428033712021003e-11,1.2238722364655103e-14,1.2238722364655103e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line12,2,1.354501033422773e-11,-1.3558503844187016e-11,-1.3493509959285854e-14,1.3493509959285854e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line12,3,0.015324435409542536,-0.015324373204010424,6.220553211248869e-08,6.220553211248869e-08,P_loss = P_sending + P_receiving
30,0.5,feeder2_line13,1,-17.656338987229553,17.65846941590106,0.002130428671506479,0.002130428671506479,P_loss = P_sending + P_receiving
30,0.5,feeder2_line13,2,-21.476677096413702,21.48074991292706,0.004072816513357225,0.004072816513357225,P_loss = P_sending + P_receiving
30,0.5,feeder2_line13,3,-18.59908377953869,18.601265290898205,0.0021815113595131663,0.0021815113595131663,P_loss = P_sending + P_receiving
30,0.5,feeder2_line14,1,0.06850623487812842,-0.06850542919914705,8.056789813637444e-07,8.056789813637444e-07,P_loss = P_sending + P_receiving
30,0.5,feeder2_line14,2,1.3640057261092933e-11,-1.3619843852441517e-11,2.021340865141651e-14,2.021340865141651e-14,P_loss = P_sending + P_receiving
