Time_sample,Time_h,Feeder_line,OPF_P_sending_A_kW,OPF_P_sending_B_kW,OPF_P_sending_C_kW,OPF_source_flow_total_kW,OPF_feeder_import_kW,OPF_feeder_export_kW,OPF_feeder_export_energy_kWh,sign_convention,units
990,16.5,feeder2_line1,-7.740663356894871,-12.915271959845267,-12.389519561455025,-33.04545487819516,0.0,33.04545487819516,16.52272743909758,positive source flow = import; negative source flow = export,kW; energy column kWh
1020,17.0,feeder2_line1,0.49013595557365486,-6.5784366699424135,-0.1699602017649348,-6.258260916133693,0.0,6.258260916133693,3.1291304580668466,positive source flow = import; negative source flow = export,kW; energy column kWh
1050,17.5,feeder2_line1,6.755820162127175,5.81445389169972,-4.346810993153566,8.223463060673328,8.223463060673328,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1080,18.0,feeder2_line1,8.352574949377493,-10.807695169246633,-13.366424752237469,-15.82154497210661,0.0,15.82154497210661,7.910772486053305,positive source flow = import; negative source flow = export,kW; energy column kWh
1110,18.5,feeder2_line1,3.0820733531182407,-0.8319455323140642,-5.9636497818684875,-3.713521961064311,0.0,3.713521961064311,1.8567609805321554,positive source flow = import; negative source flow = export,kW; energy column kWh
1140,19.0,feeder2_line1,2.6096565668270304,4.391284873799961,5.855053252234845,12.855994692861838,12.855994692861838,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1170,19.5,feeder2_line1,10.849646442985847,3.635888635178113,10.716251695502729,25.20178677366669,25.20178677366669,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1200,20.0,feeder2_line1,16.015039374339963,19.963314668102285,22.42671338420576,58.40506742664801,58.40506742664801,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1230,20.5,feeder2_line1,13.808497485660281,20.30234535763302,16.843104380742847,50.95394722403614,50.95394722403614,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1260,21.0,feeder2_line1,-11.855059078952909,-12.271849520471019,-13.123761747025053,-37.250670346448985,0.0,37.250670346448985,18.625335173224492,positive source flow = import; negative source flow = export,kW; energy column kWh
1290,21.5,feeder2_line1,-8.493093500920333,-4.384657124749237,-12.31366743616022,-25.19141806182979,0.0,25.19141806182979,12.595709030914895,positive source flow = import; negative source flow = export,kW; energy column kWh
1320,22.0,feeder2_line1,-12.822518946524745,-11.16537061487134,-12.105748238251689,-36.09363779964778,0.0,36.09363779964778,18.04681889982389,positive source flow = import; negative source flow = export,kW; energy column kWh
1350,22.5,feeder2_line1,-12.530397080609855,-12.228177836831705,-12.66139390906762,-37.41996882650918,0.0,37.41996882650918,18.70998441325459,positive source flow = import; negative source flow = export,kW; energy column kWh
1380,23.0,feeder2_line1,-15.099244985929941,-7.977243028621295,-12.327896160991028,-35.40438417554226,0.0,35.40438417554226,17.70219208777113,positive source flow = import; negative source flow = export,kW; energy column kWh
1410,23.5,feeder2_line1,-13.430036975890475,-17.688020876521833,-14.650267668707137,-45.76832552111944,0.0,45.76832552111944,22.88416276055972,positive source flow = import; negative source flow = export,kW; energy column kWh
1440,24.0,feeder2_line1,-14.089504734998284,-17.251814809033103,-13.417037891062737,-44.758357435094126,0.0,44.758357435094126,22.379178717547063,positive source flow = import; negative source flow = export,kW; energy column kWh
