Time_sample,Time_h,PV_architecture,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,NetCentral_P_injection_A_W,NetCentral_P_injection_B_W,NetCentral_P_injection_C_W,NetCentral_P_injection_total_W,BESS_SOC_pu
480,8.0,central,137806.99617541744,137806.9962752012,3.639680599270298e-06,-20694.76775655692,-20802.651444940537,-21094.71734612548,-62592.13654762293,25240.897668510148,25133.013980126532,24840.94807894159,75214.85972757827,0.21786483147673094
510,8.5,central,157786.37576376746,157786.3758635512,-1.106086299426209e-06,-27427.91727408993,-27451.050768426867,-27587.327269330395,-82466.29531184719,25167.5413470938,25144.407852756864,25008.131351853335,75320.080551704,0.24603129292312198
540,9.0,central,172443.48122961321,172443.4813293973,-1.4900092659111866e-06,-32313.213256841966,-32497.29847260522,-32453.501666894546,-97264.01339634173,25167.947186290465,24983.86197052721,25027.658776237884,75179.46793305557,0.28314112581341394
570,9.5,central,185006.28302110874,185006.2831208927,-2.3329954949838782e-06,-36533.004406064225,-36899.23738543679,-36693.184354187,-110125.42614568802,25135.756634233345,24769.52365486078,24975.576686110573,74880.85697520469,0.3269099318417286
600,10.0,central,119416.07162306807,119416.07172285243,-9.252332939586469e-07,-14958.645685008123,-14785.052689117478,-15081.972829314898,-44825.6712034405,24846.71155594269,25020.304551833335,24723.384411635914,74590.40051941192,0.3764663736072491
630,10.5,central,229745.74207171457,229745.74217149077,-8.784791885139834e-07,-51220.61248361328,-51538.807540942886,-51593.88198823138,-154353.30201278755,25361.301573550314,25043.10651622071,24988.032068932218,75392.44015870322,0.39663792564875816
660,11.0,central,235990.30875364214,235990.3088534173,-8.631615737919926e-07,-53789.07818621597,-53863.619788904114,-53516.62219084489,-161169.32016596498,24874.358098256453,24799.81649556831,25146.81409362753,74820.9886874523,0.4660969115544707
690,11.5,central,232588.44417352724,232588.4442733029,-2.4725561251857304e-06,-52386.10835387977,-52626.11349203725,-52431.455938591294,-157443.67778450833,25143.37307055453,24903.36793239705,25098.025485843005,75144.76648879459,0.5386231056291125
720,12.0,central,137662.54700039705,137662.54710018082,-4.626079041606057e-06,-20727.64690112621,-20827.574870166954,-20815.221573128343,-62370.4433444215,25159.86879893406,25059.940829893316,25072.294126931927,75292.10375575931,0.6094727606320992
750,12.5,central,86507.1933071255,86507.19340691189,1.1782942761030053e-06,-3889.3125989372265,-3730.131079992337,-3695.679500752103,-11315.123179681666,24946.41853670007,25105.600055644958,25140.051634885192,75192.07022723022,0.6375394601370495
780,13.0,central,63436.07803724001,63436.07813703696,-9.964111085636568e-10,-3.6343092004983955e-08,-3.6338234371462454e-08,-3.634069716682452e-08,-1.0902202354327093e-07,21145.359378975976,21145.35937897598,21145.35937897598,63436.078136927936,0.6426312655678679
810,13.5,central,220843.12489531777,220843.12499509574,-3.689531446611224e-06,-48574.53254171121,-48986.18066675101,-48535.01160079948,-146095.7248092617,25039.84245665404,24628.194331614242,25079.363397565772,74747.40018583403,0.6426312655678732
840,14.0,central,219014.5041579911,219014.50425777023,-3.309534551590253e-06,-44750.12966384692,-48125.91776471886,-47859.299626304375,-140735.34705487016,28254.705088743154,24878.916987871213,25145.5351262857,78279.15720290007,0.7083743417319998
870,14.5,central,209104.784648659,209104.7847484399,-1.5573506647521308e-06,-43957.00134542015,-44787.868267965554,-44691.08282846544,-133435.95244185114,25744.593570726494,24913.726648181088,25010.5120876812,75668.83230658877,0.7717052479066505
900,15.0,central,169589.67598894524,169589.67608872923,-1.8963213723602253e-06,-31401.481641057893,-31545.07374508081,-31404.423939385517,-94350.97932552421,25128.410388518518,24984.818284495603,25125.468090190894,75238.69676320502,0.8317514265054433
930,15.5,central,108386.17806758464,108386.17816736964,-3.1001854153092802e-06,-10567.623727752392,-11059.632034446355,-10995.503993987613,-32622.75975618636,25561.102328037487,25069.094021343524,25133.222061802262,75763.41841118329,0.87420936720189
960,16.0,central,167971.81180257935,167971.81190236323,-2.4179926860926666e-06,-28485.22128208255,-31324.845334545353,-30862.61319009458,-90672.67980672249,27505.382685371856,24665.758632909055,25127.990777359828,77299.13209564074,0.8888896090921349
990,16.5,central,124580.44620067778,124580.44630046224,-1.0535491657278576e-06,-11283.949645166907,-16377.44003286289,-16485.609213641885,-44146.99889167168,30242.865788320505,25149.37540062452,25041.206219845528,80433.44740879055,0.9296923150051208
1020,17.0,central,58867.659044205095,51277.12641773729,-3.829249344094153e-08,7590.532726346209,7590.532726346209,7590.532726346202,22771.59817903862,24682.908198925306,24682.908198925306,24682.9081989253,74048.72459677591,0.949558464506334
1050,17.5,central,21386.15526279812,2486.5974806761833,-2.336794765915378e-08,18899.5578819995,18899.5578819995,18899.5578819995,56698.6736459985,19728.42370889156,19728.42370889156,19728.42370889156,59185.27112667468,0.9369075766290704
1080,18.0,central,35726.29562474032,17806.852940628654,6.896163907677046e-07,17919.442783989296,17919.442783989292,17919.442783989296,53758.32835196789,23855.060430865513,23855.06043086551,23855.060430865513,71565.18129259654,0.9054083134923844
1110,18.5,central,34880.48921037201,15838.426069648589,-2.2320327571380817e-08,19042.063240600975,19042.06324060098,19042.063240600975,57126.189721802926,24321.538597150506,24321.53859715051,24321.538597150506,72964.61579145152,0.8755425755190487
1140,19.0,central,14676.355200650205,729.4647978463552,-1.3534946400170007e-08,13946.890502681761,13946.890502681761,13946.890502681761,41840.671508045285,14190.045435297212,14190.045435297212,14190.045435297212,42570.13630589164,0.8438058034513601
1170,19.5,central,6556.644238336597,32.554817154671774,-5.9940222949666716e-09,6524.089486626848,6524.089486626848,6524.089486626848,19572.268459880543,6534.941092345072,6534.941092345072,6534.941092345072,19604.823277035215,0.8205609859468704
1200,20.0,central,1478.7101336823926,42.8517221394983,-4.302654637652965e-09,1435.8584262088857,1435.8584262088857,1435.8584262088857,4307.575278626657,1450.1423335887184,1450.1423335887184,1450.1423335887184,4350.427000766155,0.8096875034691391
1230,20.5,central,513.8621598622417,33.22507411075586,-4.50878286460423e-09,480.63709076907526,480.63709076907514,480.6370907690753,1441.9112723072258,491.71211547266057,491.71211547266046,491.7121154726606,1475.1363464179817,0.8072944060921045
1260,21.0,central,0.0,1.5089839980196438e-12,8.499444683227281e-07,25373.859182541568,25083.20129096146,25060.364302098267,75517.42477560129,25373.859182541568,25083.20129096146,25060.364302098267,75517.42477560129,0.8064933442741362
1290,21.5,central,0.0,1.2308326315806582e-12,9.338722832687813e-08,25426.740575487194,24772.717671303806,25147.230297926075,75346.68854471708,25426.740575487194,24772.717671303806,25147.230297926075,75346.68854471708,0.7645392176516508
1320,22.0,central,0.0,9.563151823609177e-13,-2.3971408743442377e-06,30588.093970589878,24976.458038578854,25022.467449708318,80587.01945887705,30588.093970589878,24976.458038578854,25022.467449708318,80587.01945887705,0.7226799444866644
1350,22.5,central,0.0,1.3501633275989404e-12,1.516292906367418e-06,25621.174214914776,24995.43750855758,25066.82965080438,75683.44137427674,25621.174214914776,24995.43750855758,25066.82965080438,75683.44137427674,0.6779093764685784
1380,23.0,central,0.0,1.1713596676367789e-12,-8.24108640900276e-07,25466.100573575208,24789.660208743906,25119.51977123585,75375.28055355497,25466.100573575208,24789.660208743906,25119.51977123585,75375.28055355497,0.6358630184060603
1410,23.5,central,0.0,1.4195407410286914e-12,-6.304786141807846e-08,25456.708635639156,25149.05566035563,25013.098785342063,75618.86308133685,25456.708635639156,25149.05566035563,25013.098785342063,75618.86308133685,0.5939878607923722
1440,24.0,central,0.0,1.4173815605014737e-12,1.3223728045902027e-06,25471.797993075383,25109.034031322975,24978.430036624497,75559.26206102286,25471.797993075383,25109.034031322975,24978.430036624497,75559.26206102286,0.5519773795578945
