Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction
One-stage weighted objective,330,5.5,16.21467298000961,16.214673079806687,0.0,0.18705849878261033,1.7438042232001063e-10,1.3802530411947873e-10,-3.635511820053189e-11,-22.63014454063416,1.7438039629101004e-10,1.380253335392259e-10,-3.635506275178412e-11,-22.87991220792407,1.7438040872113722e-10,1.3802601303648808e-10,-3.635439568464915e-11,-22.72299059907954,5.231412273321579e-10,4.140766506951927e-10,-1.0906457663696515e-10,-68.23304734763776,0.0,0.0
One-stage weighted objective,360,6.0,32.04062632992235,32.04062642971936,0.0,0.1870584987826157,1.7441993599055798e-10,1.380721510373896e-10,-3.6347784953168385e-11,-21.622431212704164,1.7442003659020645e-10,1.38071781089614e-10,-3.634825550059245e-11,-20.90192850428958,1.7442007837002695e-10,1.38071990933226e-10,-3.634808743680094e-11,-21.271936967503983,5.232600509507914e-10,4.142159230602296e-10,-1.0904412789056178e-10,-63.79629668449772,0.0,0.0
One-stage weighted objective,390,6.5,67.54117105030791,67.54117115010486,0.0,0.18705849878262107,1.7446493197997873e-10,1.381248497985253e-10,-3.634008218145341e-11,-10.39492596613234,1.744645555956082e-10,1.3812626567067422e-10,-3.6338289924933995e-11,-10.454065261608108,1.744647265593661e-10,1.3812261586933785e-10,-3.634211069002824e-11,-10.362320368561495,5.23394214134953e-10,4.1437373133853737e-10,-1.0902048279641564e-10,-31.211311596301943,0.0,0.0
One-stage weighted objective,420,7.0,81.2359820112237,81.2359821109326,0.0,0.1870584987826264,6.077716651339883e-11,2.4412034962480363e-10,1.833431831114048e-10,2.6937796577160107,1.9450665953931043,1.754896871988806e-10,-1.9450665952176145,-0.8908760982937926,1.9299496218464285,1.7548498203952956e-10,-1.9299496216709435,0.18314881590531587,3.87501621730031,5.950950188632137e-10,-3.875016216705215,1.986052375327534,0.0,0.0
One-stage weighted objective,450,7.5,139.78309169335256,139.78309179313626,0.0,0.18880225608008092,21.529675264234548,1.241148720492617e-10,-21.529675264110434,-2.2831449094961256,21.50731112134436,1.2412844246656847e-10,-21.507311121220233,1.76946127779709,21.54651449632525,1.2411219005579466e-10,-21.546514496201137,-0.23829926944868737,64.58350088190417,3.723555045716248e-10,-64.58350088153182,-0.7519829011477228,0.0,0.0
One-stage weighted objective,480,8.0,137.80699617541745,137.80699627520121,0.0,0.21786483147673094,20.694767756681028,1.2410674154252799e-10,-20.69476775655692,-2.111696013477258,20.80265144506465,1.2411203136392805e-10,-20.802651444940537,0.9070945649497987,21.094717346249546,1.240658508813418e-10,-21.094717346125478,0.6826644467012045,62.592136547995224,3.7228462378779784e-10,-62.592136547622935,-0.5219370018262548,0.0,0.0
One-stage weighted objective,510,8.5,157.78637576376747,157.7863758635512,0.0,0.24603129292312198,27.427917274213865,1.2393447044790645e-10,-27.427917274089932,-0.20690145641330768,27.451050768550814,1.2394567982872516e-10,-27.451050768426867,0.4999661706870358,27.587327269454327,1.2393316879487502e-10,-27.587327269330395,0.5606144732904184,82.466295312219,3.7181331907150665e-10,-82.46629531184719,0.8536791875641464,0.0,0.0
One-stage weighted objective,540,9.0,172.4434812296132,172.4434813293973,0.0,0.28314112581341394,32.313213256965426,1.2346266008704558e-10,-32.31321325684196,0.14543522669550107,32.49729847272868,1.2345759767694958e-10,-32.49729847260522,0.8640576412528785,32.453501667018,1.2345710827724534e-10,-32.453501666894546,0.06486222402752673,97.2640133967121,3.703773660412405e-10,-97.26401339634174,1.0743550919759064,0.0,0.0
One-stage weighted objective,570,9.5,185.00628302110874,185.0062831208927,0.0,0.3269099318417286,36.5330044061877,1.2347162669356916e-10,-36.53300440606422,-1.2822923159894188,36.89923738556032,1.2353158599060277e-10,-36.89923738543679,2.447072010839795,36.69318435431048,1.2348686846891657e-10,-36.693184354187,-1.390347530628651,110.12542614605852,3.704900811530885e-10,-110.12542614568802,-0.2255678357782747,0.0,0.0
One-stage weighted objective,600,10.0,119.41607162306806,119.41607172285244,0.0,0.3764663736072491,14.958645685131712,1.235901911755235e-10,-14.958645685008124,-4.011248237283236,14.785052689241093,1.2361440732874897e-10,-14.785052689117478,2.544714466802764,15.081972829438481,1.2358222752672657e-10,-15.081972829314898,-0.6257328079271212,44.82567120381129,3.7078682603099904e-10,-44.8256712034405,-2.0922665784075924,0.0,0.0
