Time_sample,Time_h,BESS_P_ch_A_W,BESS_P_ch_B_W,BESS_P_ch_C_W,BESS_P_dis_A_W,BESS_P_dis_B_W,BESS_P_dis_C_W,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,BESS_Q_A_var,BESS_Q_B_var,BESS_Q_C_var,BESS_Q_total_var,BESS_SOC_pu
540,9.0,32514.125324812445,32514.125324812445,32514.125324812445,0.004271642705376502,0.004271642705376502,0.004271642705376502,-32514.12105316974,-32514.12105316974,-32514.12105316974,-97542.36315950922,-553.9047073368525,-553.9047073368525,-553.9047073368525,-1661.7141220105577,0.2892355163084265
570,9.5,37545.645500474624,37545.645500474624,37545.645500474624,0.0036991959889622157,0.0036991959889622157,0.0036991959889622157,-37545.64180127864,-37545.64180127864,-37545.64180127864,-112636.92540383592,-5441.920324922957,-5441.920324922957,-5441.920324922957,-16325.76097476887,0.33312957837751983
600,10.0,16461.823059580613,16461.823059580613,16461.823059580613,0.008437024593229897,0.008437024593229897,0.008437024593229897,-16461.81462255602,-16461.81462255602,-16461.81462255602,-49385.44386766806,-7148.131619283447,-7148.131619283447,-7148.131619283447,-21444.39485785034,0.3838161936378339
630,10.5,51573.55828798489,51573.55828798489,51573.55828798489,0.0026930200973732366,0.0026930200973732366,0.0026930200973732366,-51573.55559496479,-51573.55559496479,-51573.55559496479,-154720.66678489436,443.55145000557854,443.55145000557854,443.55145000557854,1330.6543500167356,0.4060396407065601
660,11.0,53863.03145125928,53863.03145125928,53863.03145125928,0.002578551799523121,0.002578551799523121,0.002578551799523121,-53863.02887270748,-53863.02887270748,-53863.02887270748,-161589.08661812244,438.85703320149713,438.85703320149713,438.85703320149713,1316.5710996044913,0.47566393990697287
690,11.5,52619.21817125968,52619.21817125968,52619.21817125968,0.002639503744051657,0.002639503744051657,0.002639503744051657,-52619.21553175594,-52619.21553175594,-52619.21553175594,-157857.6465952678,445.1653398312276,445.1653398312276,445.1653398312276,1335.4960194936828,0.5483790280685854
720,12.0,20825.60852369272,20825.60852369272,20825.60852369272,0.0066691344935366345,0.0066691344935366345,0.0066691344935366345,-20825.601854558226,-20825.601854558226,-20825.601854558226,-62476.80556367468,448.010384819108,448.010384819108,448.010384819108,1344.0311544573242,0.619414968200613
750,12.5,4045.163365087782,4045.163365087782,4045.163365087782,0.03433455106542278,0.03433455106542278,0.03433455106542278,-4045.1290305367165,-4045.1290305367165,-4045.1290305367165,-12135.38709161015,-1766.6806144035497,-1766.6806144035497,-1766.6806144035497,-5300.041843210649,0.6475295285923744
780,13.0,6.817186170160833e-10,6.817186170160833e-10,6.817186170160833e-10,3.6958371303538176e-09,3.6958371303538176e-09,3.6958371303538176e-09,3.0141185133377343e-09,3.0141185133377343e-09,3.0141185133377343e-09,9.042355540013203e-09,-12053.97251767204,-12053.97251767204,-12053.97251767204,-36161.91755301612,0.6529904419109912
810,13.5,50062.07474569071,50062.07474569071,50062.07474569071,0.002774328425157506,0.002774328425157506,0.002774328425157506,-50062.07197136229,-50062.07197136229,-50062.07197136229,-150186.21591408688,-6649.997850390058,-6649.997850390058,-6649.997850390058,-19949.993551170177,0.6529904419109835
840,14.0,48843.261106410086,48843.261106410086,48843.261106410086,0.002843557949840122,0.002843557949840122,0.002843557949840122,-48843.258262852134,-48843.258262852134,-48843.258262852134,-146529.7747885564,-5561.006404905406,-5561.006404905406,-5561.006404905406,-16683.01921471622,0.7205742381937853
870,14.5,46781.32688149083,46781.32688149083,46781.32688149083,0.0029688908684686512,0.0029688908684686512,0.0029688908684686512,-46781.32391259996,-46781.32391259996,-46781.32391259996,-140343.97173779987,-9244.067910837093,-9244.067910837093,-9244.067910837093,-27732.20373251128,0.7865126359481743
900,15.0,31540.105697375915,31540.105697375915,31540.105697375915,0.004403559468611406,0.004403559468611406,0.004403559468611406,-31540.101293816446,-31540.101293816446,-31540.101293816446,-94620.30388144933,450.7400335812239,450.7400335812239,450.7400335812239,1352.2201007436715,0.8496674222900354
930,15.5,11065.507450110854,11065.507450110854,11065.507450110854,0.012551510517645692,0.012551510517645692,0.012551510517645692,-11065.494898600336,-11065.494898600336,-11065.494898600336,-33196.48469580101,164.36728450572463,164.36728450572463,164.36728450572463,493.1018535171739,0.8922465576422274
960,16.0,32202.419828415575,32202.419828415575,32202.419828415575,0.004312990407193276,0.004312990407193276,0.004312990407193276,-32202.415515425168,-32202.415515425168,-32202.415515425168,-96607.2465462755,-6136.577877734723,-6136.577877734723,-6136.577877734723,-18409.73363320417,0.9071849717806929
990,16.5,16864.478726052894,16864.478726052894,16864.478726052894,0.008235582388119838,0.008235582388119838,0.008235582388119838,-16864.470490470507,-16864.470490470507,-16864.470490470507,-50593.41147141152,-4322.799135696697,-4322.799135696697,-4322.799135696697,-12968.397407090091,0.9506582313607363
1020,17.0,0.010169361469830298,0.010169361469830298,0.010169361469830298,13657.57761234655,13657.57761234655,13657.57761234655,13657.567442985079,13657.567442985079,13657.567442985079,40972.70232895524,440.7915179920917,440.7915179920917,440.7915179920917,1322.3745539762751,0.9734252639149371
1050,17.5,-9.1951262053159e-09,-9.1951262053159e-09,-9.1951262053159e-09,21386.15536280705,21386.15536280705,21386.15536280705,21386.155362816247,21386.155362816247,21386.155362816247,64158.46608844874,-11467.84070405971,-11467.84070405971,-11467.84070405971,-34403.52211217913,0.9506626482896642
1080,18.0,0.006688920263985708,0.006688920263985708,0.006688920263985708,20764.012050561363,20764.012050561363,20764.012050561363,20764.0053616411,20764.0053616411,20764.0053616411,62292.01608492329,-5187.796986082052,-5187.796986082052,-5187.796986082052,-15563.390958246157,0.9150190560183067
1110,18.5,0.005683802440890555,0.005683802440890555,0.005683802440890555,24435.896717056185,24435.896717056185,24435.896717056185,24435.891033253745,24435.891033253745,24435.891033253745,73307.67309976123,442.5180474461386,442.5180474461386,442.5180474461386,1327.5541423384159,0.8804123782974136
1140,19.0,-9.183803266845162e-09,-9.183803266845162e-09,-9.183803266845162e-09,14676.355300659137,14676.355300659137,14676.355300659137,14676.355300668321,14676.355300668321,14676.355300668321,44029.065902004964,-18711.690604566655,-18711.690604566655,-18711.690604566655,-56135.071813699964,0.8396858914421199
1170,19.5,-9.156998244350225e-09,-9.156998244350225e-09,-9.156998244350225e-09,6556.64430391197,6556.64430391197,6556.64430391197,6556.644303921127,6556.644303921127,6556.644303921127,19669.932911763382,-22256.0199658317,-22256.0199658317,-22256.0199658317,-66768.0598974951,0.8152252992743418
1200,20.0,-9.11405150882413e-09,-9.11405150882413e-09,-9.11405150882413e-09,1478.7101484784253,1478.7101484784253,1478.7101484784253,1478.7101484875393,1478.7101484875393,1478.7101484875393,4436.130445462618,-22370.009516200316,-22370.009516200316,-22370.009516200316,-67110.02854860095,0.8042975587678095
1230,20.5,-9.114980972629834e-09,-9.114980972629834e-09,-9.114980972629834e-09,513.8621650097949,513.8621650097949,513.8621650097949,513.8621650189099,513.8621650189099,513.8621650189099,1541.5864950567297,-22446.0533736464,-22446.0533736464,-22446.0533736464,-67338.1601209392,0.8018330418536667
1260,21.0,0.005541214629553873,0.005541214629553873,0.005541214629553873,25064.686486769744,25064.686486769744,25064.686486769744,25064.680945555116,25064.680945555116,25064.680945555116,75194.04283666535,445.47505175340956,445.47505175340956,445.47505175340956,1336.4251552602286,0.8009766049119714
1290,21.5,0.005606553700087775,0.005606553700087775,0.005606553700087775,24772.58148079941,24772.58148079941,24772.58148079941,24772.57587424571,24772.57587424571,24772.57587424571,74317.72762273713,74.112897871026,74.112897871026,74.112897871026,222.33869361307796,0.759202134914662
1320,22.0,0.005537775726980603,0.005537775726980603,0.005537775726980603,25080.25139407375,25080.25139407375,25080.25139407375,25080.245856298025,25080.245856298025,25080.245856298025,75240.73756889408,452.2215702955207,452.2215702955207,452.2215702955207,1356.664710886562,0.7179145066821772
1350,22.5,0.005555327645079336,0.005555327645079336,0.005555327645079336,25001.01101479097,25001.01101479097,25001.01101479097,25001.005459463326,25001.005459463326,25001.005459463326,75003.01637838998,445.62483331208443,445.62483331208443,445.62483331208443,1336.8744999362534,0.6761140951680522
1380,23.0,0.005620140181985028,0.005620140181985028,0.005620140181985028,24712.694710909578,24712.694710909578,24712.694710909578,24712.689090769396,24712.689090769396,24712.689090769396,74138.0672723082,-1217.1257304965013,-1217.1257304965013,-1217.1257304965013,-3651.377191489504,0.6344457509764262
1410,23.5,0.005562656304112371,0.005562656304112371,0.005562656304112371,24968.072833546437,24968.072833546437,24968.072833546437,24968.067270890133,24968.067270890133,24968.067270890133,74904.20181267039,-1155.2633119433638,-1155.2633119433638,-1155.2633119433638,-3465.789935830091,0.593257934045434
1440,24.0,0.005558511525336557,0.005558511525336557,0.005558511525336557,24986.690601860144,24986.690601860144,24986.690601860144,24986.685043348618,24986.685043348618,24986.685043348618,74960.05513004586,443.0861279582509,443.0861279582509,443.0861279582509,1329.2583838747528,0.5516444868324426
