Time_h,Feeder_import_positive_kW,Export_kW,Import_kW,PV_available_kW,PV_command_kW,BESS_net_discharge_positive_kW,PV_inactive
0.5,-55.54754447937012,55.54754447937012,0,0.0,-3.0050186043677754e-19,74.24745394486344,True
1.0,-60.52681541442871,60.52681541442871,0,0.0,-3.0205818440134393e-19,74.76116009235996,True
1.5,-62.49662780761719,62.49662780761719,0,0.0,-3.038466781845076e-19,75.29203637946792,True
2.0,-60.293331146240234,60.293331146240234,0,0.0,-2.9892879349996086e-19,73.76342687739618,True
2.5,-63.16372299194336,63.16372299194336,0,0.0,-3.0293509739254963e-19,75.02205053059026,True
3.0,-62.608022689819336,62.608022689819336,0,0.0,-3.030103816578763e-19,75.04705375281817,True
3.5,-60.23110008239746,60.23110008239746,0,0.0,-3.0389579302507334e-19,75.30940395903467,True
4.0,10.47014331817627,0,10.47014331817627,0.8028310228511782,-9.643866564665789e-12,2.4084930926925994,False
4.5,1.6511475443840027,0,1.6511475443840027,3.34813146317036,-9.643864953080526e-12,10.044394490009218,False
5.0,-9.954883456230164,9.954883456230164,0,7.6124904720528,-9.643864644657454e-12,22.837471644587392,False
5.5,-2.3364630043506622,2.3364630043506622,0,16.21467298000961,16.21467308000359,9.042346803180801e-12,False
6.0,-17.96315336227417,17.96315336227417,0,32.04062632992235,32.04062642991632,9.042348388666388e-12,False
6.5,-52.53229904174805,52.53229904174805,0,67.54117105030791,67.54117115030189,9.042354038367994e-12,False
7.0,-56.54680252075195,56.54680252075195,0,81.2359820112237,81.23593010081699,-8.011062152134228,False
7.5,-52.44011688232422,52.44011688232422,0,139.78309169335256,139.78308553738313,-66.60308121061001,False
8.0,-38.87976408004761,38.87976408004761,0,137.80699617541745,137.806989761924,-63.96979205861858,False
8.5,-47.571218490600586,47.571218490600586,0,157.78637576376747,157.78637083425392,-82.84438080588109,False
9.0,-34.84714126586914,34.84714126586914,0,172.4434812296132,172.44347705796145,-97.54236315950922,False
9.5,-27.56438970565796,27.56438970565796,0,185.00628302110874,185.00627942190377,-112.63692540383592,False
10.0,-25.06415295600891,25.06415295600891,0,119.41607162306806,119.41606328603365,-49.38544386766806,False
10.5,-25.423562049865723,25.423562049865723,0,229.74574207171457,229.7457394786857,-154.72066678489435,False
11.0,-17.265656903386116,17.265656903386116,0,235.99030875364213,235.99030627508156,-161.58908661812245,False
11.5,-38.21812343597412,38.21812343597412,0,232.58844417352725,232.5884416340147,-157.85764659526782,False
12.0,-48.170326232910156,48.170326232910156,0,137.66254700039707,137.6625404312531,-62.47680556367468,False
12.5,-45.67933940887451,45.67933940887451,0,86.5071933071255,86.50715907256314,-12.13538709161015,False
13.0,-11.719346884638071,11.719346884638071,0,63.43607803724001,63.436078137233984,9.042355540013203e-12,False
13.5,-30.0263614654541,30.0263614654541,0,220.84312489531777,220.84312222098052,-150.1862159140869,False
14.0,-26.395933628082275,26.395933628082275,0,219.0145041579911,219.01450141442433,-146.52977478855638,False
14.5,-29.443040370941162,29.443040370941162,0,209.104784648659,209.10478177975926,-140.34397173779988,False
15.0,-31.328041076660156,31.328041076660156,0,169.58967598894523,169.58967168537666,-94.62030388144933,False
15.5,-45.6754207611084,45.6754207611084,0,108.38617806758464,108.38616561606364,-33.19648469580101,False
16.0,-20.104042410850525,20.104042410850525,0,167.97181180257934,167.97180758957987,-96.6072465462755,False
16.5,-27.037794828414917,27.037794828414917,0,124.58044620067777,124.5804380650856,-50.59341147141152,False
17.0,-6.610079228878021,6.610079228878021,0,58.8676590442051,33.55784974851231,40.972702328955236,False
17.5,3.3284411430358887,0,3.3284411430358887,21.38615526279812,-9.643867340327814e-12,64.15846608844873,False
18.0,-16.532163619995117,16.532163619995117,0,35.72629562474032,9.971327071247615,62.29201608492329,False
18.5,-4.790611982345581,4.790611982345581,0,34.88048921037201,0.891141594967467,73.30767309976123,False
19.0,11.408575773239136,0,11.408575773239136,14.676355200650205,-9.64386479915274e-12,44.029065902004966,False
19.5,25.154269218444824,0,25.154269218444824,6.556644238336596,-9.643864442784376e-12,19.669932911763382,False
20.0,58.305758476257324,0,58.305758476257324,1.4787101336823925,-9.643865463659979e-12,4.436130445462618,False
20.5,50.890557289123535,0,50.890557289123535,0.5138621598622417,-9.643866771096222e-12,1.5415864950567297,False
21.0,-36.94094181060791,36.94094181060791,0,0.0,-3.044254699699671e-19,75.19404283666535,True
21.5,-24.215444564819336,24.215444564819336,0,0.0,-3.0044969303448004e-19,74.31772762273714,True
22.0,-31.086369514465332,31.086369514465332,0,0.0,-3.0524884294200436e-19,75.24073756889408,True
22.5,-36.77088451385498,36.77088451385498,0,0.0,-3.082480251397318e-19,75.00301637838997,True
23.0,-34.25243282318115,34.25243282318115,0,0.0,-2.9983374624902266e-19,74.13806727230819,True
23.5,-45.09720993041992,45.09720993041992,0,0.0,-3.0263776735991045e-19,74.9042018126704,True
24.0,-44.189066886901855,44.189066886901855,0,0.0,-3.03367785556396e-19,74.96005513004586,True
