Time_sample,Time_h,Line,Phase,OPF_P_sending_kW,OPF_P_receiving_kW,OPF_P_loss_signed_kW,OPF_P_loss_abs_kW,loss_equation
30,0.5,feeder2_line1,1,-16.662418943278137,16.686532166235185,0.024113222957048208,0.024113222957048208,P_loss = P_sending + P_receiving
30,0.5,feeder2_line1,2,-20.83828602984523,20.913629418868382,0.0753433890231534,0.0753433890231534,P_loss = P_sending + P_receiving
30,0.5,feeder2_line1,3,-18.04671745974849,18.089071341624567,0.04235388187607825,0.04235388187607825,P_loss = P_sending + P_receiving
30,0.5,feeder2_line2,1,-16.94494517478848,16.94584627102518,0.0009010962366993169,0.0009010962366993169,P_loss = P_sending + P_receiving
30,0.5,feeder2_line2,2,-20.913665861949966,20.916339326245122,0.002673464295156691,0.002673464295156691,P_loss = P_sending + P_receiving
30,0.5,feeder2_line2,3,-18.08910766609477,18.09055104357601,0.001443377481241015,0.001443377481241015,P_loss = P_sending + P_receiving
30,0.5,feeder2_line3,1,0.25837670983107147,-0.25834107941270007,3.5630418371401795e-05,3.5630418371401795e-05,P_loss = P_sending + P_receiving
30,0.5,feeder2_line3,2,1.189710160384239e-11,-1.1522841041224216e-11,3.742605626181733e-13,3.742605626181733e-13,P_loss = P_sending + P_receiving
30,0.5,feeder2_line3,3,5.184318573263388e-11,-5.195220747141391e-11,-1.0902173878003097e-13,1.0902173878003097e-13,P_loss = P_sending + P_receiving
30,0.5,feeder2_line4,1,-16.945887826104673,16.947442845381236,0.0015550192765623194,0.0015550192765623194,P_loss = P_sending + P_receiving
30,0.5,feeder2_line4,2,-20.985900207700453,20.99058449273951,0.004684285039058267,0.004684285039058267,P_loss = P_sending + P_receiving
30,0.5,feeder2_line4,3,-18.09059260811257,18.093093948995264,0.0025013408826950467,0.0025013408826950467,P_loss = P_sending + P_receiving
30,0.5,feeder2_line5,1,-6.640313266439892e-11,6.634079678015532e-11,-6.23358842435975e-14,6.23358842435975e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line5,2,0.06951915305385302,-0.06951787254572361,1.280508129405944e-06,1.280508129405944e-06,P_loss = P_sending + P_receiving
30,0.5,feeder2_line5,3,5.277775618842792e-11,-5.2717402471040694e-11,6.035371738722496e-14,6.035371738722496e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line6,1,-7.183781433154907e-11,7.224600488280096e-11,4.0819055125189183e-13,4.0819055125189183e-13,P_loss = P_sending + P_receiving
30,0.5,feeder2_line6,2,1.4178393271160318e-11,-1.4240368591218526e-11,-6.197532005820798e-14,6.197532005820798e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line6,3,0.22588403274054847,-0.22584208624566066,4.1946494887812324e-05,4.1946494887812324e-05,P_loss = P_sending + P_receiving
30,0.5,feeder2_line7,1,-16.94747105190802,16.951964610797127,0.004493558889105742,0.004493558889105742,P_loss = P_sending + P_receiving
30,0.5,feeder2_line7,2,-20.990612854967036,21.003525274794665,0.012912419827628696,0.012912419827628696,P_loss = P_sending + P_receiving
30,0.5,feeder2_line7,3,-18.319006209112562,18.326178111132013,0.007171902019450727,0.007171902019450727,P_loss = P_sending + P_receiving
30,0.5,feeder2_line8,1,0.018000098284927105,-0.017999999921082536,9.836384456951563e-08,9.836384456951563e-08,P_loss = P_sending + P_receiving
30,0.5,feeder2_line8,2,1.4454910300703205e-11,-1.443772423652661e-11,1.7186064176595742e-14,1.7186064176595742e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line8,3,6.490693811695648e-11,-6.492587376657091e-11,-1.8935649614431882e-14,1.8935649614431882e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line9,1,-16.969983933515156,16.970581779363158,0.0005978458480022653,0.0005978458480022653,P_loss = P_sending + P_receiving
30,0.5,feeder2_line9,2,-21.003544533598397,21.005253474510983,0.0017089409125858879,0.0017089409125858879,P_loss = P_sending + P_receiving
30,0.5,feeder2_line9,3,-18.326197368988364,18.327145956210106,0.000948587221742514,0.000948587221742514,P_loss = P_sending + P_receiving
30,0.5,feeder2_line10,1,-1.071545908422339e-10,1.0711767660976669e-10,-3.691423246721678e-14,3.691423246721678e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line10,2,0.018000129280150313,-0.01800000001933576,1.2926081455200134e-07,1.2926081455200134e-07,P_loss = P_sending + P_receiving
30,0.5,feeder2_line10,3,8.758163920601113e-11,-8.754824508356658e-11,3.339412244455402e-14,3.339412244455402e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line11,1,-16.970570884391524,16.97243887882433,0.001867994432807052,0.001867994432807052,P_loss = P_sending + P_receiving
30,0.5,feeder2_line11,2,-21.023242902746954,21.028603148337716,0.0053602455907615365,0.0053602455907615365,P_loss = P_sending + P_receiving
30,0.5,feeder2_line11,3,-18.327135244657622,18.33010160239737,0.002966357739747849,0.002966357739747849,P_loss = P_sending + P_receiving
30,0.5,feeder2_line12,1,-5.6329917242824644e-11,5.6342140235347015e-11,1.2222992522370301e-14,1.2222992522370301e-14,P_loss = P_sending + P_receiving
