Time_sample,SOC_actual_pu,SOC_expected_from_previous_interval_pu,SOC_balance_error_pu,audit_note
30,0.4999999999999998,0.5,-2.220446049250313e-16,sampled_SOC_state
60,0.4587514126979866,0.4587514126979866,0.0,sampled_SOC_state
90,0.41721743310401943,0.4172174331040196,-1.6653345369377348e-16,sampled_SOC_state
120,0.37538852225188085,0.37538852225188085,0.0,sampled_SOC_state
150,0.334408838864578,0.3344088388645773,7.216449660063518e-16,sampled_SOC_state
180,0.29272992014439825,0.2927299201443982,5.551115123125783e-17,sampled_SOC_state
210,0.25103711074578755,0.2510371107457889,-1.3322676295501878e-15,sampled_SOC_state
240,0.20919855123873826,0.20919855123873826,0.0,sampled_SOC_state
270,0.20786049952057828,0.20786049952057858,-3.0531133177191805e-16,sampled_SOC_state
300,0.20228028035946494,0.20228028035946494,0.0,sampled_SOC_state
330,0.1895927961124749,0.18959279611247484,5.551115123125783e-17,sampled_SOC_state
360,0.18959279611246965,0.18959279611246965,0.0,sampled_SOC_state
390,0.1895927961124644,0.1895927961124644,0.0,sampled_SOC_state
420,0.1895927961124592,0.18959279611245916,2.7755575615628914e-17,sampled_SOC_state
450,0.19319775761096095,0.19319775761096106,-1.1102230246251565e-16,sampled_SOC_state
480,0.22316914217468145,0.22316914217468142,2.7755575615628914e-17,sampled_SOC_state
510,0.25195554653845637,0.25195554653845653,-1.6653345369377348e-16,sampled_SOC_state
540,0.2892355163084265,0.2892355163084265,0.0,sampled_SOC_state
570,0.33312957837751983,0.3331295783775188,1.0547118733938987e-15,sampled_SOC_state
600,0.3838161936378339,0.3838161936378339,0.0,sampled_SOC_state
630,0.4060396407065601,0.4060396407065601,0.0,sampled_SOC_state
660,0.47566393990697287,0.47566393990697287,0.0,sampled_SOC_state
690,0.5483790280685854,0.5483790280685865,-1.1102230246251565e-15,sampled_SOC_state
720,0.619414968200613,0.619414968200613,0.0,sampled_SOC_state
750,0.6475295285923744,0.647529528592374,4.440892098500626e-16,sampled_SOC_state
780,0.6529904419109912,0.6529904419109912,0.0,sampled_SOC_state
810,0.6529904419109835,0.652990441910986,-2.4424906541753444e-15,sampled_SOC_state
840,0.7205742381937853,0.7205742381937853,0.0,sampled_SOC_state
870,0.7865126359481743,0.7865126359481757,-1.3322676295501878e-15,sampled_SOC_state
900,0.8496674222900354,0.8496674222900356,-1.1102230246251565e-16,sampled_SOC_state
930,0.8922465576422274,0.8922465576422272,2.220446049250313e-16,sampled_SOC_state
960,0.9071849717806929,0.9071849717806928,1.1102230246251565e-16,sampled_SOC_state
990,0.9506582313607363,0.9506582313607366,-2.220446049250313e-16,sampled_SOC_state
1020,0.9734252639149371,0.9734252639149371,0.0,sampled_SOC_state
1050,0.9506626482896642,0.9506626482896642,0.0,sampled_SOC_state
1080,0.9150190560183067,0.9150190560183067,0.0,sampled_SOC_state
1110,0.8804123782974136,0.8804123782974135,1.1102230246251565e-16,sampled_SOC_state
1140,0.8396858914421199,0.8396858914421199,0.0,sampled_SOC_state
1170,0.8152252992743418,0.8152252992743423,-4.440892098500626e-16,sampled_SOC_state
1200,0.8042975587678095,0.8042975587678095,0.0,sampled_SOC_state
1230,0.8018330418536667,0.8018330418536664,2.220446049250313e-16,sampled_SOC_state
1260,0.8009766049119714,0.8009766049119713,1.1102230246251565e-16,sampled_SOC_state
1290,0.759202134914662,0.7592021349146616,4.440892098500626e-16,sampled_SOC_state
1320,0.7179145066821772,0.7179145066821772,0.0,sampled_SOC_state
1350,0.6761140951680522,0.6761140951680514,7.771561172376096e-16,sampled_SOC_state
1380,0.6344457509764262,0.6344457509764263,-1.1102230246251565e-16,sampled_SOC_state
1410,0.593257934045434,0.5932579340454328,1.2212453270876722e-15,sampled_SOC_state
1440,0.5516444868324426,0.5516444868324426,0.0,sampled_SOC_state
1440,0.5100000099999996,0.5100000099999996,0.0,terminal_SOC_after_final_dispatch_interval
