Time_sample,SOC_actual_pu,SOC_expected_from_previous_interval_pu,SOC_balance_error_pu,audit_note
30,0.5,0.5,0.0,sampled_SOC_state
60,0.45794971046355937,0.45794971046355937,0.0,sampled_SOC_state
90,0.41605134373727737,0.41605134373727737,0.0,sampled_SOC_state
120,0.3741306242568569,0.3741306242568569,0.0,sampled_SOC_state
150,0.33217710028528574,0.3321771002852857,5.551115123125783e-17,sampled_SOC_state
180,0.2902667125199732,0.29026671251997327,-5.551115123125783e-17,sampled_SOC_state
210,0.24834866221775712,0.24834866221775712,0.0,sampled_SOC_state
240,0.20645100969187105,0.20645100969187108,-2.7755575615628914e-17,sampled_SOC_state
270,0.20517411296994453,0.20517411296994453,0.0,sampled_SOC_state
300,0.19966577783930772,0.1996657778393077,2.7755575615628914e-17,sampled_SOC_state
330,0.1870551862133298,0.18705518621332978,2.7755575615628914e-17,sampled_SOC_state
360,0.18705518621408904,0.18705518621408904,0.0,sampled_SOC_state
390,0.18705518621484823,0.18705518621484823,0.0,sampled_SOC_state
420,0.18705518621560732,0.18705518621560732,0.0,sampled_SOC_state
450,0.18879894350074958,0.18879894350074958,0.0,sampled_SOC_state
480,0.2178615188939304,0.2178615188939304,0.0,sampled_SOC_state
510,0.2460279803371421,0.24602798033714207,2.7755575615628914e-17,sampled_SOC_state
540,0.2831378132227894,0.2831378132227894,0.0,sampled_SOC_state
570,0.326906619243189,0.32690661924318903,-5.551115123125783e-17,sampled_SOC_state
600,0.37646306100199256,0.3764630610019925,5.551115123125783e-17,sampled_SOC_state
630,0.3966346130419263,0.3966346130419263,0.0,sampled_SOC_state
660,0.466093598942815,0.466093598942815,0.0,sampled_SOC_state
690,0.5386197930166715,0.5386197930166715,0.0,sampled_SOC_state
720,0.6094694480150912,0.6094694480150912,0.0,sampled_SOC_state
750,0.6375361475098967,0.6375361475098967,0.0,sampled_SOC_state
780,0.6426279529420851,0.6426279529420851,0.0,sampled_SOC_state
810,0.6426279529428442,0.6426279529428442,0.0,sampled_SOC_state
840,0.7083710291047076,0.7083710291047076,0.0,sampled_SOC_state
870,0.7717019352764147,0.7717019352764147,0.0,sampled_SOC_state
900,0.8317481138712,0.8317481138712,0.0,sampled_SOC_state
930,0.8742060545561608,0.8742060545561608,0.0,sampled_SOC_state
960,0.888886296438901,0.888886296438901,0.0,sampled_SOC_state
990,0.9296890023437822,0.9296890023437823,-1.1102230246251565e-16,sampled_SOC_state
1020,0.9495551518398302,0.9495551518398302,0.0,sampled_SOC_state
1050,0.9371077211796076,0.9371077211796076,0.0,sampled_SOC_state
1080,0.9039560455697978,0.9039560455697978,0.0,sampled_SOC_state
1110,0.87612494587269,0.87612494587269,0.0,sampled_SOC_state
1140,0.8449494353286521,0.8449494353286521,0.0,sampled_SOC_state
1170,0.8205502129384035,0.8205502129384035,0.0,sampled_SOC_state
1200,0.8096958977001885,0.8096958977001885,0.0,sampled_SOC_state
1230,0.8072957087051683,0.8072957087051683,0.0,sampled_SOC_state
1260,0.8064933440797789,0.8064933440797789,0.0,sampled_SOC_state
1290,0.7645392174824548,0.7645392174824548,0.0,sampled_SOC_state
1320,0.7226799443460978,0.7226799443460978,0.0,sampled_SOC_state
1350,0.6779093763539498,0.6779093763539497,1.1102230246251565e-16,sampled_SOC_state
1380,0.6358630183166457,0.6358630183166458,-1.1102230246251565e-16,sampled_SOC_state
1410,0.5939878607350455,0.5939878607350455,0.0,sampled_SOC_state
1440,0.5519773795291562,0.551977379529156,1.1102230246251565e-16,sampled_SOC_state
1440,0.5100000099965276,0.5100000099965276,0.0,terminal_SOC_after_final_dispatch_interval
