Time_sample,Time_h,PV_architecture,PV_available_P_W,PV_command_P_W,PV_Q_command_var,PV_curtailment_W,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,CentralSolar_P_curtailment_W
570,9.5,central,185006.28302110874,185006.28309012201,0.00012164043994248035,0.0,185006.28302110874,185006.28309012201,0.00012164043994248035,0.0
600,10.0,central,119416.07162306807,119416.07169442652,-3.361660323347878e-06,0.0,119416.07162306807,119416.07169442652,-3.361660323347878e-06,0.0
630,10.5,central,229745.74207171457,229745.74214770633,6.912515860487453e-05,0.0,229745.74207171457,229745.74214770633,6.912515860487453e-05,0.0
660,11.0,central,235990.30875364214,235990.30883039627,3.54351989543041e-05,0.0,235990.30875364214,235990.30883039627,3.54351989543041e-05,0.0
690,11.5,central,232588.44417352724,232588.44424988638,7.914830708963521e-05,0.0,232588.44417352724,232588.44424988638,7.914830708963521e-05,0.0
720,12.0,central,137662.54700039705,137662.5470697323,0.00011884257398837232,0.0,137662.54700039705,137662.5470697323,0.00011884257398837232,0.0
750,12.5,central,86507.1933071255,86507.1933822667,2.329008275160215e-05,0.0,86507.1933071255,86507.1933822667,2.329008275160215e-05,0.0
780,13.0,central,63436.07803724001,63436.07811479044,1.0617586563904437e-07,0.0,63436.07803724001,63436.07811479044,1.0617586563904437e-07,0.0
810,13.5,central,220843.12489531777,220843.12497017297,-6.93534824940371e-05,0.0,220843.12489531777,220843.12497017297,-6.93534824940371e-05,0.0
840,14.0,central,219014.5041579911,219014.50423201962,0.00011191345619316305,0.0,219014.5041579911,219014.50423201962,0.00011191345619316305,0.0
870,14.5,central,209104.784648659,209104.78472145606,-3.245079569705366e-05,0.0,209104.784648659,209104.78472145606,-3.245079569705366e-05,0.0
900,15.0,central,169589.67598894524,169589.67605649796,7.876125892509653e-05,0.0,169589.67598894524,169589.67605649796,7.876125892509653e-05,0.0
930,15.5,central,108386.17806758464,108386.17814027918,8.631252786792608e-05,0.0,108386.17806758464,108386.17814027918,8.631252786792608e-05,0.0
960,16.0,central,167971.81180257935,167971.8118700993,4.821638214866754e-05,0.0,167971.81180257935,167971.8118700993,4.821638214866754e-05,0.0
990,16.5,central,124580.44620067778,124580.44627201108,5.0281132464651066e-05,0.0,124580.44620067778,124580.44627201108,5.0281132464651066e-05,0.0
1020,17.0,central,58867.659044205095,51399.20073482498,-2.3535679014674224e-05,7468.458309380112,58867.659044205095,51399.20073482498,-2.3535679014674224e-05,7468.458309380112
1050,17.5,central,21386.15526279812,1495.1499824030097,-6.721301801962225e-07,19891.005280395108,21386.15526279812,1495.1499824030097,-6.721301801962225e-07,19891.005280395108
1080,18.0,central,35726.29562474032,19027.63589229633,-2.8922369899109944e-06,16698.65973244399,35726.29562474032,19027.63589229633,-2.8922369899109944e-06,16698.65973244399
1110,18.5,central,34880.48921037201,16175.182969561944,-2.3427577174962356e-05,18705.306240810067,34880.48921037201,16175.182969561944,-2.3427577174962356e-05,18705.306240810067
1140,19.0,central,14676.355200650205,36.821852533032306,1.774923419686406e-06,14639.533348117173,14676.355200650205,36.821852533032306,1.774923419686406e-06,14639.533348117173
1170,19.5,central,6556.644238336597,44.05514782288972,2.690714498466024e-07,6512.589090513707,6556.644238336597,44.05514782288972,2.690714498466024e-07,6512.589090513707
1200,20.0,central,1478.7101336823926,38.59673881904402,1.2085293253628781e-07,1440.1133948633485,1478.7101336823926,38.59673881904402,1.2085293253628781e-07,1440.1133948633485
1230,20.5,central,513.8621598622417,32.44337722604555,1.5684269545285717e-07,481.41878263619617,513.8621598622417,32.44337722604555,1.5684269545285717e-07,481.41878263619617
1260,21.0,central,0.0,1.1382306177017267e-12,1.515870045939267e-06,0.0,0.0,1.1382306177017267e-12,1.515870045939267e-06,0.0
1290,21.5,central,0.0,1.138230617332147e-12,6.39565288277702e-05,0.0,0.0,1.138230617332147e-12,6.39565288277702e-05,0.0
1320,22.0,central,0.0,1.1382306225730315e-12,2.6058663096067882e-05,0.0,0.0,1.1382306225730315e-12,2.6058663096067882e-05,0.0
1350,22.5,central,0.0,1.1382306180327048e-12,4.13342831576298e-05,0.0,0.0,1.1382306180327048e-12,4.13342831576298e-05,0.0
1380,23.0,central,0.0,1.13823062490941e-12,-2.934284180839547e-05,0.0,0.0,1.13823062490941e-12,-2.934284180839547e-05,0.0
1410,23.5,central,0.0,1.1382306197367193e-12,-4.8492651527171646e-05,0.0,0.0,1.1382306197367193e-12,-4.8492651527171646e-05,0.0
1440,24.0,central,0.0,1.1382306172335076e-12,5.4107861461619774e-05,0.0,0.0,1.1382306172335076e-12,5.4107861461619774e-05,0.0
