Time_sample,Time_h,PV_architecture,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,NetCentral_P_injection_A_W,NetCentral_P_injection_B_W,NetCentral_P_injection_C_W,NetCentral_P_injection_total_W,BESS_SOC_pu
480,8.0,central,137806.99617541744,137806.9962447261,-1.0850744547109261e-05,-20694.767823384413,-20802.651360087988,-21094.71737212149,-62592.1365555939,25240.897591524285,25133.01405482071,24840.948042787208,75214.8596891322,0.2178615188939304
510,8.5,central,157786.37576376746,157786.37583128788,4.920148189931951e-08,-27427.91729383664,-27451.05075521707,-27587.327268766658,-82466.29531782038,25167.54131659265,25144.40785521222,25008.131341662633,75320.0805134675,0.2460279803371421
540,9.0,central,172443.48122961321,172443.48129732368,5.936288701597497e-05,-32313.213252885085,-32497.29843080586,-32453.50171114945,-97264.0133948404,25167.94717955614,24983.862001635367,25027.658721291777,75179.46790248329,0.2831378132227894
570,9.5,central,185006.28302110874,185006.28309012201,0.00012164043994248035,-36533.00451520325,-36899.23719605359,-36693.18443458445,-110125.42614584128,25135.756514837427,24769.523833987085,24975.576595456223,74880.85694428073,0.326906619243189
600,10.0,central,119416.07162306807,119416.07169442652,-3.361660323347878e-06,-14958.645572044348,-14785.05296562039,-15081.97267576723,-44825.67121343197,24846.71165943116,25020.304265855117,24723.384555708275,74590.40048099455,0.37646306100199256
630,10.5,central,229745.74207171457,229745.74214770633,6.912515860487453e-05,-51220.612476400616,-51538.80755097698,-51593.881984569554,-154353.30201194715,25361.301572834833,25043.106498258472,24988.032064665895,75392.44013575919,0.3966346130419263
660,11.0,central,235990.30875364214,235990.30883039627,3.54351989543041e-05,-53789.07819612392,-53863.61977331889,-53516.622204093175,-161169.320173536,24874.358080674843,24799.816503479873,25146.814072705587,74820.98865686028,0.466093598942815
690,11.5,central,232588.44417352724,232588.44424988638,7.914830708963521e-05,-52386.108390451984,-52626.11346545693,-52431.4559280584,-157443.67778396732,25143.373026176814,24903.367951171866,25098.025488570398,75144.76646591906,0.5386197930166715
720,12.0,central,137662.54700039705,137662.5470697323,0.00011884257398837232,-20727.64720204436,-20827.5748035396,-20815.22133131035,-62370.44333689431,25159.868487866406,25059.94088637117,25072.29435860042,75292.103732838,0.6094694480150912
750,12.5,central,86507.1933071255,86507.1933822667,2.329008275160215e-05,-3889.312619537893,-3730.1311232371395,-3695.679450550698,-11315.123193325731,24946.41850788434,25105.600004185093,25140.051676871535,75192.07018894097,0.6375361475098967
780,13.0,central,63436.07803724001,63436.07811479044,1.0617586563904437e-07,-4.211926363590225e-06,-4.211894599485207e-06,-4.2111259291775175e-06,-1.2634946892252949e-05,21145.359367384885,21145.359367384917,21145.35936738569,63436.078102155494,0.6426279529420851
810,13.5,central,220843.12489531777,220843.12497017297,-6.93534824940371e-05,-48574.53274608515,-48986.18046236546,-48535.01160650139,-146095.724814952,25039.842243972504,24628.19452769219,25079.363383556258,74747.40015522097,0.6426279529428442
840,14.0,central,219014.5041579911,219014.50423201962,0.00011191345619316305,-44750.129712100315,-48125.91768820583,-47859.29965936564,-140735.3470596718,28254.705031906225,24878.91705580071,25145.5350846409,78279.15717234783,0.7083710291047076
870,14.5,central,209104.784648659,209104.78472145606,-3.245079569705366e-05,-43957.00182937508,-44787.86773810523,-44691.08287771074,-133435.95244519104,25744.59307777693,24913.727169046782,25010.512029441277,75668.83227626502,0.7717019352764147
900,15.0,central,169589.67598894524,169589.67605649796,7.876125892509653e-05,-31401.481630096394,-31545.073703612918,-31404.42398250744,-94350.97931621675,25128.410388736258,24984.818315219734,25125.468036325212,75238.69674028122,0.8317481138712
