Time_sample,Time_h,OPF_network_voltage_range_pu,DSS_network_voltage_range_pu,Max_OPF_VUF2_percent,Max_OPF_VUF0_percent,Max_DSS_VUF2_percent,Max_DSS_VUF0_percent
30,0.5,0.024706962600410165,0.024708404081254853,0.13803748103481223,0.32693943465341246,0.1380706935805347,0.32680624541617953
60,1.0,0.024695974139850252,0.024694462784852877,0.0902794038445811,0.0923191216050646,0.09012163819862005,0.09147465594715874
90,1.5,0.024633855398793036,0.024635261829516475,0.09370183471612607,0.15020037493289548,0.09360117288570256,0.15019760707654042
120,2.0,0.024712297600915756,0.024714020243312484,0.12585540158725106,0.1539913995202403,0.12588675098730662,0.1540903676138036
150,2.5,0.024630725737469383,0.024633874307125492,0.09374971760327955,0.14213453971308632,0.09369191718831517,0.1420242309407915
180,3.0,0.024717982127888227,0.02472036320281301,0.11082063813663788,0.15506544603897915,0.1108236706706636,0.15495299364258858
210,3.5,0.024778037458356605,0.024779894520623902,0.06396410638935532,0.22116512664249666,0.06388539450342029,0.22141024355191435
240,4.0,0.018614273321203134,0.018614075378796224,0.0586069936501562,0.19105643687930116,0.058711907015180795,0.19118379725397383
270,4.5,0.016258099127740344,0.016259780244240796,0.12062804389226117,0.15606195794742336,0.12056746165827854,0.1565855788174096
300,5.0,0.012506198024429871,0.012504814292513933,0.07443300051857266,0.23086208788505158,0.07451540481995148,0.23087225289697347
330,5.5,0.013909083019891355,0.013906410124612467,0.06523054549206973,0.1775992215945417,0.0652249245373371,0.17746173054239356
360,6.0,0.011262172577906071,0.011261197795471745,0.0941373390742689,0.46811015955491897,0.09409377997746743,0.46791140825099603
390,6.5,0.018321879994005696,0.01831641878974244,0.14062285183323883,0.35475977693930316,0.14058061544238892,0.3545309538684692
420,7.0,0.024805106880735783,0.02480777711342763,0.2618440130799359,0.26502506006391413,0.26191667750331743,0.2651611291737175
450,7.5,0.024891799593140806,0.024892944559218977,0.26039637573807434,0.4478877061859616,0.26035386342590616,0.44774367299078854
480,8.0,0.02815785377603608,0.028153622177379933,0.3266616046963671,0.8644815976099864,0.32657268426754404,0.8641728285497138
510,8.5,0.024793969944066907,0.02479780016671329,0.12450943297155934,0.4037471256660848,0.12454088009555005,0.40399014332878136
540,9.0,0.026028180270609713,0.02602767358483815,0.14908664480033654,0.3825093008186501,0.14906556521411432,0.3824925069320579
570,9.5,0.028505856405298458,0.028502749239879943,0.22944899083417034,0.9150346127727714,0.22942574083904768,0.9149047528585172
600,10.0,0.03265075539196616,0.03265454659534894,0.5251115966713037,1.0228595088914434,0.5251596444390109,1.0230366135029516
630,10.5,0.0212276523895778,0.021220503153492,0.09772767464573712,0.22209747432673727,0.0975418951595447,0.22170394633060456
660,11.0,0.03406758302150181,0.03407279269613572,0.2236537752463004,0.8349091418689663,0.22366891848554984,0.8350659099399188
