Time_sample,Time_h,Feeder_line,OPF_P_sending_A_kW,OPF_P_sending_B_kW,OPF_P_sending_C_kW,OPF_source_flow_total_kW,OPF_feeder_import_kW,OPF_feeder_export_kW,OPF_feeder_export_energy_kWh,sign_convention,units
870,14.5,feeder2_line1,-6.979758126359205,-9.948662276417563,-19.168578523089653,-36.09699892586642,0.0,36.09699892586642,18.04849946293321,positive source flow = import; negative source flow = export,kW; energy column kWh
900,15.0,feeder2_line1,-7.332433024322679,-9.918839236859865,-14.33440658562758,-31.585678846810122,0.0,31.585678846810122,15.792839423405061,positive source flow = import; negative source flow = export,kW; energy column kWh
930,15.5,feeder2_line1,-13.207295375686126,-16.01164455240866,-16.999377548271543,-46.21831747636633,0.0,46.21831747636633,23.109158738183165,positive source flow = import; negative source flow = export,kW; energy column kWh
960,16.0,feeder2_line1,-7.199446948640413,-2.709398097495998,-15.74659628549497,-25.65544133163138,0.0,25.65544133163138,12.82772066581569,positive source flow = import; negative source flow = export,kW; energy column kWh
990,16.5,feeder2_line1,-7.740663326807103,-12.915271946127053,-12.389519539493657,-33.04545481242781,0.0,33.04545481242781,16.522727406213907,positive source flow = import; negative source flow = export,kW; energy column kWh
1020,17.0,feeder2_line1,0.5666242143734412,-6.507552252748877,-0.09114645461458873,-6.0320744929900245,0.0,6.0320744929900245,3.0160372464950123,positive source flow = import; negative source flow = export,kW; energy column kWh
1050,17.5,feeder2_line1,6.14756479392434,5.1107603697056865,-4.973071428124699,6.285253735505327,6.285253735505327,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1080,18.0,feeder2_line1,9.161292980167149,-10.015450080991524,-12.584838347114408,-13.438995447938783,0.0,13.438995447938783,6.719497723969392,positive source flow = import; negative source flow = export,kW; energy column kWh
1110,18.5,feeder2_line1,3.293898467598564,-0.6164241856066964,-5.753508979533755,-3.0760346975418873,0.0,3.0760346975418873,1.5380173487709436,positive source flow = import; negative source flow = export,kW; energy column kWh
1140,19.0,feeder2_line1,2.1541924322374872,3.9468222280257543,5.392722452240012,11.493737112503254,11.493737112503254,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1170,19.5,feeder2_line1,10.859831920026867,3.6480766560826487,10.727002199603824,25.234910775713338,25.234910775713338,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1200,20.0,feeder2_line1,16.01564472942224,19.955396732734535,22.42736886768551,58.398410329842285,58.398410329842285,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1230,20.5,feeder2_line1,13.809358760011675,20.298398825203364,16.847110674326064,50.9548682595411,50.9548682595411,0.0,0.0,positive source flow = import; negative source flow = export,kW; energy column kWh
1260,21.0,feeder2_line1,-11.85505908952457,-12.271849517394427,-13.123761738654204,-37.2506703455732,0.0,37.2506703455732,18.6253351727866,positive source flow = import; negative source flow = export,kW; energy column kWh
1290,21.5,feeder2_line1,-8.493093518713014,-4.384657101613627,-12.313667427618297,-25.191418047944936,0.0,25.191418047944936,12.595709023972468,positive source flow = import; negative source flow = export,kW; energy column kWh
1320,22.0,feeder2_line1,-12.822518942626727,-11.16537087231778,-12.105748332412853,-36.09363814735736,0.0,36.09363814735736,18.04681907367868,positive source flow = import; negative source flow = export,kW; energy column kWh
1350,22.5,feeder2_line1,-12.530397083736954,-12.228177825954006,-12.661393965692616,-37.419968875383574,0.0,37.419968875383574,18.709984437691787,positive source flow = import; negative source flow = export,kW; energy column kWh
1380,23.0,feeder2_line1,-15.099244934602197,-7.977243176581283,-12.327896102181388,-35.404384213364864,0.0,35.404384213364864,17.702192106682432,positive source flow = import; negative source flow = export,kW; energy column kWh
1410,23.5,feeder2_line1,-13.430036941168192,-17.68802090885999,-14.65026769331216,-45.76832554334034,0.0,45.76832554334034,22.88416277167017,positive source flow = import; negative source flow = export,kW; energy column kWh
1440,24.0,feeder2_line1,-14.089504810309856,-17.25181489502547,-13.417037851834552,-44.75835755716987,0.0,44.75835755716987,22.379178778584937,positive source flow = import; negative source flow = export,kW; energy column kWh
