Time_h,Feeder_import_positive_kW,Export_kW,Import_kW,PV_available_kW,PV_command_kW,BESS_net_discharge_positive_kW,PV_inactive
0.5,-56.94157600402832,56.94157600402832,0,0.0,1.1382306176442123e-15,75.69051805451421,True
1.0,-61.16777992248535,61.16777992248535,0,0.0,1.1382306173259373e-15,75.41705698506645,True
1.5,-62.6585636138916,62.6585636138916,0,0.0,1.1382306301609265e-15,75.45729194419623,True
2.0,-62.05805587768555,62.05805587768555,0,0.0,1.138230624147762e-15,75.51634003067417,True
2.5,-63.574541091918945,63.574541091918945,0,0.0,1.138230617462715e-15,75.43869485622302,True
3.0,-63.00896072387695,63.00896072387695,0,0.0,1.1382306173329045e-15,75.45248742322642,True
3.5,-60.33165168762207,60.33165168762207,0,0.0,1.1382306165122537e-15,75.41577142429698,True
4.0,10.565283060073853,0,10.565283060073853,0.8028310228511782,0.03669298515355782,2.2984140950219105,False
4.5,1.7596416771411896,0,1.7596416771411896,3.34813146317036,0.0431304054422662,9.915003230519426,False
5.0,-9.840582370758057,9.840582370758057,0,7.6124904720528,0.04613555933391807,22.699064921831017,False
5.5,-2.3133437037467957,2.3133437037467957,0,16.21467298000961,16.214673057559985,-1.263511805332443e-08,False
6.0,-17.95749807357788,17.95749807357788,0,32.04062632992235,32.040626407472736,-1.2635083471781506e-08,False
6.5,-52.53337574005127,52.53337574005127,0,67.54117105030791,67.5411711278584,-1.2634759467964729e-08,False
7.0,-60.511796951293945,60.511796951293945,0,81.2359820112237,81.23598207844393,-3.8750162054086386,False
7.5,-54.412309646606445,54.412309646606445,0,139.78309169335256,139.78309176242206,-64.58350088903292,False
8.0,-40.188724517822266,40.188724517822266,0,137.80699617541745,137.8069962447261,-62.592136555593896,False
8.5,-47.92654800415039,47.92654800415039,0,157.78637576376747,157.78637583128787,-82.46629531782038,False
9.0,-35.10488033294678,35.10488033294678,0,172.4434812296132,172.44348129732367,-97.26401339484039,False
9.5,-29.996898651123047,29.996898651123047,0,185.00628302110874,185.00628309012203,-110.12542614584127,False
10.0,-29.41737461090088,29.41737461090088,0,119.41607162306806,119.41607169442652,-44.82567121343197,False
10.5,-25.765543937683105,25.765543937683105,0,229.74574207171457,229.74574214770632,-154.35330201194714,False
11.0,-17.666614443063736,17.666614443063736,0,235.99030875364213,235.99030883039626,-161.169320173536,False
11.5,-38.61297798156738,38.61297798156738,0,232.58844417352725,232.58844424988638,-157.4436777839673,False
12.0,-48.27168369293213,48.27168369293213,0,137.66254700039707,137.6625470697323,-62.370443336894304,False
12.5,-46.44546127319336,46.44546127319336,0,86.5071933071255,86.5071933822667,-11.315123193325732,False
13.0,-11.71711939945817,11.71711939945817,0,63.43607803724001,63.43607811479044,-1.2634946892252949e-08,False
13.5,-33.948649168014526,33.948649168014526,0,220.84312489531777,220.84312497017297,-146.095724814952,False
14.0,-31.890717029571533,31.890717029571533,0,219.0145041579911,219.01450423201962,-140.7353470596718,False
14.5,-36.09699583053589,36.09699583053589,0,209.104784648659,209.10478472145607,-133.43595244519105,False
15.0,-31.586089611053467,31.586089611053467,0,169.58967598894523,169.58967605649795,-94.35097931621675,False
15.5,-46.21868324279785,46.21868324279785,0,108.38617806758464,108.38617814027918,-32.622759751958164,False
16.0,-25.656996965408325,25.656996965408325,0,167.97181180257934,167.97181187009932,-90.67267980497284,False
16.5,-33.045751094818115,33.045751094818115,0,124.58044620067777,124.58044627201107,-44.146998893740246,False
17.0,-6.032745368778706,6.032745368778706,0,58.8676590442051,51.39920073482498,22.405375183478775,False
17.5,6.285040378570557,0,6.285040378570557,21.38615526279812,1.4951499824030097,59.673016091847146,False
18.0,-13.43950080871582,13.43950080871582,0,35.72629562474032,19.02763589229633,50.09597944921578,False
18.5,-3.0762192010879517,3.0762192010879517,0,34.88048921037201,16.175182969561945,56.11591897354348,False
19.0,11.492807626724243,0,11.492807626724243,14.676355200650205,0.03682185253303231,43.91860029701791,False
19.5,25.234300136566162,0,25.234300136566162,6.556644238336596,0.044055147822889724,19.53776742393226,False
20.0,58.397470474243164,0,58.397470474243164,1.4787101336823925,0.03859673881904402,4.320340186542294,False
20.5,50.95453357696533,0,50.95453357696533,0.5138621598622417,0.032443377226045546,1.4442563212755075,False
21.0,-37.2499361038208,37.2499361038208,0,0.0,1.1382306177017268e-15,75.51742475703176,True
21.5,-25.192253589630127,25.192253589630127,0,0.0,1.138230617332147e-15,75.34668851990921,True
22.0,-36.09329032897949,36.09329032897949,0,0.0,1.1382306225730316e-15,80.58701944016634,True
22.5,-37.420806884765625,37.420806884765625,0,0.0,1.1382306180327048e-15,75.68344135562232,True
23.0,-35.40518617630005,35.40518617630005,0,0.0,1.13823062490941e-15,75.37528052252291,True
23.5,-45.768649101257324,45.768649101257324,0,0.0,1.1382306197367193e-15,75.61886305660272,True
24.0,-44.75846862792969,44.75846862792969,0,0.0,1.1382306172335076e-15,75.55926204221026,True
