Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction
One-stage weighted objective,420,7.0,81.2359820112237,81.23598207844393,0.0,0.18705518621560732,7.53567142777311e-09,2.7750209195903488e-08,2.021453776813038e-08,2.6937909600247707,1.945066531681704,2.0665805323992774e-08,-1.9450665110158987,-0.8908736739284207,1.9299497352697998,2.0662522424791428e-08,-1.9299497146072775,0.18316137077643327,3.875016274487175,6.90785369446877e-08,-3.8750162054086386,1.9860786568727835,0.0,0.0
One-stage weighted objective,450,7.5,139.78309169335256,139.78309176242206,0.0,0.18879894350074958,21.52967533571084,2.1738987656405135e-08,-21.529675313971858,-2.2831454530166324,21.50731104704592,2.1738293386965804e-08,-21.507311025307626,1.7694598719310595,21.546514571492967,2.1739528082759083e-08,-21.54651454975344,-0.23830035090557306,64.58350095424973,6.521680912613002e-08,-64.58350088903292,-0.751985931991146,0.0,0.0
One-stage weighted objective,480,8.0,137.80699617541745,137.8069962447261,0.0,0.2178615188939304,20.694767844865652,2.148123989690508e-08,-20.694767823384414,-2.111696694913224,20.80265138157636,2.1488373431321518e-08,-20.80265136008799,0.9070921776052236,21.094717393625697,2.1504205353539013e-08,-21.09471737212149,0.6826624369934184,62.592136620067706,6.447381868176561e-08,-62.592136555593896,-0.5219420803145822,0.0,0.0
One-stage weighted objective,510,8.5,157.78637576376747,157.78637583128787,0.0,0.2460279803371421,27.427917317129154,2.3292515177095164e-08,-27.42791729383664,-0.20690231608472928,27.45105077850474,2.3287671060437506e-08,-27.45105075521707,0.499965023053445,27.587327292025186,2.325853004119774e-08,-27.587327268766657,0.560613341202704,82.46629538765909,6.983871627873042e-08,-82.46629531782038,0.8536760481714196,0.0,0.0
One-stage weighted objective,540,9.0,172.4434812296132,172.44348129732367,0.0,0.2831378132227894,32.31321327590707,2.3021984470711463e-08,-32.313213252885085,0.1454327915019688,32.49729845376469,2.2958836551722975e-08,-32.497298430805856,0.8640545947790954,32.4535017341233,2.297385018787705e-08,-32.45350171114945,0.06486028956508416,97.26401346379507,6.895467121031149e-08,-97.26401339484039,1.0743476758461483,0.0,0.0
One-stage weighted objective,570,9.5,185.00628302110874,185.00628309012203,0.0,0.326906619243189,36.53300453682445,2.1621198314805104e-08,-36.533004515203245,-1.2822944729096397,36.899237217531976,2.1478383264637056e-08,-36.89923719605359,2.4470694133387365,36.69318445614326,2.155880558573568e-08,-36.69318443458445,-1.3903485007182177,110.12542621049968,6.465838716517784e-08,-110.12542614584127,-0.22557356028912112,0.0,0.0
One-stage weighted objective,600,10.0,119.41607162306806,119.41607169442652,0.0,0.37646306100199256,14.958645591345519,1.9301171690582266e-08,-14.958645572044349,-4.0112475269954695,14.785052984875348,1.9254956991291918e-08,-14.785052965620391,2.5447171667955906,15.081972695101054,1.9333823819620175e-08,-15.081972675767231,-0.6257307998641577,44.82567127132192,5.788995250149436e-08,-44.82567121343197,-2.092261160064037,0.0,0.0
One-stage weighted objective,630,10.5,229.74574207171457,229.74574214770632,0.0,0.3966346130419263,51.22061249063154,1.423092200432863e-08,-51.22061247640062,0.9698870239738399,51.53880756512523,1.4148253977192265e-08,-51.538807550976976,0.44192287915816464,51.59388199870378,1.4134227691901368e-08,-51.593881984569556,0.4441532175068086,154.35330205446053,4.251340367342226e-08,-154.35330201194714,1.855963120638813,0.0,0.0
One-stage weighted objective,660,11.0,235.99030875364213,235.99030883039626,0.0,0.466093598942815,53.789078209481765,1.3357844426639642e-08,-53.78907819612392,0.561839616250385,53.863619786660436,1.334154635485664e-08,-53.86361977331889,0.3254400815545103,53.516622217511475,1.3418301796716862e-08,-53.516622204093174,0.35909881670235233,161.16932021365366,4.011769257821315e-08,-161.169320173536,1.2463785145072475,0.0,0.0
One-stage weighted objective,690,11.5,232.58844417352725,232.58844424988638,0.0,0.5386197930166715,52.38610840426107,1.3809092894192816e-08,-52.38610839045198,0.4416956134404037,52.626113479208406,1.3751470804586124e-08,-52.62611346545693,0.44393743098460875,52.43145594185643,1.3798026881937139e-08,-52.4314559280584,0.45041184614485896,157.4436778253259,4.1358590580716076e-08,-157.4436777839673,1.3360448905698714,0.0,0.0
