Time_sample,Time_h,Line,Phase,OPF_P_sending_kW,OPF_P_receiving_kW,OPF_P_loss_signed_kW,OPF_P_loss_abs_kW,loss_equation
30,0.5,feeder2_line1,1,-16.662418942600436,16.68653216555191,0.024113222951474,0.024113222951474,P_loss = P_sending + P_receiving
30,0.5,feeder2_line1,2,-20.838286028128277,20.91362941712878,0.07534338900050486,0.07534338900050486,P_loss = P_sending + P_receiving
30,0.5,feeder2_line1,3,-18.04671746110678,18.08907134299199,0.04235388188520872,0.04235388188520872,P_loss = P_sending + P_receiving
30,0.5,feeder2_line2,1,-16.94494517410889,16.945846270345406,0.0009010962365145758,0.0009010962365145758,P_loss = P_sending + P_receiving
30,0.5,feeder2_line2,2,-20.913665860180533,20.91633932447487,0.0026734642943360143,0.0026734642943360143,P_loss = P_sending + P_receiving
30,0.5,feeder2_line2,3,-18.089107667465463,18.090551044947023,0.0014433774815607592,0.0014433774815607592,P_loss = P_sending + P_receiving
30,0.5,feeder2_line3,1,0.2583767098320161,-0.25834107941364454,3.563041837156833e-05,3.563041837156833e-05,P_loss = P_sending + P_receiving
30,0.5,feeder2_line3,2,1.1911774284583147e-11,-1.1537513760061128e-11,3.742605245220196e-13,3.742605245220196e-13,P_loss = P_sending + P_receiving
30,0.5,feeder2_line3,3,5.184795326931811e-11,-5.1956974999759955e-11,-1.090217304418436e-13,1.090217304418436e-13,P_loss = P_sending + P_receiving
30,0.5,feeder2_line4,1,-16.945887825406995,16.947442844683216,0.001555019276221259,0.001555019276221259,P_loss = P_sending + P_receiving
30,0.5,feeder2_line4,2,-20.98590020592561,20.990584490963247,0.004684285037637181,0.004684285037637181,P_loss = P_sending + P_receiving
30,0.5,feeder2_line4,3,-18.090592609501503,18.09309395038477,0.0025013408832670336,0.0025013408832670336,P_loss = P_sending + P_receiving
30,0.5,feeder2_line5,1,-6.631831665292567e-11,6.625598083515721e-11,-6.233581776845541e-14,6.233581776845541e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line5,2,0.06951915305349947,-0.06951787254537008,1.2805081293920662e-06,1.2805081293920662e-06,P_loss = P_sending + P_receiving
30,0.5,feeder2_line5,3,5.278673520850277e-11,-5.272638147762634e-11,6.035373087643402e-14,6.035373087643402e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line6,1,-7.217526537150641e-11,7.258345512169552e-11,4.0818975018910645e-13,4.0818975018910645e-13,P_loss = P_sending + P_receiving
30,0.5,feeder2_line6,2,1.4471805745544563e-11,-1.4533781866679098e-11,-6.19761211345352e-14,6.19761211345352e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line6,3,0.2258840327401142,-0.2258420862452264,4.1946494887812324e-05,4.1946494887812324e-05,P_loss = P_sending + P_receiving
30,0.5,feeder2_line7,1,-16.94747105121029,16.951964610098376,0.004493558888086113,0.004493558888086113,P_loss = P_sending + P_receiving
30,0.5,feeder2_line7,2,-20.99061285321261,21.003525273036292,0.012912419823681631,0.012912419823681631,P_loss = P_sending + P_receiving
30,0.5,feeder2_line7,3,-18.31900621050994,18.32617811253111,0.00717190202117024,0.00717190202117024,P_loss = P_sending + P_receiving
30,0.5,feeder2_line8,1,0.01800009828452101,-0.017999999920676447,9.836384456257674e-08,9.836384456257674e-08,P_loss = P_sending + P_receiving
30,0.5,feeder2_line8,2,1.518033439739091e-11,-1.5163148426157546e-11,1.7185971233363963e-14,1.7185971233363963e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line8,3,6.452462366641539e-11,-6.454355929177174e-11,-1.8935625356352293e-14,1.8935625356352293e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line9,1,-16.969983932808443,16.970581778656317,0.0005978458478743676,0.0005978458478743676,P_loss = P_sending + P_receiving
30,0.5,feeder2_line9,2,-21.003544531825238,21.00525347273729,0.0017089409120529808,0.0017089409120529808,P_loss = P_sending + P_receiving
30,0.5,feeder2_line9,3,-18.326197370411585,18.32714595763356,0.0009485872219769931,0.0009485872219769931,P_loss = P_sending + P_receiving
30,0.5,feeder2_line10,1,-1.0739336720488901e-10,1.0735645301555949e-10,-3.691418932951519e-14,3.691418932951519e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line10,2,0.01800012928046443,-0.018000000019649874,1.2926081455547078e-07,1.2926081455547078e-07,P_loss = P_sending + P_receiving
30,0.5,feeder2_line10,3,8.785626316849718e-11,-8.782286908639321e-11,3.3394082103976595e-14,3.3394082103976595e-14,P_loss = P_sending + P_receiving
30,0.5,feeder2_line11,1,-16.970570883705864,16.97243887813827,0.0018679944324055953,0.0018679944324055953,P_loss = P_sending + P_receiving
30,0.5,feeder2_line11,2,-21.02324290094387,21.028603146532937,0.005360245589066892,0.005360245589066892,P_loss = P_sending + P_receiving
30,0.5,feeder2_line11,3,-18.327135246029655,18.33010160377011,0.002966357740454839,0.002966357740454839,P_loss = P_sending + P_receiving
