Time_h,Feeder_import_positive_kW,Export_kW,Import_kW,PV_available_kW,PV_command_kW,BESS_net_discharge_positive_kW,PV_inactive
0.5,-55.54754447937012,55.54754447937012,0,0.0,1.3659519606942468e-19,74.24745394605551,True
1.0,-60.52681541442871,60.52681541442871,0,0.0,1.3651229317581902e-19,74.7611600917876,True
1.5,-62.49662780761719,62.49662780761719,0,0.0,1.364329971692055e-19,75.292036379106,True
2.0,-60.293331146240234,60.293331146240234,0,0.0,1.366751231832584e-19,73.76342687941099,True
2.5,-63.16372299194336,63.16372299194336,0,0.0,1.3647678669198288e-19,75.02205053150178,True
3.0,-62.608022689819336,62.608022689819336,0,0.0,1.3650617593880056e-19,75.0470537526421,True
3.5,-60.23110008239746,60.23110008239746,0,0.0,1.3642765425815027e-19,75.30940395872126,True
4.0,10.489745378494263,0,10.489745378494263,0.8028310228511782,9.164023496547287e-11,2.4084930910309623,False
4.5,1.6693137288093567,0,1.6693137288093567,3.34813146317036,9.164023412599335e-11,10.044394488347463,False
5.0,-9.93915057182312,9.93915057182312,0,7.6124904720528,9.1640233808223e-11,22.83747164292547,False
5.5,-2.3203234672546387,2.3203234672546387,0,16.21467298000961,16.214673076186532,-2.6171634674706036e-10,False
6.0,-17.952824115753174,17.952824115753174,0,32.04062632992235,32.040626426099266,-2.6171634676921877e-10,False
6.5,-52.53293418884277,52.53293418884277,0,67.54117105030791,67.54117114648484,-2.6171633089507595e-10,False
7.0,-56.546804428100586,56.546804428100586,0,81.2359820112237,81.23593009921937,-8.01106214838993,False
7.5,-52.44011688232422,52.44011688232422,0,139.78309169335256,139.78308553590375,-66.60308120776683,False
8.0,-38.87976408004761,38.87976408004761,0,137.80699617541745,137.8069897604355,-63.9697920587795,False
8.5,-47.571218490600586,47.571218490600586,0,157.78637576376747,157.7863708328349,-82.84438080535608,False
9.0,-34.84714126586914,34.84714126586914,0,172.4434812296132,172.44347705659666,-97.54236315869626,False
9.5,-27.56438970565796,27.56438970565796,0,185.00628302110874,185.00627942058583,-112.63692540337006,False
10.0,-25.06415295600891,25.06415295600891,0,119.41607162306806,119.41606328449987,-49.385443865861674,False
10.5,-25.423562049865723,25.423562049865723,0,229.74574207171457,229.74573947741456,-154.72066678386815,False
11.0,-17.265656918287277,17.265656918287277,0,235.99030875364213,235.99030627380523,-161.58908661705985,False
11.5,-38.21812343597412,38.21812343597412,0,232.58844417352725,232.5884416327416,-157.85764659407883,False
12.0,-48.170326232910156,48.170326232910156,0,137.66254700039707,137.66254042975953,-62.476805562061664,False
12.5,-45.67933940887451,45.67933940887451,0,86.5071933071255,86.50715907096746,-12.135387090830443,False
13.0,-11.719578508287668,11.719578508287668,0,63.43607803724001,63.43607813341693,-2.617163417369486e-10,False
13.5,-30.02636170387268,30.02636170387268,0,220.84312489531777,220.84312221971095,-150.18621591380995,False
14.0,-26.395933628082275,26.395933628082275,0,219.0145041579911,219.01450141315485,-146.5297747860547,False
14.5,-29.443040370941162,29.443040370941162,0,209.104784648659,209.10478177848762,-140.34397173447772,False
15.0,-31.328041076660156,31.328041076660156,0,169.58967598894523,169.58967168400156,-94.62030387999076,False
15.5,-45.6754207611084,45.6754207611084,0,108.38617806758464,108.38616561449166,-33.196484694387514,False
16.0,-20.104042410850525,20.104042410850525,0,167.97181180257934,167.97180758821187,-96.60724655196576,False
16.5,-27.037794828414917,27.037794828414917,0,124.58044620067777,124.58043806355523,-50.59341147142848,False
17.0,-6.610079228878021,6.610079228878021,0,58.8676590442051,38.59531183625028,35.93524024132,False
17.5,3.3251962661743164,0,3.3251962661743164,21.38615526279812,9.16402326147125e-11,64.1584660867865,False
18.0,-16.532163619995117,16.532163619995117,0,35.72629562474032,3.556894803213972,68.70644835301573,False
18.5,-4.790611982345581,4.790611982345581,0,34.88048921037201,2.2681122761935426,71.93070242004207,False
19.0,11.427015542984009,0,11.427015542984009,14.676355200650205,9.164023340228796e-11,44.02906590034286,False
19.5,25.170655727386475,0,25.170655727386475,6.556644238336596,9.164023401217795e-11,19.669932910101494,False
20.0,58.31844234466553,0,58.31844234466553,1.4787101336823925,9.16402346793227e-11,4.4361304438009626,False
20.5,50.92265224456787,0,50.92265224456787,0.5138621598622417,9.164023565470867e-11,1.541586493395094,False
21.0,-36.94093894958496,36.94093894958496,0,0.0,1.3635547182925227e-19,75.19404283676243,True
21.5,-24.215444564819336,24.215444564819336,0,0.0,1.3658471244242654e-19,74.31772762221912,True
22.0,-31.086369514465332,31.086369514465332,0,0.0,1.364214213930678e-19,75.24073756826802,True
22.5,-36.77088451385498,36.77088451385498,0,0.0,1.3624954837346912e-19,75.00301637861216,True
23.0,-34.25243282318115,34.25243282318115,0,0.0,1.3661805021742716e-19,74.1380672712068,True
23.5,-45.09720993041992,45.09720993041992,0,0.0,1.364928297860878e-19,74.90420181267808,True
24.0,-44.189066886901855,44.189066886901855,0,0.0,1.366138065620731e-19,74.96005512978903,True
