Time_sample,SOC_actual_pu,SOC_expected_from_previous_interval_pu,SOC_balance_error_pu,audit_note
30,0.5000000000000099,0.5,9.880984919163893e-15,sampled_SOC_state
60,0.45875141269767333,0.45875141269767333,0.0,sampled_SOC_state
90,0.4172174331043569,0.4172174331043632,-6.328271240363392e-15,sampled_SOC_state
120,0.37538852225275826,0.37538852225275826,0.0,sampled_SOC_state
150,0.3344088388646698,0.33440883886467426,-4.440892098500626e-15,sampled_SOC_state
180,0.29272992014432253,0.29272992014432253,0.0,sampled_SOC_state
210,0.25103711074618973,0.2510371107461499,3.980149543281186e-14,sampled_SOC_state
240,0.20919855123965342,0.20919855123965345,-2.7755575615628914e-17,sampled_SOC_state
270,0.20786049952233343,0.2078604995223377,-4.274358644806853e-15,sampled_SOC_state
300,0.2022802803620641,0.2022802803620641,0.0,sampled_SOC_state
330,0.1895927961159163,0.1895927961159181,-1.7763568394002505e-15,sampled_SOC_state
360,0.18959279611502738,0.1895927961150274,-2.7755575615628914e-17,sampled_SOC_state
390,0.18959279611414254,0.18959279611413848,4.052314039881821e-15,sampled_SOC_state
420,0.18959279611325364,0.18959279611325364,0.0,sampled_SOC_state
450,0.19319775761058058,0.19319775761057792,2.6645352591003757e-15,sampled_SOC_state
480,0.2231691421735411,0.2231691421735411,0.0,sampled_SOC_state
510,0.25195554653791824,0.2519555465379071,1.1157741397482823e-14,sampled_SOC_state
540,0.28923551630817906,0.28923551630817906,0.0,sampled_SOC_state
570,0.3331295783774682,0.33312957837744167,2.653433028854124e-14,sampled_SOC_state
600,0.3838161936381202,0.3838161936381202,0.0,sampled_SOC_state
630,0.4060396407066059,0.4060396407065472,5.873079800267078e-14,sampled_SOC_state
660,0.4756639399071424,0.47566393990714234,5.551115123125783e-17,sampled_SOC_state
690,0.5483790280689901,0.5483790280688698,1.2023715356690445e-13,sampled_SOC_state
720,0.6194149682010711,0.6194149682010711,0.0,sampled_SOC_state
750,0.6475295285926103,0.6475295285926242,-1.3988810110276972e-14,sampled_SOC_state
780,0.6529904419113837,0.6529904419113837,0.0,sampled_SOC_state
810,0.6529904419104671,0.6529904419104947,-2.7644553313166398e-14,sampled_SOC_state
840,0.7205742381937252,0.7205742381937253,-1.1102230246251565e-16,sampled_SOC_state
870,0.7865126359474972,0.7865126359475676,-7.038813976123492e-14,sampled_SOC_state
900,0.8496674222884354,0.8496674222884354,0.0,sampled_SOC_state
930,0.8922465576404969,0.8922465576405049,-7.993605777301127e-15,sampled_SOC_state
960,0.9071849717788358,0.907184971778836,-1.1102230246251565e-16,sampled_SOC_state
990,0.9506582313619794,0.9506582313619756,3.774758283725532e-15,sampled_SOC_state
1020,0.9734252639167018,0.9734252639167018,0.0,sampled_SOC_state
1050,0.953461237889026,0.9534612378890275,-1.4432899320127035e-15,sampled_SOC_state
1080,0.9178176456185126,0.9178176456185128,-1.1102230246251565e-16,sampled_SOC_state
1110,0.8796473946134397,0.8796473946134359,3.774758283725532e-15,sampled_SOC_state
1140,0.839685891434985,0.8396858914349851,-1.1102230246251565e-16,sampled_SOC_state
1170,0.8152252992680434,0.8152252992680515,-8.104628079763643e-15,sampled_SOC_state
1200,0.8042975587623552,0.8042975587623552,0.0,sampled_SOC_state
1230,0.8018330418490522,0.8018330418490561,-3.885780586188048e-15,sampled_SOC_state
1260,0.800976604908201,0.8009766049082009,1.1102230246251565e-16,sampled_SOC_state
1290,0.7592021349111702,0.7592021349111762,-5.995204332975845e-15,sampled_SOC_state
1320,0.717914506679312,0.717914506679312,0.0,sampled_SOC_state
1350,0.6761140951659707,0.6761140951658731,9.758860386455126e-14,sampled_SOC_state
1380,0.6344457509745601,0.6344457509745601,0.0,sampled_SOC_state
1410,0.5932579340445053,0.5932579340445175,-1.2212453270876722e-14,sampled_SOC_state
1440,0.5516444868318485,0.5516444868318486,-1.1102230246251565e-16,sampled_SOC_state
1440,0.5100000099998871,0.5100000099998871,0.0,terminal_SOC_after_final_dispatch_interval
