Time_sample,Line,Phase,I_limit_A,OPF_I_A,DSS_I_A,OPF_loading_percent,DSS_loading_percent
30,feeder2_line1,1,354.6,70.03697054713122,70.03427124023438,19.750978721695212,19.750217495835976
30,feeder2_line1,2,354.6,87.46596628004455,87.46452331542969,24.66609314158053,24.665686214165166
30,feeder2_line1,3,354.6,76.98007036781276,76.9854736328125,21.708987695378667,21.71051145877397
30,feeder2_line2,1,354.6,70.76515977382864,70.76225280761719,19.956333833567015,19.95551404614134
30,feeder2_line2,2,354.6,87.46613714172341,87.46452331542969,24.666141325923125,24.665686214165166
30,feeder2_line2,3,354.6,76.98024391412173,76.9854736328125,21.709036636808158,21.71051145877397
30,feeder2_line3,1,80.10000000000001,1.4317543084130828,1.4317741394042969,1.7874585623134613,1.7874833201052394
30,feeder2_line3,2,80.10000000000001,5.723201588392413e-07,1.0576218301139306e-06,7.145070647181538e-07,1.320376816621636e-06
30,feeder2_line3,3,80.10000000000001,5.717526961174248e-07,1.0565977390797343e-06,7.137986218694442e-07,1.319098300973451e-06
30,feeder2_line4,1,354.6,70.765308756722,70.76225280761719,19.956375847919347,19.95551404614134
30,feeder2_line4,2,354.6,87.73664487320643,87.73487854003906,24.742426642190193,24.741928522289637
30,feeder2_line4,3,354.6,76.98038729457902,76.9854736328125,21.709077071229274,21.71051145877397
30,feeder2_line5,1,80.10000000000001,5.716609075437122e-07,9.97503434518876e-07,7.13684029392899e-07,1.245322639848784e-06
30,feeder2_line5,2,80.10000000000001,0.2793256751725663,0.27932536602020264,0.34872119247511396,0.34872080651710685
30,feeder2_line5,3,80.10000000000001,5.717872369926653e-07,9.977261470339727e-07,7.138417440607556e-07,1.2456006829387922e-06
30,feeder2_line6,1,80.10000000000001,5.717103662140883e-07,1.1735324960682192e-06,7.137457755481751e-07,1.465084264754331e-06
30,feeder2_line6,2,80.10000000000001,5.724487503490212e-07,1.1750428257073509e-06,7.146676034319865e-07,1.4669698198593643e-06
30,feeder2_line6,3,80.10000000000001,1.4739913570090886,1.4739785194396973,1.840188960061284,1.8401729331332048
30,feeder2_line7,1,354.6,70.76542126317803,70.76225280761719,19.95640757562832,19.95551404614134
30,feeder2_line7,2,354.6,87.73675756695579,87.73487854003906,24.742458422717366,24.741928522289637
30,feeder2_line7,3,354.6,77.47514724414371,77.4801254272461,21.84860328374047,21.850007170684176
30,feeder2_line8,1,80.10000000000001,0.07269011297244814,0.07268959283828735,0.09074920470967307,0.0907485553536671
30,feeder2_line8,2,80.10000000000001,5.726958790715032e-07,1.1334864211676177e-06,7.149761286785307e-07,1.4150891650032678e-06
30,feeder2_line8,3,80.10000000000001,5.719878454985778e-07,1.1321086503812694e-06,7.140921916336801e-07,1.413369101599587e-06
30,feeder2_line9,1,354.6,70.83694693879852,70.83373260498047,19.976578380935848,19.975671913418065
30,feeder2_line9,2,354.6,87.73680287440118,87.7348861694336,24.742471199774727,24.74193067383914
30,feeder2_line9,3,354.6,77.47518884577569,77.4801254272461,21.848615015729184,21.850007170684176
30,feeder2_line10,1,80.10000000000001,8.453406178955713e-07,1.4944907889002934e-06,1.055356576648653e-06,1.8657812595509279e-06
30,feeder2_line10,2,80.10000000000001,0.07251695607540988,0.07251670956611633,0.09053302880825202,0.090532721056325
30,feeder2_line10,3,80.10000000000001,8.455441986394679e-07,1.4948799389458145e-06,1.0556107348807337e-06,1.8662670898199929e-06
30,feeder2_line11,1,354.6,70.83693265811553,70.83373260498047,19.97657435367048,19.975671913418065
30,feeder2_line11,2,354.6,87.80795183181003,87.80604553222656,24.76253576757192,24.76199817603682
30,feeder2_line11,3,354.6,77.47518029212632,77.4801254272461,21.84861260353252,21.850007170684176
