Time_sample,Time_h,Load_P_A_kW,Load_P_B_kW,Load_P_C_kW,Load_P_total_kW,Load_Q_A_kvar,Load_Q_B_kvar,Load_Q_C_kvar,Load_Q_total_kvar
750,12.5,12.625,6.7509999999999994,5.71,25.086,1.5685782599999996,2.07232885,3.2609320000000004,6.90183911
780,13.0,13.977000000000002,19.161,12.794999999999996,45.933,1.3981111800000001,3.6862479999999995,1.7487774000000005,6.833136580000001
810,13.5,10.973,18.6495,6.462000000000001,36.084500000000006,2.8152589300000006,2.803919000000001,1.63957458,7.258752510000001
840,14.0,17.657000000000004,15.442500000000003,7.937,41.036500000000004,2.27796039,2.71786845,2.7962492600000006,7.7920781
870,14.5,16.914,13.333,4.956,35.203,2.5403190500000004,2.6265465900000002,2.17873652,7.345602160000001
900,15.0,15.948,13.765999999999998,9.495999999999999,39.209999999999994,1.7569564600000003,3.8163127000000006,2.3896409899999997,7.962910150000001
930,15.5,10.829000000000002,8.084000000000001,7.0115,25.924500000000002,1.79785672,1.6522947999999997,1.75098106,5.2011325799999995
960,16.0,17.599,19.699999999999992,7.950999999999999,45.24999999999999,0.72460696,2.7144037400000003,1.2898391899999997,4.72884989
990,16.5,19.767,10.846499999999999,11.079,41.692499999999995,1.3098273,2.0389149399999997,2.6227353200000003,5.97147756
1020,17.0,22.561999999999998,16.272,21.827099999999994,60.66109999999999,1.9222965999999997,3.6665237999999993,2.9858683000000004,8.5746887
1050,17.5,23.567400000000006,23.058499999999995,13.754,60.3799,0.9835725000000003,2.2826205,2.3508408999999997,5.6170339
1080,18.0,29.345400000000005,12.047,9.218999999999998,50.6114,2.2778245600000004,2.0299346000000003,1.4387509799999998,5.746510140000001
1110,18.5,24.223,21.301,16.262999999999998,61.787,1.0161589,3.9074028999999992,2.51296008,7.436521879999999
1140,19.0,14.979,16.616999999999994,17.9025,49.49849999999999,1.4077757199999998,2.85796315,1.47685219,5.74259106
1170,19.5,15.812499999999998,9.123999999999999,15.498499999999995,40.43499999999999,2.0975152199999996,0.70567985,3.0132228000000008,5.81641787
1200,20.0,15.663499999999999,19.309,21.427,56.399499999999996,1.8602979000000002,2.2009311000000005,2.3289923700000004,6.390221370000001
1230,20.5,12.8425,18.8375,15.718999999999998,47.399,2.00403812,2.6920850000000005,2.2048124199999997,6.900935540000001
1260,21.0,12.1055,11.478000000000003,10.5285,34.112,1.1207497599999998,1.5562551199999997,1.6423008200000002,4.319305699999999
1290,21.5,15.135,18.582499999999996,11.328499999999998,45.04599999999999,2.2166304000000006,2.9887867999999997,2.0798528099999998,7.28527001
1320,22.0,15.3522,12.551,11.381,39.2842,0.5452873800000001,3.4741364999999993,1.7074676100000001,5.72689149
1350,22.5,11.628499999999997,11.489,10.959000000000001,34.0765,1.4246874799999998,1.0861973400000002,1.3822223000000005,3.8931071200000007
1380,23.0,9.0495,14.847999999999999,11.038500000000004,34.93600000000001,1.86548403,1.78823474,1.27396759,4.92768636
1410,23.5,10.472000000000001,6.525499999999998,9.089000000000002,26.0865,0.7330742500000001,1.8673378400000005,1.3155184899999999,3.9159305800000004
1440,24.0,9.898000000000001,6.9875,10.268,27.1535,2.1839679,3.3178700400000003,1.9283211,7.4301590399999995
