Time_sample,Time_h,BESS_P_ch_A_W,BESS_P_ch_B_W,BESS_P_ch_C_W,BESS_P_dis_A_W,BESS_P_dis_B_W,BESS_P_dis_C_W,BESS_P_net_A_W,BESS_P_net_B_W,BESS_P_net_C_W,BESS_P_net_total_W,BESS_Q_A_var,BESS_Q_B_var,BESS_Q_C_var,BESS_Q_total_var,BESS_SOC_pu
690,11.5,52619.218169005304,52619.218169005304,52619.218169005304,0.0026376456940844077,0.0026376456940844077,0.0026376456940844077,-52619.21553135961,-52619.21553135961,-52619.21553135961,-157857.64659407883,445.1652235199445,445.1652235199445,445.1652235199445,1335.4956705598336,0.5483790280689901
720,12.0,20825.60852151945,20825.60852151945,20825.60852151945,0.006667498895775455,0.006667498895775455,0.006667498895775455,-20825.601854020555,-20825.601854020555,-20825.601854020555,-62476.805562061665,448.00786999999167,448.00786999999167,448.00786999999167,1344.023609999975,0.6194149682010711
750,12.5,4045.1633632251187,4045.1633632251187,4045.1633632251187,0.034332948304446484,0.034332948304446484,0.034332948304446484,-4045.1290302768143,-4045.1290302768143,-4045.1290302768143,-12135.387090830443,-1766.6806185192438,-1766.6806185192438,-1766.6806185192438,-5300.041855557732,0.6475295285926103
780,13.0,3.266229309779341e-06,3.266229309779341e-06,3.266229309779341e-06,3.1789905292003583e-06,3.1789905292003583e-06,3.1789905292003583e-06,-8.723878057898286e-08,-8.723878057898286e-08,-8.723878057898286e-08,-2.617163417369486e-07,-12048.955375568063,-12048.955375568063,-12048.955375568063,-36146.86612670419,0.6529904419113837
810,13.5,50062.074743763136,50062.074743763136,50062.074743763136,0.0027724931604867368,0.0027724931604867368,0.0027724931604867368,-50062.07197126998,-50062.07197126998,-50062.07197126998,-150186.21591380995,-6649.997850862328,-6649.997850862328,-6649.997850862328,-19949.993552586984,0.6529904419104671
840,14.0,48843.26110375178,48843.26110375178,48843.26110375178,0.002841733540667574,0.002841733540667574,0.002841733540667574,-48843.25826201824,-48843.25826201824,-48843.25826201824,-146529.7747860547,-5561.006402528893,-5561.006402528893,-5561.006402528893,-16683.01920758668,0.7205742381937252
870,14.5,46781.32687857729,46781.32687857729,46781.32687857729,0.0029670847078140713,0.0029670847078140713,0.0029670847078140713,-46781.32391149258,-46781.32391149258,-46781.32391149258,-140343.97173447773,-9244.067906578388,-9244.067906578388,-9244.067906578388,-27732.203719735164,0.7865126359474972
900,15.0,31540.105695202954,31540.105695202954,31540.105695202954,0.004401872701063317,0.004401872701063317,0.004401872701063317,-31540.10129333025,-31540.10129333025,-31540.10129333025,-94620.30387999075,450.7374084111489,450.7374084111489,450.7374084111489,1352.2122252334468,0.8496674222884354
930,15.5,11065.507448030252,11065.507448030252,11065.507448030252,0.012549901078503947,0.012549901078503947,0.012549901078503947,-11065.494898129173,-11065.494898129173,-11065.494898129173,-33196.484694387516,164.36727839753365,164.36727839753365,164.36727839753365,493.10183519260096,0.8922465576404969
960,16.0,32202.419828621314,32202.419828621314,32202.419828621314,0.0043112993954642475,0.004311299395464248,0.004311299395464248,-32202.41551732192,-32202.41551732192,-32202.41551732192,-96607.24655196576,-6136.5778839168515,-6136.5778839168515,-6136.5778839168515,-18409.733651750554,0.9071849717788358
