Constraint,Body,Lower,Upper,Raw_violation,Relative_violation
"CentralBESS_night_only_discharge_con[1,720]",9.686137863241379e-05,,0.0,9.686137863241379e-05,9.686137863241379e-05
"CentralBESS_night_only_discharge_con[2,720]",9.686137863241379e-05,,0.0,9.686137863241379e-05,9.686137863241379e-05
"CentralBESS_night_only_discharge_con[3,720]",9.686137863241379e-05,,0.0,9.686137863241379e-05,9.686137863241379e-05
"CentralBESS_night_only_discharge_con[1,690]",9.686004941532192e-05,,0.0,9.686004941532192e-05,9.686004941532192e-05
"CentralBESS_night_only_discharge_con[2,690]",9.686004941532192e-05,,0.0,9.686004941532192e-05,9.686004941532192e-05
"CentralBESS_night_only_discharge_con[3,690]",9.686004941532192e-05,,0.0,9.686004941532192e-05,9.686004941532192e-05
"CentralBESS_night_only_discharge_con[1,660]",9.684577783267059e-05,,0.0,9.684577783267059e-05,9.684577783267059e-05
"CentralBESS_night_only_discharge_con[2,660]",9.684577783267059e-05,,0.0,9.684577783267059e-05,9.684577783267059e-05
"CentralBESS_night_only_discharge_con[3,660]",9.684577783267059e-05,,0.0,9.684577783267059e-05,9.684577783267059e-05
"CentralBESS_night_only_discharge_con[1,990]",9.683648918080642e-05,,0.0,9.683648918080642e-05,9.683648918080642e-05
"CentralBESS_night_only_discharge_con[2,990]",9.683648918080642e-05,,0.0,9.683648918080642e-05,9.683648918080642e-05
"CentralBESS_night_only_discharge_con[3,990]",9.683648918080642e-05,,0.0,9.683648918080642e-05,9.683648918080642e-05
"CentralBESS_night_only_discharge_con[1,600]",9.68341882810371e-05,,0.0,9.68341882810371e-05,9.68341882810371e-05
"CentralBESS_night_only_discharge_con[2,600]",9.68341882810371e-05,,0.0,9.68341882810371e-05,9.68341882810371e-05
"CentralBESS_night_only_discharge_con[3,600]",9.68341882810371e-05,,0.0,9.68341882810371e-05,9.68341882810371e-05
"CentralBESS_night_only_discharge_con[1,930]",9.680810331124355e-05,,0.0,9.680810331124355e-05,9.680810331124355e-05
"CentralBESS_night_only_discharge_con[2,930]",9.680810331124355e-05,,0.0,9.680810331124355e-05,9.680810331124355e-05
"CentralBESS_night_only_discharge_con[3,930]",9.680810331124355e-05,,0.0,9.680810331124355e-05,9.680810331124355e-05
"CentralBESS_night_only_discharge_con[1,750]",9.679026386148759e-05,,0.0,9.679026386148759e-05,9.679026386148759e-05
"CentralBESS_night_only_discharge_con[2,750]",9.679026386148759e-05,,0.0,9.679026386148759e-05,9.679026386148759e-05
"CentralBESS_night_only_discharge_con[3,750]",9.679026386148759e-05,,0.0,9.679026386148759e-05,9.679026386148759e-05
"CentralBESS_night_only_discharge_con[1,420]",9.678890228009829e-05,,0.0,9.678890228009829e-05,9.678890228009829e-05
"CentralBESS_night_only_discharge_con[2,420]",9.678890228009829e-05,,0.0,9.678890228009829e-05,9.678890228009829e-05
"CentralBESS_night_only_discharge_con[3,420]",9.678890228009829e-05,,0.0,9.678890228009829e-05,9.678890228009829e-05
CentralSolar_P_available_con[390],67541.17114648485,,67541.17105030791,9.617694013286382e-05,1.4239750140588036e-09
CentralSolar_P_available_con[330],16214.673076186533,,16214.672980009611,9.617692194296978e-05,5.93147462739898e-09
CentralSolar_P_available_con[360],32040.62642609927,,32040.626329922346,9.617692194296978e-05,3.0017179022638316e-09
CentralSolar_P_available_con[780],63436.07813341693,,63436.07803724001,9.617691830499098e-05,1.5161233344645685e-09
"CentralBESS_night_only_discharge_con[1,300]",7.592162455694051e-05,,0.0,7.592162455694051e-05,7.592162455694051e-05
"CentralBESS_night_only_discharge_con[2,300]",7.592162455694051e-05,,0.0,7.592162455694051e-05,7.592162455694051e-05
"CentralBESS_night_only_discharge_con[3,300]",7.592162455694051e-05,,0.0,7.592162455694051e-05,7.592162455694051e-05
