Time_sample,Time_h,Bus,DSS_V_A_V,DSS_V_B_V,DSS_V_C_V,DSS_angle_A_deg,DSS_angle_B_deg,DSS_angle_C_deg,DSS_V_A_pu,DSS_V_B_pu,DSS_V_C_pu,DSS_V_max_pu,DSS_V_min_pu
720,12.0,feeder2_1818,253.9884033203125,253.16957092285156,253.29705810546875,-29.10751724243164,-149.02847290039062,90.7861099243164,1.0998020477101924,1.0962563994219778,1.0968084351159948,1.0998020477101924,1.0962563994219778
750,12.5,feeder2_1818,251.5330810546875,254.03199768066406,254.0340576171875,-29.44194221496582,-149.21994018554688,91.24562072753906,1.0891701904276483,1.0999908168278232,1.0999997366146206,1.0999997366146206,1.0891701904276483
780,13.0,feeder2_1818,248.75875854492188,247.339599609375,250.50904846191406,-28.60650062561035,-149.00347900390625,91.25782012939453,1.0771570215689081,1.0710118831179518,1.084735999229423,1.084735999229423,1.0710118831179518
810,13.5,feeder2_1818,253.85980224609375,249.4668426513672,254.03395080566406,-29.102880477905273,-149.3959503173828,90.72242736816406,1.0992451887240553,1.0802231156898963,1.0999992741071571,1.0999992741071571,1.0802231156898963
840,14.0,feeder2_1818,252.19810485839844,251.48548889160156,254.0352020263672,-29.27836799621582,-149.4739990234375,90.94003295898438,1.0920498279683235,1.088964110316381,1.1000046920517303,1.1000046920517303,1.088964110316381
870,14.5,feeder2_1818,250.22999572753906,252.85086059570312,254.03463745117188,-29.692724227905273,-149.56092834472656,91.56134033203125,1.0835276654446018,1.094876343223183,1.1000022473694229,1.1000022473694229,1.0835276654446018
900,15.0,feeder2_1818,250.81527709960938,252.4128875732422,253.83261108398438,-29.407835006713867,-149.52891540527344,90.97150421142578,1.0860620081274752,1.092979864405066,1.0991274475383297,1.0991274475383297,1.0860620081274752
930,15.5,feeder2_1818,252.97987365722656,253.26284790039062,253.91282653808594,-29.19241714477539,-149.26071166992188,90.88294982910156,1.0954349861666794,1.0966603005826632,1.0994747906434699,1.0994747906434699,1.0954349861666794
960,16.0,feeder2_1818,253.4808807373047,249.5750732421875,254.03079223632812,-29.25402069091797,-149.48776245117188,90.65824127197266,1.097604410460797,1.0806917678954813,1.0999855971007344,1.0999855971007344,1.0806917678954813
990,16.5,feeder2_1818,250.75221252441406,254.035400390625,253.10723876953125,-29.610815048217773,-149.45436096191406,91.06954193115234,1.0857889305064852,1.1000055509941626,1.095986493280738,1.1000055509941626,1.0857889305064852
1020,17.0,feeder2_1818,248.55429077148438,250.87319946289062,251.2845458984375,-29.212827682495117,-149.4283447265625,90.73970794677734,1.0762716501386476,1.0863128193177192,1.088094001632418,1.088094001632418,1.0762716501386476
1050,17.5,feeder2_1818,247.59173583984375,246.07179260253906,250.18191528320312,-28.690034866333008,-149.2621307373047,91.31932830810547,1.0721036650219538,1.0655221177428726,1.083319471013501,1.083319471013501,1.0655221177428726
1080,18.0,feeder2_1818,246.3444061279297,252.4947509765625,252.55201721191406,-29.476036071777344,-149.2720489501953,91.81114196777344,1.0667025689348901,1.093334343339644,1.0935823134126117,1.0935823134126117,1.0667025689348901
1110,18.5,feeder2_1818,250.33917236328125,248.86770629882812,251.46470642089844,-29.07633399963379,-149.32850646972656,90.88581848144531,1.084000414144864,1.0776287791817485,1.0888741195784692,1.0888741195784692,1.0776287791817485
1140,19.0,feeder2_1818,246.58155822753906,246.06866455078125,245.05812072753906,-28.706697463989258,-148.4059295654297,91.2499771118164,1.0677294676490028,1.0655085728814395,1.0611327897686136,1.0677294676490028,1.0611327897686136
1170,19.5,feeder2_1818,242.99288940429688,245.0899200439453,242.7153778076172,-28.86302947998047,-148.5337677001953,91.42842864990234,1.052190075815518,1.0612704848477674,1.0509884153526712,1.0612704848477674,1.0509884153526712
1200,20.0,feeder2_1818,242.61553955078125,240.31317138671875,240.92361450195312,-28.826732635498047,-148.9745330810547,90.75601196289062,1.0505561030192239,1.0405865564245105,1.043229852651302,1.0505561030192239,1.0405865564245105
1230,20.5,feeder2_1818,242.46058654785156,239.5636749267578,242.0780792236328,-28.668554306030273,-149.05551147460938,90.85742950439453,1.0498851368345747,1.037341141552647,1.0482288315350397,1.0498851368345747,1.037341141552647
1260,21.0,feeder2_1818,252.61361694335938,253.40182495117188,253.1782684326172,-29.313804626464844,-149.3035125732422,90.81983184814453,1.0938490480741014,1.097262088865261,1.0962940607440115,1.097262088865261,1.0938490480741014
1290,21.5,feeder2_1818,252.65196228027344,250.24559020996094,254.0309600830078,-29.041839599609375,-149.582763671875,90.54502868652344,1.0940150882535227,1.0835951915342827,1.099986323898177,1.099986323898177,1.0835951915342827
1320,22.0,feeder2_1818,253.9563446044922,252.2913055419922,252.86305236816406,-29.336912155151367,-149.05845642089844,90.63252258300781,1.0996632293986268,1.0924533987665348,1.0949291351465247,1.0996632293986268,1.0924533987665348
1350,22.5,feeder2_1818,253.51419067382812,252.51951599121094,253.243896484375,-29.189083099365234,-149.27415466308594,90.6210708618164,1.0977486467169357,1.0934415789986973,1.0965782385441272,1.0977486467169357,1.0934415789986973
1380,23.0,feeder2_1818,254.03439331054688,250.61558532714844,254.0320587158203,-28.816024780273438,-149.5025634765625,90.5477294921875,1.1000011902095062,1.0851973173880858,1.0999910811178024,1.1000011902095062,1.0851973173880858
1410,23.5,feeder2_1818,253.39764404296875,254.0315704345703,252.8203125,-29.358375549316406,-149.0052490234375,90.82072448730469,1.0972439850016873,1.099988966797969,1.0947440660886023,1.099988966797969,1.0947440660886023
1440,24.0,feeder2_1818,253.79310607910156,253.6630401611328,252.34730529785156,-29.334388732910156,-148.88462829589844,90.76192474365234,1.0989563858493039,1.0983931839036665,1.0926958848224344,1.0989563858493039,1.0926958848224344
