Time_sample,Time_h,Bus,Phase,Low_limit_pu,High_limit_pu,OPF_V_pu,DSS_V_pu,OPF_violation_pu,DSS_violation_pu,Voltage_violation_pu
450,7.5,feeder2_1818,2,0.9,1.1,1.1000000054995853,1.1000011241370113,5.499585231660831e-09,1.124137011254689e-06,1.124137011254689e-06
480,8.0,feeder2_1818,1,0.9,1.1,1.1000000054997041,1.099995111539985,5.4997040255244656e-09,0.0,5.4997040255244656e-09
480,8.0,feeder2_1818,2,0.9,1.1,1.1000000054997294,1.0999993401796517,5.499729338609427e-09,0.0,5.499729338609427e-09
510,8.5,feeder2_1818,1,0.9,1.1,1.1000000054986923,1.100003833109298,5.498692168259822e-09,3.833109297968207e-06,3.833109297968207e-06
510,8.5,feeder2_1818,2,0.9,1.1,1.1000000054989576,1.1000003312670739,5.498957511562708e-09,3.31267073772068e-07,3.31267073772068e-07
540,9.0,feeder2_1818,1,0.9,1.1,1.1000000054989185,1.1000001991220842,5.498918431712241e-09,1.9912208415462374e-07,1.9912208415462374e-07
570,9.5,feeder2_1818,1,0.9,1.1,1.1000000054997832,1.0999988776721883,5.499783073403819e-09,0.0,5.499783073403819e-09
600,10.0,feeder2_1818,1,0.9,1.1,1.1000000054998507,1.1000016527169698,5.499850574963716e-09,1.652716969724466e-06,1.652716969724466e-06
600,10.0,feeder2_1818,2,0.9,1.1,1.1000000054997223,1.100000925919527,5.4997222331820694e-09,9.259195268285225e-07,9.259195268285225e-07
660,11.0,feeder2_1818,3,0.9,1.1,1.1000000054965366,1.1000037009643084,5.49653655923521e-09,3.7009643083507626e-06,3.7009643083507626e-06
750,12.5,feeder2_1818,2,0.9,1.1,1.1000000054995631,1.0999908168278232,5.499563027200338e-09,0.0,5.499563027200338e-09
750,12.5,feeder2_1818,3,0.9,1.1,1.100000005499625,1.0999997366146206,5.499624977645112e-09,0.0,5.499624977645112e-09
810,13.5,feeder2_1818,3,0.9,1.1,1.1000000054998316,1.099999274107157,5.4998314791276925e-09,0.0,5.4998314791276925e-09
840,14.0,feeder2_1818,3,0.9,1.1,1.1000000054996726,1.1000046920517303,5.499672495190566e-09,4.69205173025955e-06,4.69205173025955e-06
870,14.5,feeder2_1818,3,0.9,1.1,1.1000000054998653,1.1000022473694229,5.499865229907641e-09,2.2473694227809204e-06,2.2473694227809204e-06
960,16.0,feeder2_1818,3,0.9,1.1,1.1000000054997754,1.0999855971007346,5.4997753018426465e-09,0.0,5.4997753018426465e-09
990,16.5,feeder2_1818,2,0.9,1.1,1.1000000054976766,1.1000055509941626,5.497676536236895e-09,5.550994162550893e-06,5.550994162550893e-06
1290,21.5,feeder2_1818,3,0.9,1.1,1.100000005498082,1.099986323898177,5.498081989685488e-09,0.0,5.498081989685488e-09
1380,23.0,feeder2_1818,1,0.9,1.1,1.1000000054997092,1.1000011902095062,5.499709132550379e-09,1.190209506063411e-06,1.190209506063411e-06
1380,23.0,feeder2_1818,3,0.9,1.1,1.1000000054994692,1.0999910811178026,5.499469102332455e-09,0.0,5.499469102332455e-09
1410,23.5,feeder2_1818,2,0.9,1.1,1.1000000054991657,1.099988966797969,5.499165567357522e-09,0.0,5.499165567357522e-09
