Time_sample,Line,Phase,I_limit_A,OPF_I_A,DSS_I_A,OPF_loading_percent,DSS_loading_percent
30,feeder2_line1,1,354.6,70.56011333132385,70.5564193725586,19.89850911768862,19.897467392148503
30,feeder2_line1,2,354.6,86.67707475137166,86.67850494384766,24.44361950123284,24.444022826804186
30,feeder2_line1,3,354.6,73.9956413226827,73.99766540527344,20.86735513894041,20.867925946213603
30,feeder2_line2,1,354.6,71.45512794292215,71.45124816894531,20.150910305392596,20.149816178495573
30,feeder2_line2,2,354.6,86.67723523410557,86.67851257324219,24.443664758631012,24.44402497835369
30,feeder2_line2,3,354.6,73.99579629938515,73.99766540527344,20.86739884359423,20.867925946213603
30,feeder2_line3,1,80.10000000000001,1.4321100690110113,1.4321296215057373,1.7879027078789154,1.7879271179846905
30,feeder2_line3,2,80.10000000000001,5.726568834951025e-07,1.058253019436961e-06,7.1492744506255e-07,1.3211648182733594e-06
30,feeder2_line3,3,80.10000000000001,5.723790618363366e-07,1.057752342603635e-06,7.145806015434913e-07,1.3205397535625904e-06
30,feeder2_line4,1,354.6,71.45528808343664,71.45124816894531,20.150955466282188,20.149816178495573
30,feeder2_line4,2,354.6,86.95487040412027,86.95598602294922,24.521960068843843,24.522274682162777
30,feeder2_line4,3,354.6,73.9959593131121,73.99766540527344,20.867444814752425,20.867925946213603
30,feeder2_line5,1,80.10000000000001,5.721678899678463e-07,9.983833706428413e-07,7.143169662519928e-07,1.2464211868200266e-06
30,feeder2_line5,2,80.10000000000001,0.27933757186771113,0.2793378233909607,0.34873604477866554,0.3487363587902131
30,feeder2_line5,3,80.10000000000001,5.724221545564564e-07,9.988317515308154e-07,7.146344001953263e-07,1.2469809632095072e-06
30,feeder2_line6,1,80.10000000000001,5.722333200599589e-07,1.1746044492610963e-06,7.143986517602482e-07,1.4664225334096081e-06
30,feeder2_line6,2,80.10000000000001,5.727920654415428e-07,1.1757523452615715e-06,7.150962115375065e-07,1.4678556120618869e-06
30,feeder2_line6,3,80.10000000000001,1.474574375866691,1.4745585918426514,1.840916823803609,1.8408971184053073
30,feeder2_line7,1,354.6,71.45540231259112,71.45124816894531,20.15098767980573,20.149816178495573
30,feeder2_line7,2,354.6,86.954984827192,86.95598602294922,24.52199233705358,24.522274682162777
30,feeder2_line7,3,354.6,74.81320887246113,74.81478881835938,21.09791564367206,21.098361200890967
30,feeder2_line8,1,80.10000000000001,0.07260404497117892,0.07260344177484512,0.09064175402144684,0.09064100096734722
30,feeder2_line8,2,80.10000000000001,5.730513817112086e-07,1.1341937806719216e-06,7.154199521987621e-07,1.415972260514259e-06
30,feeder2_line8,3,80.10000000000001,5.726818916690408e-07,1.1334790315231658e-06,7.149586662534841e-07,1.4150799394796076e-06
30,feeder2_line9,1,354.6,71.52800612596582,71.52378845214844,20.171462528473157,20.17027311115297
30,feeder2_line9,2,354.6,86.95504662077472,86.95598602294922,24.52200976333184,24.522274682162777
30,feeder2_line9,3,354.6,74.81327916885151,74.81478881835938,21.097935467809222,21.098361200890967
30,feeder2_line10,1,80.10000000000001,8.462058420099273e-07,1.4959847476347932e-06,1.0564367565667007e-06,1.8676463765727753e-06
30,feeder2_line10,2,80.10000000000001,0.07249183780773095,0.07249198108911514,0.09050167017194875,0.09050184905008132
30,feeder2_line10,3,80.10000000000001,8.465876205362605e-07,1.4967041579438956e-06,1.0569133839404e-06,1.8685445167838893e-06
30,feeder2_line11,1,354.6,71.52797637297732,71.52378845214844,20.171454137895463,20.17027311115297
30,feeder2_line11,2,354.6,87.02739910929321,87.02836608886719,24.542413736405305,24.54268643228065
30,feeder2_line11,3,354.6,74.81324307132226,74.81478881835938,21.09792528802094,21.098361200890967
30,feeder2_line12,1,80.10000000000001,5.476118426701282e-07,9.92446871350694e-07,6.836602280525944e-07,1.2390098269047364e-06
30,feeder2_line12,2,80.10000000000001,5.483223129612576e-07,9.936154583556345e-07,6.845472071925812e-07,1.2404687370232638e-06
30,feeder2_line12,3,80.10000000000001,0.061767289962223235,0.06176747754216194,0.07711272155084048,0.07711295573303613
30,feeder2_line13,1,354.6,71.52794994915423,71.52378845214844,20.171446686168707,20.17027311115297
30,feeder2_line13,2,354.6,87.02737383677484,87.02836608886719,24.542406609355567,24.54268643228065
30,feeder2_line13,3,354.6,74.87497043190622,74.87654113769531,21.115332891118506,21.115775842553667
30,feeder2_line14,1,80.10000000000001,0.27527993325116984,0.27527880668640137,0.34367032865314584,0.34366892220524514
30,feeder2_line14,2,80.10000000000001,2.9907181578235834e-07,6.480202046077466e-07,3.733730534111839e-07,8.090139882743402e-07
30,feeder2_line14,3,80.10000000000001,2.989057466352193e-07,6.475505074376997e-07,3.731657261363536e-07,8.084275997973778e-07
30,feeder2_line15,1,354.6,71.80176400616332,71.79757690429688,20.2486644123416,20.24748361655298
30,feeder2_line15,2,354.6,87.02739291551957,87.02836608886719,24.54241198971223,24.54268643228065
30,feeder2_line15,3,354.6,74.87499058345419,74.87654113769531,21.115338574014153,21.115775842553667
