Time_sample,Time_h,OPF_network_voltage_range_pu,DSS_network_voltage_range_pu,Max_OPF_VUF2_percent,Max_OPF_VUF0_percent,Max_DSS_VUF2_percent,Max_DSS_VUF0_percent
30,0.5,0.024706962663923138,0.024708404081254853,0.13803750132990886,0.3269394163092391,0.1380706935805347,0.32680624541617953
60,1.0,0.024695974236593532,0.024694462784852877,0.09027942967282973,0.092319087004522,0.09012163819862005,0.09147465594715874
90,1.5,0.02463385580168853,0.024635261829516475,0.09370183457066199,0.1502003590176311,0.09360117288570256,0.15019760707654042
120,2.0,0.024712297638250114,0.024714020243312484,0.1258555433887736,0.1539913149644461,0.12588675098730662,0.1540903676138036
150,2.5,0.024630725827399447,0.024633874307125492,0.09374971897863303,0.1421345373637677,0.09369191718831517,0.1420242309407915
180,3.0,0.024717982232073554,0.02472036320281301,0.11082063992473624,0.15506544911632583,0.1108236706706636,0.15495299364258858
210,3.5,0.024778048467144043,0.024779894520623902,0.06396425762619973,0.22116590975901138,0.06388197169200294,0.22141184714498155
240,4.0,0.018656740337167355,0.018656559992949795,0.058845566575433196,0.1924206983973327,0.058952745418349516,0.19254896455552933
270,4.5,0.01628529081376895,0.016287134257085834,0.12035232340568203,0.15702815222556432,0.1202875307926065,0.15756003351985304
300,5.0,0.012526109535707208,0.012524768185942392,0.07419972496474068,0.23195933669745927,0.0742764747388898,0.23197361775701064
330,5.5,0.013942941515430407,0.013940239241947205,0.06501866175738549,0.17833326440457395,0.0650125744779187,0.17819127157610098
360,6.0,0.011312093807669399,0.011311082529042782,0.09356910454595652,0.4714783672938699,0.09352707723612996,0.4712753744387087
390,6.5,0.018325922359702318,0.018320383139430296,0.1405471829701718,0.35504059393697884,0.14050022432969933,0.35481029428440747
420,7.0,0.024805107126127046,0.02480777711342763,0.26184392018682556,0.2650250581171908,0.26191667750331743,0.2651611291737175
450,7.5,0.02489179954914955,0.024892944559218977,0.26039640729422836,0.4478876212545466,0.26035386342590616,0.44774367299078854
480,8.0,0.02815785036537899,0.028153556104885125,0.32666169749939516,0.8644813688349983,0.32657268426754404,0.8641708153600288
510,8.5,0.02479397040163378,0.02479780016671329,0.12450942501400182,0.40374717310073927,0.12454088009555005,0.40399014332878136
540,9.0,0.026028180297856807,0.02602767358483815,0.14908665751787437,0.3825092498190827,0.14906556521411432,0.3824925069320579
570,9.5,0.02850585103158565,0.028502749239879943,0.2294491360318035,0.9150341942590545,0.22942574083904768,0.9149047528585172
600,10.0,0.03265075558225772,0.03265454659534894,0.5251115936200492,1.0228595178813402,0.5251596444390109,1.0230366135029516
630,10.5,0.021227653568870686,0.021220503153492,0.09772767237682377,0.22209749200916715,0.0975418951595447,0.22170394633060456
660,11.0,0.03406758448271341,0.03407279269613572,0.22365378559893517,0.8349091299776913,0.22366891848554984,0.8350659099399188
690,11.5,0.024155654424568018,0.024145466425596895,0.16440232841567115,0.4295419602705094,0.16440991594981713,0.42904291648574544
720,12.0,0.02461970381646217,0.024618941923301607,0.055811025259290145,0.20231331219520166,0.055825926552993385,0.20224710091601142
750,12.5,0.026242568783125586,0.026238643060720213,0.2796558858087871,0.7567118664371789,0.27954956781146834,0.7561482978896779
780,13.0,0.022328631421689282,0.022303629560675553,0.27041190164344864,0.575201644720994,0.2703231864111474,0.5738054215199646
810,13.5,0.031286453130449754,0.03128017263110627,0.5127663275708705,0.815108831216437,0.5126900621221434,0.8146700272099813
840,14.0,0.02535594684660647,0.02536073782237147,0.33943093856051976,0.4529067925281681,0.33950189661965635,0.4532905735577599
870,14.5,0.026897301342218016,0.026895469731482713,0.5545278424419822,1.062439225653874,0.5545596932015378,1.06191674679429
900,15.0,0.024369037943547944,0.024367470008109793,0.261929174864167,0.6113693498910311,0.2619488694258266,0.6114934104708573
930,15.5,0.0241577853130579,0.024160134519441323,0.0914200480617674,0.3306713451026888,0.09146331589089006,0.3308903327149854
960,16.0,0.032555766189910296,0.03253211426249303,0.5152476273082823,0.7949282452165477,0.5150707718212304,0.7940475770664472
990,16.5,0.025194410074139917,0.025200776312471307,0.19231399447764524,0.7509498199525467,0.19235046964484825,0.7512270226513141
1020,17.0,0.020611876278891383,0.020604178922038807,0.26637939860438986,0.4551226333767113,0.2664273555374227,0.45483850549060906
1050,17.5,0.02454780937004175,0.024553331935969647,0.4082005454617019,0.7761793802019844,0.40824059061289164,0.7765327871430814
1080,18.0,0.037932623093964724,0.03792964243483743,0.5122990291800578,1.4918192283257776,0.5123210003234507,1.4918758335471212
1110,18.5,0.022390468109140915,0.022398509663201782,0.30198679120415994,0.4196715868710015,0.30201182409322297,0.4200999319709171
1140,19.0,0.016031447342455207,0.016022646060419365,0.07805097071792434,0.5550230090690241,0.07790760881131724,0.5540608407074639
1170,19.5,0.022810986126877042,0.022808291275923986,0.18752368088592447,0.704248629542373,0.18756702234391298,0.7037981833872092
1200,20.0,0.030272541964360355,0.030261797268822166,0.18250900676615314,0.522952472749812,0.18230684812652315,0.5232505414578855
1230,20.5,0.03314649247582668,0.03314685275407059,0.20356942970939626,0.7359123393259461,0.20349457211825162,0.736062323201658
1260,21.0,0.022025484272160778,0.02201786602068445,0.04436974587214365,0.2320311031286528,0.044335004751874955,0.23158282815235218
1290,21.5,0.027533377634679557,0.02751774048746758,0.23670086783129143,0.7500382224607458,0.23654302102444139,0.7490451205301971
1320,22.0,0.024872992400129856,0.024861494051696242,0.1448908901736143,0.33816014720868803,0.14500402078606653,0.3372109521119837
1350,22.5,0.02246693882126105,0.022451499804028163,0.06324071035633339,0.30351020247375976,0.06309744863622459,0.3026544247042747
1380,23.0,0.029251568241943193,0.029247386256225916,0.295326536145281,0.9470098413417489,0.295226720675516,0.9465337493375491
1410,23.5,0.0246645232393905,0.024653563910574494,0.13170430943085865,0.45168839519560117,0.1316616825676351,0.45092077230015826
1440,24.0,0.023843526860655606,0.023857324275793346,0.1093037402386949,0.5699890433319013,0.10922086931386692,0.570241062111337
