Time_sample,Time_h,PV_architecture,PV_available_P_W,PV_command_P_W,PV_Q_command_var,PV_curtailment_W,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,CentralSolar_P_curtailment_W
840,14.0,central,219014.5041579911,219014.50425795527,-3.373835199895771e-08,0.0,219014.5041579911,219014.50425795527,-3.373835199895771e-08,0.0
870,14.5,central,209104.784648659,209104.7847486232,-8.944038971737446e-08,0.0,209104.784648659,209104.7847486232,-8.944038971737446e-08,0.0
900,15.0,central,169589.67598894524,169589.67608890947,2.3761837570701873e-07,0.0,169589.67598894524,169589.67608890947,2.3761837570701873e-07,0.0
930,15.5,central,108386.17806758464,108386.178167549,2.2979955652058855e-07,0.0,108386.17806758464,108386.178167549,2.2979955652058855e-07,0.0
960,16.0,central,167971.81180257935,167971.8119025436,-3.095446557578726e-08,0.0,167971.81180257935,167971.8119025436,-3.095446557578726e-08,0.0
990,16.5,central,124580.44620067778,124580.4463006421,2.5819204750422513e-07,0.0,124580.44620067778,124580.4463006421,2.5819204750422513e-07,0.0
1020,17.0,central,58867.659044205095,51391.50825077974,2.1915359169260344e-09,7476.150793425353,58867.659044205095,51391.50825077974,2.1915359169260344e-09,7476.150793425353
1050,17.5,central,21386.15526279812,1617.1136703906327,-8.373337520692272e-09,19769.041592407484,21386.15526279812,1617.1136703906327,-8.373337520692272e-09,19769.041592407484
1080,18.0,central,35726.29562474032,18823.255049077594,1.9599201045021234e-08,16903.040575662726,35726.29562474032,18823.255049077594,1.9599201045021234e-08,16903.040575662726
1110,18.5,central,34880.48921037201,16374.251770728903,7.391832859303046e-08,18506.23743964311,34880.48921037201,16374.251770728903,7.391832859303046e-08,18506.23743964311
1140,19.0,central,14676.355200650205,10.367224922889184,1.0955742928204273e-08,14665.987975727316,14676.355200650205,10.367224922889184,1.0955742928204273e-08,14665.987975727316
1170,19.5,central,6556.644238336597,27.371110673151712,-3.898435871805818e-10,6529.273127663445,6556.644238336597,27.371110673151712,-3.898435871805818e-10,6529.273127663445
1200,20.0,central,1478.7101336823926,27.938582148143887,9.408426747507778e-10,1450.7715515342486,1478.7101336823926,27.938582148143887,9.408426747507778e-10,1450.7715515342486
1230,20.5,central,513.8621598622417,24.183019493977,6.32678753274387e-11,489.6791403682647,513.8621598622417,24.183019493977,6.32678753274387e-11,489.6791403682647
1260,21.0,central,0.0,6.71757320071205e-10,9.925931685766687e-08,0.0,0.0,6.71757320071205e-10,9.925931685766687e-08,0.0
1290,21.5,central,0.0,6.717719736558002e-10,6.000355463623837e-07,0.0,0.0,6.717719736558002e-10,6.000355463623837e-07,0.0
1320,22.0,central,0.0,6.71776677322748e-10,5.442095326438264e-08,0.0,0.0,6.71776677322748e-10,5.442095326438264e-08,0.0
1350,22.5,central,0.0,6.717651016748842e-10,1.0495461788542246e-08,0.0,0.0,6.717651016748842e-10,1.0495461788542246e-08,0.0
1380,23.0,central,0.0,6.717751454980931e-10,-1.2508511646759489e-07,0.0,0.0,6.717751454980931e-10,-1.2508511646759489e-07,0.0
1410,23.5,central,0.0,6.717622379107769e-10,9.666377170143925e-08,0.0,0.0,6.717622379107769e-10,9.666377170143925e-08,0.0
1440,24.0,central,0.0,6.717622422461181e-10,1.6694760356523105e-07,0.0,0.0,6.717622422461181e-10,1.6694760356523105e-07,0.0
